,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
28,200309,1.278246999,6.892846700000009,76.98638153,81.74267188,172.79476851851848,2.868038654,1323.0,2.277605772,3.135984182,0.388582855,0.611417174,2.8024331397153803,0.404454201,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,9,52.357109539767656,-9999.0
131,201308,1.181670666,10.85741580000007,78.13945770000002,81.72972656,214.14462962962963,4.426532269,2458.25,2.364016771,3.5624752039999996,0.388582855,0.611417174,3.0967749078178137,0.40379124899999996,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,8,124.44621188528036,-9999.0
45,200511,1.308144927,-3.5919250000000043,78.08023834,81.01551563,72.58353009259258,2.002928734,198.5,2.121830225,2.34395051,0.388582855,0.611417174,2.257638443475851,0.39210885799999995,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,11,16.338949442434735,-9999.0
73,200805,1.3536237480000002,5.005700699999977,69.36652374,81.19264063,242.5876388888889,3.561275482,1888.666667,2.24582243,2.979330063,0.388582855,0.611417174,2.69430165920514,0.43956089,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,5,84.07580465788915,-9999.0
33,200408,1.249964356,10.41069950000002,78.49703979,81.48250781,200.6907175925926,5.96381855,2605.0,2.364016771,3.5624752039999996,0.388582855,0.611417174,3.0967749078178137,0.417266011,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,8,82.36017096315139,-9999.0
122,201211,1.3894401790000002,-2.431463600000029,74.78064728,80.86307812999998,71.8940972222222,3.869496822,209.0,2.121830225,2.34395051,0.388582855,0.611417174,2.257638443475851,0.408585876,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,11,11.109183005350122,-9999.0
35,200410,1.421465874,4.760614000000032,77.86315918,81.09135155999998,107.9806597222222,2.861907482,551.75,2.177725554,2.631486893,0.388582855,0.611417174,2.4551630927158765,0.421503574,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,10,35.76418104742126,-9999.0
115,201204,1.512602329,-0.7337401999999429,74.5639801,80.24632031,208.6162037037037,4.965200901,86.25,2.150725365,2.500477076,0.388582855,0.611417174,2.36456963011232,0.389409125,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,4,67.63208402484187,-9999.0
25,200306,1.234536529,12.609491000000048,65.81697845,81.74828125,268.93803240740743,2.876893997,3736.25,2.3488874440000003,3.484646082,0.388582855,0.611417174,3.0433098489097845,0.398802638,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,6,117.65306316051054,2549.3376500000004
11,200107,1.251835942,10.334680199999982,77.70117188,81.53240625000002,231.38587962962964,5.415791988,3577.0,2.399567604,3.738477468,0.388582855,0.611417174,3.2182001588750646,0.41951501399999996,1198.725098,17,50,31,1,0,0,0,0,0,0,0,0,0,0,7,87.19386468294145,-9999.0
