,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200606,1.549037695,16.02721560000009,65.8368454,93.38444531,267.7554398148148,2.958408833,3087.5,3.425311089,2.9766316410000004,0.27370941600000004,0.726290584,3.099439430683283,0.339173794,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,6,116.60378298728784,-9999.0
51,201010,1.7331029180000002,8.386743200000014,79.86946869,92.75979688,102.51098379629627,3.496239662,815.6666667000003,2.928809166,2.429322004,0.27370941600000004,0.726290584,2.5660363434105173,0.390353024,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,10,39.26274415744182,-9999.0
25,200711,2.151287794,1.958612100000039,81.3223877,93.1698125,58.91462962962963,4.933505535,261.25,2.773463488,2.252102137,0.27370941600000004,0.726290584,2.3948036479071813,0.391988128,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,11,24.74065769724836,-9999.0
5,200507,1.686695695,16.765130600000074,71.71673584,93.09507031,214.8539351851852,5.94775629,3304.0,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.382837921,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,7,122.25767526627148,1032.0594
77,201404,1.687285423,8.720056199999988,67.8013916,92.75013281,197.3778472222222,5.0573449130000006,2002.0,3.125647068,2.631666422,0.27370941600000004,0.726290584,2.766873576131963,0.39045217600000004,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,4,81.47566141646661,-9999.0
72,201307,1.6476495269999998,18.837060500000007,66.98912811,93.33719531,255.74685185185186,2.818890333,3070.75,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.321047425,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,7,157.84130689858034,-9999.0
20,200706,1.636734366,15.642266800000018,71.88600922,92.83292188,219.5941898148148,6.2278604510000015,3220.25,3.425311089,2.9766316410000004,0.27370941600000004,0.726290584,3.099439430683283,0.39114701700000004,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,6,107.64613253377728,-9999.0
22,200708,1.469924331,16.142266800000016,77.355896,93.00347656,180.87048611111112,7.634283066,2437.75,3.3730835910000003,2.9264810089999997,0.27370941600000004,0.726290584,3.048720340903312,0.385177344,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,8,82.71027395317199,-9999.0
23,200709,1.480201244,12.134515399999998,76.47498322,93.34227344,153.599375,4.475909233,1745.25,3.226086617,2.760361671,0.27370941600000004,0.726290584,2.887834973986292,0.388334632,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,9,60.27590686424836,-9999.0
81,201408,1.396039248,15.375329600000045,75.96120453,92.95039844,186.0933680555556,5.909721375,2633.75,3.3730835910000003,2.9264810089999997,0.27370941600000004,0.726290584,3.048720340903312,0.397000134,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,8,95.42571240799721,-9999.0
71,201306,1.7139446740000002,14.283105500000033,70.44693756,93.17803125,224.41546296296286,7.065452099,2803.75,3.425311089,2.9766316410000004,0.27370941600000004,0.726290584,3.099439430683283,0.38034108299999997,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,6,125.6119925032578,-9999.0
80,201407,1.70806551,16.603204300000016,74.76094055,92.91122656,200.01164351851853,10.96842098,2802.25,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.395299971,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,7,123.8831377266608,-9999.0
70,201305,1.854871869,9.527581800000009,74.64987946,92.54665625,193.4318634259259,7.721405506,2244.5,3.337272644,2.873940945,0.27370941600000004,0.726290584,3.0007591937475784,0.40550518,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,5,89.56319942392454,-9999.0
26,200802,1.629448771,2.156701700000042,74.02828979,93.78896094,104.9786226851852,1.913205266,237.0,2.614111662,2.0715198519999998,0.27370941600000004,0.726290584,2.220032339441483,0.387830347,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,2,16.898596633618794,-9999.0
42,201001,1.6227563619999998,-2.378637699999956,81.69224548,92.48222656,58.41279513888888,2.651329756,82.25,2.627785444,2.08450222,0.27370941600000004,0.726290584,2.2332039539636366,0.36320585,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,1,2.494576275829897,-9999.0
29,200805,1.765344024,12.803369100000054,63.94308853,92.78282813,242.90715277777767,2.514214039,2557.0,3.337272644,2.873940945,0.27370941600000004,0.726290584,3.0007591937475784,0.34093025299999996,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,5,112.69251214070104,-9999.0
6,200508,1.591826081,15.0483337,76.66282654,93.15072656,179.95527777777778,11.01505661,2549.0,3.3730835910000003,2.9264810089999997,0.27370941600000004,0.726290584,3.048720340903312,0.39605450600000003,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,8,94.45105259597591,-9999.0
55,201105,1.587665319,13.418969699999993,62.31297684,93.25291406,252.12356481481478,4.057446003,2783.25,3.337272644,2.873940945,0.27370941600000004,0.726290584,3.0007591937475784,0.337995082,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,5,110.7007890259527,1139.27626
63,201204,1.907330155,6.620416300000045,70.50744629,91.9796875,183.27037037037042,4.838767052,1658.25,3.125647068,2.631666422,0.27370941600000004,0.726290584,2.766873576131963,0.4077259,729.4351807,14,51,33,1,0,0,0,0,0,0,0,0,0,0,4,68.68687865704224,-9999.0
12,200607,1.525907397,21.016687000000047,59.64106369,93.36590625,270.66523148148144,2.24110961,3005.0,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.275586605,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,7,137.93741112260616,881.84675
32,200808,1.48418498,16.871942100000012,75.60583496,93.03817188,196.24347222222232,6.0200266839999985,2897.0,3.3730835910000003,2.9264810089999997,0.27370941600000004,0.726290584,3.048720340903312,0.378890812,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,8,90.77333337076305,-9999.0
37,200907,1.751356125,17.120813000000002,71.11975098,93.15064844,230.75976851851848,6.387924194,3442.75,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.382581919,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,7,117.54195480481864,-9999.0
50,201009,1.43249929,12.467431600000054,77.44169617,93.00302344,153.8292361111111,4.414515495,1883.5,3.226086617,2.760361671,0.27370941600000004,0.726290584,2.887834973986292,0.37994644,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,9,58.98302743133794,-9999.0
28,200804,1.881058693,5.751092500000027,71.85853577,92.45420313,181.68459490740744,6.751718044,1339.0,3.125647068,2.631666422,0.27370941600000004,0.726290584,2.766873576131963,0.41124481,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,4,52.7218891734177,-9999.0
44,201003,2.158633471,1.9171082000000297,67.64649200000001,92.90574219,148.20552083333334,2.528550863,278.5,2.824599504,2.297781229,0.27370941600000004,0.726290584,2.441976351388377,0.39026194799999997,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,3,23.87720432101868,-9999.0
33,200809,1.781292081,11.975183100000038,78.97203064,93.10778906,148.04401620370368,5.6317653660000015,1827.75,3.226086617,2.760361671,0.27370941600000004,0.726290584,2.887834973986292,0.371059388,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,9,49.13383705094592,-9999.0
40,200911,1.7323980330000002,5.454095500000051,80.15772247,92.5616875,56.23270833333334,4.881896973,359.75,2.773463488,2.252102137,0.27370941600000004,0.726290584,2.3948036479071813,0.399473011,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,11,113.95384007740243,-9999.0
57,201107,1.546573639,15.215966800000048,71.98981476,92.82755469,220.335,7.928459644,3228.0,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.393567502,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,7,103.45961168771905,-9999.0
21,200707,1.806892514,16.48311769999998,71.36754608,93.055625,232.4291203703704,7.866402626,3162.5,3.435436964,2.996954918,0.27370941600000004,0.726290584,3.1169715827371447,0.383621812,729.4351807,14,51,33,0,0,1,0,0,0,0,0,0,0,0,7,114.49180387728696,-9999.0
