,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200707,3.146679878,23.805932600000066,65.23297882,98.53498438,237.9436111111111,3.285932541,1167.0,1.309785485,0.93508786,0.99334687,0.006073276,1.3067503585542113,0.382412285,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,7,88.34390140849911,-9999.0
17,200807,3.2317862510000004,24.1737,72.50354767,98.6163125,218.1652546296296,7.0398936270000005,1859.75,1.309785485,0.93508786,0.99334687,0.006073276,1.3067503585542113,0.423784941,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,7,116.5649490553115,-9999.0
20,200810,4.0095453260000005,9.506280500000061,48.81954575,99.79886719,139.18075231481478,0.549071014,84.75,0.810639441,0.9350828529999999,0.99334687,0.006073276,0.8109251676650361,0.321483463,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,10,13.466779610015458,-9999.0
43,201009,3.74058032,17.434869399999968,48.96886063,99.67902344,204.80972222222226,0.448175609,311.5,1.075931191,0.935097933,0.99334687,0.006073276,1.0744519887493609,0.293521613,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,9,39.05513438672554,1587.5165000000006
40,201006,3.640251875,23.936059600000075,50.57725525,98.99340625,285.6805555555556,0.447703481,959.5,0.994973242,0.93511194,0.99334687,0.006073276,0.994032748576968,0.327301383,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,6,87.13589417453541,1300.0911
46,201012,3.612449169,-17.23132929999997,80.28881836,99.91571875,73.7682349537037,0.730897129,15.25,0.6988509890000001,0.9350091220000001,0.99334687,0.006073276,0.6998800109799782,0.431428254,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,12,16.83226988596263,1141.6958
5,200706,4.117832184,24.69634400000001,44.86111069,98.75685156,284.2753472222222,0.675055623,333.25,0.994973242,0.93511194,0.99334687,0.006073276,0.994032748576968,0.29751274,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,6,54.8562804507996,-9999.0
29,200907,3.205965042,22.58513790000001,70.36697388,98.57227344,242.1055092592593,4.536901951,2018.75,1.309785485,0.93508786,0.99334687,0.006073276,1.3067503585542113,0.418712497,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,7,119.31825092323143,-9999.0
27,200905,4.762271404,17.4684082,37.11125183,99.0229375,271.1321527777779,0.726481497,278.75,0.872710168,0.93507725,0.99334687,0.006073276,0.8725828960205451,0.338816136,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,5,51.42962199376981,1849.5892
33,200911,4.005155087,-4.762854000000004,47.67609406,100.5997109,94.44699652777777,0.245359868,-33.5,0.767347991,0.935075223,0.99334687,0.006073276,0.7679216949706787,0.323030859,141.3089905,19,37,43,1,0,0,0,0,0,0,0,0,0,0,11,4.8509550166812385,-9999.0
