,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
14,201010,3.995698452,2.951104699999973,61.98089218,86.33398437999998,144.4603240740741,2.574834585,61.33333333,0.892104566,1.553273439,0.993270576,0.005798605,0.8951080352528026,0.36035326100000004,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,10,129.69770410594964,1762.9871999999993
9,201002,4.244301319,-12.577764899999973,60.56826019,85.82521875,148.04947916666666,0.318853289,-71.5,0.784191966,1.5530112980000002,0.993270576,0.005798605,0.7879201048410316,0.228336617,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,7.9972444822239215,784.5994999999997
11,201004,5.3153805730000006,0.3172546000000125,38.23165894,85.72295313,222.9628240740741,1.269440174,-60.66666667,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.28614515100000004,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,25.883862803864204,2191.0017
1,200902,4.602151871,-7.8669799999999555,40.89896774,85.74414844,153.73956018518518,0.223382428,-59.5,0.784191966,1.5530112980000002,0.993270576,0.005798605,0.7879201048410316,0.252416015,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,84.24049315544785,701.6383
12,201008,3.481089354,17.05034790000002,55.34607697,85.86400781,238.80060185185184,2.358827114,1633.75,1.499792337,1.559336662,0.993270576,0.005798605,1.4987415758173326,0.270656377,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,8,128.0357938984815,1729.1358999999998
6,200910,4.527463913,4.594567899999959,45.7873497,86.06657813,158.11108796296298,0.950935543,35.33333333,0.892104566,1.553273439,0.993270576,0.005798605,0.8951080352528026,0.223354608,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,10,23.77654195173035,-9999.0
15,201011,5.083181381,-4.264654499999949,52.60097504,85.88228905999998,106.9163773148148,0.229673728,-28.5,0.85081315,1.552963495,0.993270576,0.005798605,0.8540926894557989,0.319217384,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,11,114.72869465673828,1521.7137
5,200909,4.066708088,12.729364000000036,47.82653427,86.08164844000002,196.5817129629629,1.29476285,467.0,1.137786865,1.5554490090000002,0.993270576,0.005798605,1.139149649164617,0.22076419,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,9,47.78423504139571,1389.6884700000005
2,200903,5.218875408,-3.17471919999997,37.24194717,85.75841405999998,209.0678009259259,0.609150767,-100.25,0.851940393,1.553011179,0.993270576,0.005798605,0.8552126232603817,0.25887557899999997,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,3,121.14977432812587,998.0937
4,200908,3.516135454,18.55220950000006,50.42318726,85.83367188,245.74699074074073,1.190667152,1257.5,1.499792337,1.559336662,0.993270576,0.005798605,1.4987415758173326,0.21501120899999998,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,8,94.95227873813437,1109.59615
10,201003,5.382074833,-5.920416299999999,43.35080338,85.77769531,198.9476388888889,0.8421834109999999,-140.75,0.851940393,1.553011179,0.993270576,0.005798605,0.8552126232603817,0.26870530800000003,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,3,22.088503533926104,-9999.0
0,200901,4.859585285,-14.914984099999973,69.6910553,86.10739063,111.37820601851853,0.046463858,-34.25,0.7739057540000001,1.553002596,0.993270576,0.005798605,0.7777030626634729,0.24731014699999998,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,1,96.37916028226412,782.8030999999999
13,201009,3.40662241,12.069604500000025,59.43676758,86.17683594,193.8924421296296,4.017881393,478.5,1.137786865,1.5554490090000002,0.993270576,0.005798605,1.139149649164617,0.268856794,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,9,124.48393241565692,1684.5715000000002
7,200911,4.766860962,-7.027960199999995,53.77819061,86.28752344,105.4464699074074,0.302695453,-83.5,0.85081315,1.552963495,0.993270576,0.005798605,0.8540926894557989,0.229418173,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,11,9.170943472416877,-9999.0
3,200904,4.498486042,5.5377441000000545,44.85033417,85.78507031,225.30821759259254,1.61856246,86.66666667,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.29225456699999997,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,109.898159747685,900.8243999999997
