,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
41,201211,2.956767797,4.977319300000033,89.30455017,96.17667188,47.76813368055557,1.360270739,276.6666667,2.43347764,1.3774027819999999,0.231822133,0.739474773,1.5826885866616245,0.37879917,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,11,7.22852311127746,-9999.0
32,201202,3.642005682,-5.387213099999998,80.57748413,97.06060938,78.48134259259258,1.346469879,201.0,2.391574383,1.0771018270000001,0.231822133,0.739474773,1.3509095037139294,0.394536734,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,2,6.884617036942773,-9999.0
12,201005,3.169693708,11.871667500000001,78.5,95.97414063,157.89872685185185,2.952507019,1775.0,2.556976557,2.338010311,0.231822133,0.739474773,2.3216634034731207,0.378618419,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,5,85.20148896057778,-9999.0
54,201404,2.777989864,10.570764200000044,73.19288635,96.10361719,191.35533564814813,1.928904533,1392.0,2.47597003,1.7121698859999999,0.231822133,0.739474773,1.84009109138596,0.361601532,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,4,35.42043261894081,-9999.0
55,201405,3.445873737,12.413018800000033,75.16107941,96.21704688,197.2891203703704,4.442748547,2409.25,2.556976557,2.338010311,0.231822133,0.739474773,2.3216634034731207,0.38897249100000003,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,5,66.79252107800902,-9999.0
25,201107,3.052922249,16.704492200000004,74.67684174,96.03203906,198.39729166666663,3.398409843,2382.25,2.559211016,2.38186717,0.231822133,0.739474773,2.35461244137812,0.353943169,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,7,92.6773861103806,-9999.0
33,201203,3.063183308,5.732232700000052,70.54856873,97.17678125,143.50302083333332,0.837363362,617.0,2.41621995,1.260248065,0.231822133,0.739474773,1.4920549143957178,0.37491205299999997,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,3,19.788021807699348,-9999.0
5,200910,3.149971247,7.937616000000047,82.36026764,96.44711719,76.17128472222221,2.218222618,467.6666667,2.443258762,1.471070766,0.231822133,0.739474773,1.6542211784325656,0.374576896,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,10,46.218762773766784,-9999.0
11,201004,2.781563759,8.283685300000059,68.16919708,96.58163281,205.51743055555562,1.744809508,993.6666667000003,2.47597003,1.7121698859999999,0.231822133,0.739474773,1.84009109138596,0.37780925600000004,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,4,56.232666858613,-9999.0
62,201412,3.880843163,2.071283000000051,82.85786438,96.51123438,31.74967881944445,1.4206882719999998,180.5,2.431748867,1.3739885090000001,0.231822133,0.739474773,1.5797630500656568,0.38470307,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,12,5.515989196769576,-9999.0
0,200905,2.999109268,13.625756800000033,72.23342133,96.66288281,205.5237962962963,3.296000481,2178.25,2.556976557,2.338010311,0.231822133,0.739474773,2.3216634034731207,0.3674781620000001,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,5,111.42654510441484,-9999.0
18,201011,3.292277336,5.395715300000006,85.99150085,95.43729688,49.0595138888889,1.42285645,274.5,2.43347764,1.3774027819999999,0.231822133,0.739474773,1.5826885866616245,0.368317991,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,11,16.065593318955592,-9999.0
6,200911,3.075059414,6.048425300000019,83.77384949,95.95842969,53.55615162037037,1.221975923,253.5,2.43347764,1.3774027819999999,0.231822133,0.739474773,1.5826885866616245,0.38366648600000003,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,11,17.64954160782648,-9999.0
56,201406,2.437864542,16.824365199999992,62.29065323,96.43358594,248.49060185185184,1.186708331,3332.75,2.59315896,2.621206522,0.231822133,0.739474773,2.539467739157331,0.312666416,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,6,113.57780246100208,1534.0580699999994
40,201210,2.756743193,8.514062500000023,82.97979736,96.14870313,88.36184606481481,1.525193095,604.75,2.443258762,1.471070766,0.231822133,0.739474773,1.6542211784325656,0.359819889,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,10,21.43662125180411,-9999.0
26,201108,2.338912487,18.841638199999977,73.04743958,96.38884375,192.3017361111111,1.928252935,2084.25,2.513689995,2.014867067,0.231822133,0.739474773,2.07267234333666,0.358607829,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,8,93.87751692616727,-9999.0
21,201103,2.97370553,4.219140600000061,69.4020462,96.87789844,141.76182870370369,1.182895064,482.5,2.416160107,1.259484172,0.231822133,0.739474773,1.4914761618610413,0.376032591,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,3,20.514888478943924,-9999.0
47,201308,2.350021839,19.00744020000002,67.71648407,96.59480469,196.9539351851852,2.314015388,2122.75,2.513689995,2.014867067,0.231822133,0.739474773,2.07267234333666,0.320128232,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,8,108.0648167987896,-9999.0
20,201102,3.042842865,-1.463842800000009,77.84208679,96.5928125,86.60160300925924,0.46935901,208.0,2.3914966580000003,1.075697541,0.231822133,0.739474773,1.3498530512675648,0.3858289720000001,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,2,16.271666282867493,-9999.0
42,201303,3.463635445,0.2808777000000191,74.01428223,95.6021875,125.33915509259258,1.214306593,297.5,2.416160107,1.259484172,0.231822133,0.739474773,1.4914761618610413,0.39483821399999997,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,3,15.792651874741235,-9999.0
59,201409,2.827810287,14.666345200000027,82.6038208,96.52485938,128.21987268518518,3.094557047,1327.0,2.478047609,1.753684878,0.231822133,0.739474773,1.8712720094665127,0.394496113,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,9,32.47771540621121,-9999.0
44,201305,3.3025574680000003,12.237115500000018,78.04260254,95.82501563,182.9060185185185,4.229457855,2268.5,2.556976557,2.338010311,0.231822133,0.739474773,2.3216634034731207,0.387847394,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,5,84.6702001253887,-9999.0
28,201110,3.192139387,8.542413300000021,81.87485504,96.87107031,90.31523148148148,2.360195398,694.3333332999997,2.443258762,1.471070766,0.231822133,0.739474773,1.6542211784325656,0.367091984,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,10,22.48862417590146,-9999.0
58,201408,2.403413773,16.596154800000022,76.44539642,96.22502344,166.0040625,3.050040722,1938.5,2.513689995,2.014867067,0.231822133,0.739474773,2.07267234333666,0.387761891,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,8,76.33115580658186,-9999.0
49,201310,2.931331873,9.773156700000015,80.70094299,96.58877344,97.26090277777777,1.494297147,694.6666667000003,2.443258762,1.471070766,0.231822133,0.739474773,1.6542211784325656,0.362591445,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,10,36.446443297425226,-9999.0
35,201205,3.046395302,14.579309100000046,63.66982651,96.32000781,236.0568287037037,1.381195664,2769.333333,2.556976557,2.338010311,0.231822133,0.739474773,2.3216634034731207,0.318401188,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,5,79.89148091742479,-9999.0
46,201307,2.382544994,19.821618699999988,65.69838715,96.71565625,257.8495601851852,1.15474546,2988.5,2.559211016,2.38186717,0.231822133,0.739474773,2.35461244137812,0.320254833,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,7,154.39681131685268,1027.45867
17,201010,3.227361679,6.7826172000000025,80.60926056,96.396875,91.49048611111112,0.416113973,653.3333332999998,2.443258762,1.471070766,0.231822133,0.739474773,1.6542211784325656,0.368105888,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,10,31.420145485397573,-9999.0
7,200912,3.106539249,-0.17755739999995512,83.64117432,95.62385156,32.00382523148148,2.166862965,134.5,2.431748867,1.3739885090000001,0.231822133,0.739474773,1.5797630500656568,0.3927202520000001,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,12,6.313217189328578,-9999.0
60,201410,2.819943428,10.967584199999976,87.36282349,96.57035938,84.08068287037038,1.708695054,790.6666667000003,2.443258762,1.471070766,0.231822133,0.739474773,1.6542211784325656,0.385752648,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,10,14.349759589527403,-9999.0
45,201306,2.902427435,15.959222399999987,75.55466461,96.42233594,206.75777777777776,6.039072514,2666.75,2.59315896,2.621206522,0.231822133,0.739474773,2.539467739157331,0.389768898,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,6,95.39751393068308,-9999.0
38,201208,2.316087484,19.176629600000005,68.72008514,96.55671875,208.7133101851852,2.48956871,2024.0,2.513689995,2.014867067,0.231822133,0.739474773,2.07267234333666,0.337970376,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,8,90.42404378854441,-9999.0
37,201207,2.672041178,18.819238299999995,74.47664642,96.36951563,212.32317129629632,4.112535477,2578.75,2.559211016,2.38186717,0.231822133,0.739474773,2.35461244137812,0.376874834,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,7,89.8034202687507,-9999.0
19,201012,3.393232822,-4.867163099999972,88.91860199,95.79379688,36.2571730324074,2.043932676,144.75,2.431748867,1.3739885090000001,0.231822133,0.739474773,1.5797630500656568,0.38163393700000003,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,12,5.176394615612785,-9999.0
13,201006,2.919608355,16.399072300000054,71.84441376,96.2341875,212.35194444444443,2.467252254,2910.0,2.59315896,2.621206522,0.231822133,0.739474773,2.539467739157331,0.36602520899999996,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,6,113.02630489336931,-9999.0
1,200906,3.108594179,15.272668500000007,75.58968353,96.26707813,206.92215277777768,4.412744522,2386.0,2.59315896,2.621206522,0.231822133,0.739474773,2.539467739157331,0.379636884,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,6,102.70368883282072,-9999.0
31,201201,4.679655075,0.125878900000032,81.68872833,96.55907813,43.24908275462962,3.258621454,111.75,2.394538641,1.099049687,0.231822133,0.739474773,1.3678265731175874,0.401957244,458.1650085,8,73,17,0,0,0,0,0,0,0,0,1,0,0,1,5.6156430439987775,-9999.0
