,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
80,201405,3.365193129,11.741449000000046,74.27705383,96.57324219,191.69725694444443,3.410124063,4691.5,2.994054794,2.457247019,0.17678116300000002,0.79248625,2.4766269639800345,0.372957796,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,5,104.66766894786144,-9999.0
57,201108,2.895681858,17.599267600000076,73.8631897,96.6445625,181.4460300925926,2.625630379,2360.75,2.9511966710000004,2.084020853,0.17678116300000002,0.79248625,2.1732738504568796,0.378433466,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,8,38.03086077957026,-9999.0
76,201401,3.687932253,0.4971252000000277,85.0990448,96.07228906,36.1492332175926,1.3838522430000002,143.5,2.84423399,1.1330307720000001,0.17678116300000002,0.79248625,1.4007183002332155,0.374460191,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,1,31.60594473811596,-9999.0
28,200806,2.62550211,16.484582500000045,66.14292908,96.71870313,233.8454398148148,1.977370381,3465.25,3.020374537,2.6921174530000003,0.17678116300000002,0.79248625,2.6674113882339685,0.334406734,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,6,76.02654219300794,1274.5283999999995
42,200908,2.721190453,18.245446800000078,65.72962952,96.96176563,208.8708796296296,2.325395107,1600.25,2.9511966710000004,2.084020853,0.17678116300000002,0.79248625,2.1732738504568796,0.349185109,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,8,74.80041699947469,-9999.0
81,201406,2.73222971,15.498284899999987,67.4493866,96.78304688,238.65525462962958,2.176253319,5158.75,3.020374537,2.6921174530000003,0.17678116300000002,0.79248625,2.6674113882339685,0.329190999,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,6,109.01796946133484,-9999.0
40,200906,3.446547031,13.926355,76.16997528,96.63553125,196.2505092592593,4.289037704,5099.25,3.020374537,2.6921174530000003,0.17678116300000002,0.79248625,2.6674113882339685,0.379485846,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,6,76.7651799049515,-9999.0
37,200903,3.984769106,3.2188965000000285,81.47590637,96.27664844,97.95282407407406,3.146058083,358.0,2.856564999,1.236831188,0.17678116300000002,0.79248625,1.4851585927694788,0.40796998100000004,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,3,26.259533091042172,-9999.0
29,200807,3.04418993,17.432672100000048,68.70515442,96.68246094,212.0936342592593,3.067508459,2789.0,2.98656559,2.3948743340000003,0.17678116300000002,0.79248625,2.4258735185488893,0.350505412,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,7,79.25826171513576,-9999.0
54,201105,3.044604063,13.274957300000038,61.80060196,97.01692188,245.9169444444444,2.255988836,3407.75,2.994054794,2.457247019,0.17678116300000002,0.79248625,2.4766269639800345,0.318301558,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,5,106.76735911839735,-9999.0
