,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
25,201103,2.468337536,2.3047119000000293,71.74248505,92.71960938,148.4174189814815,1.210633278,346.0,2.329719305,1.38300705,0.122320056,0.86266464,1.4780426747575932,0.39029172100000004,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,3,5.722283683785533,-9999.0
48,201308,1.917902708,16.543206800000007,71.87219238,92.66330469,201.95442129629632,4.06648016,1982.75,2.365949154,2.945290804,0.122320056,0.86266464,2.830201264138404,0.34470692299999994,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,8,50.01621789898177,1058.9683
52,201312,2.89810276,0.04265750000001845,87.68802643,92.72067188,37.142847222222215,1.096752882,116.75,2.337924242,1.669545412,0.122320056,0.86266464,1.7262328160118292,0.384656519,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,12,3.879366266415052,-9999.0
37,201205,2.410656452,12.172052000000008,68.77958679,92.33421094,240.60094907407398,2.623890877,1918.666667,2.35896945,2.775528431,0.122320056,0.86266464,2.682899509964669,0.34607461100000003,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,5,49.179815161587385,2393.2753
6,200907,2.444704056,15.933129899999983,78.23122406,92.47163281,230.97247685185184,6.044917107000001,2560.5,2.373296261,3.318277597,0.122320056,0.86266464,3.1528624801861804,0.39158546899999996,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,7,75.99676034532403,-9999.0
18,201008,2.637099266,14.857263199999974,80.81706238,92.31002344,169.65482638888886,6.059209824,1810.75,2.365949154,2.945290804,0.122320056,0.86266464,2.830201264138404,0.395464748,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,8,55.508106446758006,-9999.0
20,201010,2.472467899,5.763635300000032,84.08192444,92.25735938,90.1071585648148,0.84507066,351.0,2.341890097,1.813359022,0.122320056,0.86266464,1.8507808357152675,0.363419861,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,10,21.64519164794317,553.9498299999998
46,201306,2.281327724,13.605889900000026,78.99005127,92.49635938,221.55381944444443,6.471909046,2943.75,2.372683764,3.36555481,0.122320056,0.86266464,3.1935719394516893,0.383580446,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,6,69.93626613390924,1404.1304301
5,200906,2.738120794,12.952508500000027,78.29998016,92.34154688,217.76543981481478,5.6381139760000005,2847.75,2.372683764,3.36555481,0.122320056,0.86266464,3.1935719394516893,0.3862122,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,6,70.68360836416385,1568.8084199999994
31,201109,2.168514967,13.586206100000027,81.35160828,92.66116406,139.8008912037037,2.986426592,1103.75,2.355799198,2.4861986640000002,0.122320056,0.86266464,2.432917165272156,0.37629407600000003,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,9,32.08518663251228,1044.7665100000004
33,201112,3.916699409,0.09801640000000587,89.31453705,92.05571094,30.82278645833333,4.016981602,107.25,2.337924242,1.669545412,0.122320056,0.86266464,1.7262328160118292,0.39254745799999996,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,12,3.0832040323226093,-9999.0
45,201305,2.516480207,9.703881800000033,83.14754486,91.82423438,181.56069444444444,6.14183569,1428.25,2.35896945,2.775528431,0.122320056,0.86266464,2.682899509964669,0.40118318799999997,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,5,52.945417606440714,1300.3463399999996
35,201202,3.184061527,-6.649206499999992,84.07823944,92.83232813,76.19881365740741,1.913579464,160.5,2.324362755,1.073564529,0.122320056,0.86266464,1.2104423402824689,0.36320763799999994,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,2,5.056238091319134,-9999.0
32,201110,2.64208746,6.925073199999987,84.49967194,92.77472656,93.36902199074072,3.026397228,432.6666667,2.341890097,1.813359022,0.122320056,0.86266464,1.8507808357152675,0.372868985,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,10,15.888487736500714,614.6151280000001
0,200901,2.177093506,-4.9536193999999805,85.42815399,92.0415,46.11400462962962,0.990635216,143.5,2.325664997,1.118871927,0.122320056,0.86266464,1.2496867207818412,0.368053168,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,1,15.99569463745759,514.9553199999998
11,200912,2.78339982,-2.2612366000000184,86.89300537,91.45563281,30.632230902777767,2.668302059,165.5,2.337924242,1.669545412,0.122320056,0.86266464,1.7262328160118292,0.389405966,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,12,4.908536386461237,-9999.0
26,201104,2.749815941,8.624200400000008,68.92945099,92.51459375,207.5738657407408,1.469220996,755.6666667000003,2.342184305,1.915768862,0.122320056,0.86266464,1.9391621710103608,0.348202109,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,4,27.662749266841,1213.5748947
41,201209,2.249886274,12.421289100000026,79.17369843,92.45379688,142.46846064814812,1.780034184,1235.75,2.355799198,2.4861986640000002,0.122320056,0.86266464,2.432917165272156,0.366046935,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,9,38.39668980454896,1008.64138
28,201106,2.47837019,14.622430399999983,77.26058959999997,92.49621094,226.7455555555556,4.308137417,2506.0,2.372683764,3.36555481,0.122320056,0.86266464,3.1935719394516893,0.38139900600000004,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,6,69.94978056025522,1540.4545
38,201206,2.380350113,14.873071300000053,76.47310638,92.28834375,222.32416666666663,4.392287254,2528.0,2.372683764,3.36555481,0.122320056,0.86266464,3.1935719394516893,0.372757554,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,6,71.93362766249109,1535.0070000000005
17,201007,1.82104528,17.66762700000004,73.02451324,92.59584375,236.34803240740746,5.094424725,2663.5,2.373296261,3.318277597,0.122320056,0.86266464,3.1528624801861804,0.34434211299999995,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,7,69.2329124226206,2008.7331
7,200908,2.056466103,16.676110800000004,74.79955292,92.70526563,208.30835648148147,2.980322599,1992.0,2.365949154,2.945290804,0.122320056,0.86266464,2.830201264138404,0.361247241,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,8,57.807530031534434,1579.1728299999993
50,201310,2.509396076,8.320245400000033,83.02217865,92.50224219,94.12836226851853,1.693196893,499.0,2.341890097,1.813359022,0.122320056,0.86266464,1.8507808357152675,0.367827863,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,10,16.265349284490366,-9999.0
49,201309,2.9042401310000003,11.104577600000026,82.54492188,92.36703906,126.03839120370372,3.637064219,1006.0,2.355799198,2.4861986640000002,0.122320056,0.86266464,2.432917165272156,0.373915911,864.6631470000003,16,47,36,0,0,0,0,0,0,1,0,0,0,0,9,32.78357773990141,712.7492599999997
