,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
19,201104,3.327033758,10.381250000000025,66.17105103,96.91142969,186.37847222222214,1.809247613,1526.333333,2.915749073,1.755828619,0.17678116300000002,0.79248625,1.9069195500551008,0.349027395,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,4,52.71675000865391,-9999.0
6,200808,3.2600028510000003,17.040948500000013,69.67117309999999,96.56034375,175.05930555555554,3.992865086,2035.5,2.9511966710000004,2.084020853,0.17678116300000002,0.79248625,2.1732738504568796,0.361206621,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,8,67.35851147863664,-9999.0
20,201105,3.044604063,13.274957300000038,61.80060196,97.01692188,245.9169444444444,2.255988836,3407.75,2.994054794,2.457247019,0.17678116300000002,0.79248625,2.4766269639800345,0.318301558,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,5,83.90650179665879,-9999.0
0,200801,5.009337425,2.045770300000072,82.63266754,96.83079688,35.1416261574074,2.355083942,158.5,2.84423399,1.1330307720000001,0.17678116300000002,0.79248625,1.4007183002332155,0.386905968,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,1,4.502203929739637,-9999.0
34,201308,2.562138796,17.54284060000009,67.93521118,96.9556875,193.31678240740746,3.187061548,1844.0,2.9511966710000004,2.084020853,0.17678116300000002,0.79248625,2.1732738504568796,0.35238778600000004,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,8,78.45633781487207,-9999.0
25,201205,3.058141232,14.112908899999981,62.98728943,96.67234375,237.9497453703704,1.5580219030000002,4586.666667,2.994054794,2.457247019,0.17678116300000002,0.79248625,2.4766269639800345,0.299677819,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,5,70.77234957665921,2472.8078999999993
39,201408,2.734843254,15.922326700000045,72.34706116,96.47430469,184.3675,3.485355139,1655.0,2.9511966710000004,2.084020853,0.17678116300000002,0.79248625,2.1732738504568796,0.37725383,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,8,90.5704903439302,-9999.0
21,201106,3.153644562,16.55367430000007,66.96727753,96.74203906,237.1978009259259,2.562044859,4014.25,3.020374537,2.6921174530000003,0.17678116300000002,0.79248625,2.6674113882339685,0.340229481,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,6,91.89060149742159,-9999.0
28,201208,2.676202297,18.11086430000006,65.66643524,96.85672656,206.91215277777766,2.523576498,1637.75,2.9511966710000004,2.084020853,0.17678116300000002,0.79248625,2.1732738504568796,0.31014928199999997,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,8,65.17677448486025,-9999.0
7,200809,2.737959385,11.771691900000008,78.58324432,96.98070313,122.69283564814816,2.359181404,1409.0,2.9249365330000003,1.8480085130000001,0.17678116300000002,0.79248625,1.9815950184403743,0.37066716,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,9,35.841354106170165,-9999.0
33,201307,2.483559847,18.97979130000005,65.3640213,97.08049219,248.24995370370368,1.806473374,3779.25,2.98656559,2.3948743340000003,0.17678116300000002,0.79248625,2.4258735185488893,0.307118744,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,7,86.7666572968333,-9999.0
36,201405,3.365193129,11.741449000000046,74.27705383,96.57324219,191.69725694444443,3.410124063,4691.5,2.994054794,2.457247019,0.17678116300000002,0.79248625,2.4766269639800345,0.372957796,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,5,64.31263025747637,-9999.0
22,201107,3.621240377,15.568841600000045,73.42892456,96.32707031,185.26771990740738,6.946059227,3371.25,2.98656559,2.3948743340000003,0.17678116300000002,0.79248625,2.4258735185488893,0.37910682,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,7,85.92757130631017,-9999.0
18,201010,3.650584221,6.586175500000024,80.18362427,96.66365625,88.32036458333332,0.632915199,559.6666667000002,2.884913683,1.50816226,0.17678116300000002,0.79248625,1.7051962498542783,0.35748192700000003,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,10,16.211579456244618,-9999.0
37,201406,2.73222971,15.498284899999987,67.4493866,96.78304688,238.65525462962958,2.176253319,5158.75,3.020374537,2.6921174530000003,0.17678116300000002,0.79248625,2.6674113882339685,0.329190999,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,6,85.40239893695524,-9999.0
5,200807,3.04418993,17.432672100000048,68.70515442,96.68246094,212.0936342592593,3.067508459,2789.0,2.98656559,2.3948743340000003,0.17678116300000002,0.79248625,2.4258735185488893,0.350505412,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,7,81.51170712659138,-9999.0
13,200909,2.921523333,14.437097200000036,75.93161011,97.12755469,133.63837962962958,1.897673726,1125.75,2.9249365330000003,1.8480085130000001,0.17678116300000002,0.79248625,1.9815950184403743,0.349887341,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,9,44.55758199891493,-9999.0
1,200802,3.853588104,2.98003540000002,77.40006256,97.49075781,66.62370949074074,1.1525006290000002,168.5,2.831805468,1.022937298,0.17678116300000002,0.79248625,1.3112736072999518,0.375775605,442.8332214,16,36,47,0,0,1,0,0,0,0,0,0,0,0,2,5.064897708275704,566.1193599999998
