,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200707,4.140725136,17.044335900000018,71.3692627,99.63990625,206.9218055555556,3.901291847,1782.25,2.419472694,2.441171169,0.571040571,0.428959459,2.428780532681306,0.34888243700000005,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,7,105.33385593789076,-9999.0
17,200806,3.0508015160000004,16.19680180000006,72.52571106,99.99310156,224.8825,3.0564472680000003,3126.5,2.692736149,2.468834877,0.571040571,0.428959459,2.5966916612755524,0.342493683,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,6,109.40234349418115,-9999.0
19,200808,3.71551013,17.60863650000005,73.66731262,99.68613281,169.33083333333332,2.593158007,1600.75,2.206694841,2.416291475,0.571040571,0.428959459,2.2966033659297063,0.33698821100000004,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,8,33.55075142282891,949.88811
29,200907,3.599467039,18.256158400000004,68.23852539,99.78017969,223.61203703703706,3.034976244,1847.25,2.419472694,2.441171169,0.571040571,0.428959459,2.428780532681306,0.301549792,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,7,53.31892849855978,1392.9916500000006
38,201006,2.638185978,16.79497680000003,63.94397736,99.97495313,247.67152777777767,1.130731821,2846.25,2.692736149,2.468834877,0.571040571,0.428959459,2.5966916612755524,0.28452587100000004,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,6,59.69010231360219,796.6477399999999
44,201012,3.4358878139999995,-2.432592800000009,89.20096588,99.60753125,25.472300347222234,2.983932972,112.0,1.835549116,2.37348485,0.571040571,0.428959459,2.066301792499881,0.378220826,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,12,14.496802208192413,190.849431
5,200706,3.2863478660000003,17.350488299999995,75.69100952,99.57898438,208.26898148148143,3.464502335,2833.5,2.692736149,2.468834877,0.571040571,0.428959459,2.5966916612755524,0.348505616,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,6,92.59760348683928,-9999.0
25,200903,3.96836257,5.376000999999974,77.88578033,99.79538281,104.07704861111107,2.8641796110000004,393.25,1.668065906,2.356657743,0.571040571,0.428959459,1.9634439379133133,0.388798714,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,3,27.03029766811479,-9999.0
27,200905,3.361903906,13.761071800000082,69.29920959,100.2598359,205.0181944444444,2.082616568,3094.25,2.445195675,2.443822145,0.571040571,0.428959459,2.44460655967015,0.334185749,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,5,95.09780624934922,-9999.0
40,201008,3.396787405,16.805932600000062,74.96600342,99.74033594,161.7236574074074,5.30060482,1329.75,2.206694841,2.416291475,0.571040571,0.428959459,2.2966033659297063,0.34164500200000003,18.38858414,15,26,58,0,0,0,0,0,0,0,0,1,0,0,8,70.88731101989343,-9999.0
