,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
112,201107,3.573463917,15.568841600000045,70.70775604,96.32707031,185.26771990740738,6.946059227,3371.25,2.98656559,2.3948743340000003,0.332061708,0.659087777,2.5701564718598435,0.37910682,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,7,86.43990141980206,-9999.0
15,200106,3.016259909,13.211633300000017,74.29881287,96.65661719,200.33872685185185,3.25019598,5229.75,3.020374537,2.6921174530000003,0.332061708,0.659087777,2.777292435076601,0.375355005,442.8332214,9,64,26,1,0,0,0,0,0,0,0,0,0,0,6,68.24966323630315,-9999.0
110,201105,2.946048737,13.274957300000038,58.12915039,97.01692188,245.9169444444444,2.255988836,3407.75,2.994054794,2.457247019,0.332061708,0.659087777,2.613752424033815,0.318301558,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,5,71.593890515073,-9999.0
118,201204,3.20460844,7.644036900000002,64.55252075,95.74416406,182.8775694444444,1.6531319619999998,2036.75,2.915749073,1.755828619,0.332061708,0.659087777,2.125453798569487,0.3648224470000001,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,4,44.55462139718428,-9999.0
11,200102,3.791302681,0.05993039999998472,79.10388947,96.64865625,69.12262731481479,2.11749053,198.75,2.831691027,1.021630645,0.332061708,0.659087777,1.6136404296820204,0.38134345399999997,442.8332214,9,64,26,1,0,0,0,0,0,0,0,0,0,0,2,7.091841822917488,-9999.0
136,201310,3.412056684,9.608056600000054,75.68634033,96.801375,85.0480150462963,1.959034204,458.6666667,2.884913683,1.50816226,0.332061708,0.659087777,1.9519806763082463,0.36552614,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,10,21.486997482602085,-9999.0
125,201211,3.19864893,4.355493200000012,84.45584106,96.39955469,36.30989293981481,3.153074265,273.0,2.878034592,1.44355917,0.332061708,0.659087777,1.9071172866258683,0.381067425,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,11,3.172455267121403,-9999.0
122,201208,2.611377001,18.11086430000006,62.63883591,96.85672656,206.91215277777766,2.523576498,1637.75,2.9511966710000004,2.084020853,0.332061708,0.659087777,2.353532078441588,0.31014928199999997,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,8,62.99247744801068,-9999.0
46,200410,3.137578726,9.493615699999964,77.01799774,96.49492188,87.03870949074074,1.7384655480000002,601.75,2.884913683,1.50816226,0.332061708,0.659087777,1.9519806763082463,0.35827747,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,10,20.371406269062934,-9999.0
132,201306,2.917535305,15.260461399999995,72.64647675,96.78203906,204.96703703703704,6.099069595,4566.75,3.020374537,2.6921174530000003,0.332061708,0.659087777,2.777292435076601,0.37722942200000004,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,6,76.58123329023131,-9999.0
109,201104,3.227065802,10.381250000000025,63.54603577,96.91142969,186.37847222222214,1.809247613,1526.333333,2.915749073,1.755828619,0.332061708,0.659087777,2.125453798569487,0.349027395,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,4,42.101962454650256,-9999.0
76,200708,2.447364569,16.86678470000004,69.22087859999999,96.6339375,182.58584490740745,3.209038019,2087.75,2.9511966710000004,2.084020853,0.332061708,0.659087777,2.353532078441588,0.369274616,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,8,70.24071302053994,-9999.0
28,200211,3.0799374580000003,3.9985901000000577,86.69133759,96.05852344,37.26119791666665,4.6000733380000005,170.5,2.878034592,1.44355917,0.332061708,0.659087777,1.9071172866258683,0.403102815,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,11,7.5523181778135715,-9999.0
116,201111,2.881037474,3.765863000000024,81.69976044,97.30158594,53.70119212962963,0.042445451,449.0,2.878034592,1.44355917,0.332061708,0.659087777,1.9071172866258683,0.342550278,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,11,6.081017357559192,-9999.0
32,200304,3.475779772,6.62215580000003,60.12572479,96.71098438,199.84497685185184,1.823958635,687.0,2.915749073,1.755828619,0.332061708,0.659087777,2.125453798569487,0.35741761299999997,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,4,38.14493176329885,-9999.0
129,201303,3.410502434,-2.2733521000000105,74.05177307,96.02767969,114.82119212962965,1.512608171,-14.25,2.856564999,1.236831188,0.332061708,0.659087777,1.7637361708041477,0.389496386,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,3,16.324812608220295,-9999.0
146,201411,2.911482573,6.100305199999981,84.92934418,96.4783125,39.67048611111111,0.8894534709999999,446.0,2.878034592,1.44355917,0.332061708,0.659087777,1.9071172866258683,0.368631989,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,11,6.042388622544334,-9999.0
69,200701,5.949637413,3.286737100000039,77.56191254,96.4908125,31.53621817129629,3.593023777,222.0,2.84423399,1.1330307720000001,0.332061708,0.659087777,1.691227929461129,0.396007955,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,1,10.297768729727592,-9999.0
101,201004,2.913417339,7.503472900000019,63.57009888,96.94979688,200.14226851851848,1.554661751,2168.666667,2.915749073,1.755828619,0.332061708,0.659087777,2.125453798569487,0.36274778799999996,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,4,42.206662422567454,-9999.0
54,200509,2.480834246,14.59288939999999,73.18393707,96.97414063,148.41047453703703,2.304621696,1346.0,2.9249365330000003,1.8480085130000001,0.332061708,0.659087777,2.189259243649824,0.35308262700000004,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,9,42.68502959224989,-9999.0
26,200209,2.718861103,12.330743400000017,73.79642487,96.90884375,126.78212962962965,2.314786911,1206.5,2.9249365330000003,1.8480085130000001,0.332061708,0.659087777,2.189259243649824,0.37670326200000004,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,9,50.137185901898405,-9999.0
90,200903,3.773897409,3.2188965000000285,78.55513,96.27664844,97.95282407407406,3.146058083,358.0,2.856564999,1.236831188,0.332061708,0.659087777,1.7637361708041477,0.40796998100000004,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,3,24.33653099978557,-9999.0
143,201408,2.743651152,15.922326700000045,69.42115021,96.47430469,184.3675,3.485355139,1655.0,2.9511966710000004,2.084020853,0.332061708,0.659087777,2.353532078441588,0.37725383,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,8,78.17510090662587,-9999.0
51,200506,2.831714869,15.222070300000038,65.23487091,96.9045625,230.79571759259255,2.33820343,5259.0,3.020374537,2.6921174530000003,0.332061708,0.659087777,2.777292435076601,0.330460608,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,6,74.21943210768445,-9999.0
16,200108,2.904431105,17.87056880000006,69.84925842,96.83,173.91521990740742,3.775557518,1551.0,2.9511966710000004,2.084020853,0.332061708,0.659087777,2.353532078441588,0.363209039,442.8332214,9,64,26,1,0,0,0,0,0,0,0,0,0,0,8,72.47853214832513,-9999.0
114,201109,2.676105022,15.00347290000002,70.4543457,96.88682813,141.57136574074073,2.666474104,1508.25,2.9249365330000003,1.8480085130000001,0.332061708,0.659087777,2.189259243649824,0.370776802,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,9,58.35897490290935,-9999.0
29,200212,3.358372688,-2.3862975999999776,84.42725372,96.84803906,29.01701099537037,2.545935154,150.75,2.878575087,1.4436813590000002,0.332061708,0.659087777,1.907377297595117,0.379700959,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,12,4.776997139425053,-9999.0
37,200309,2.671186447,13.720544399999996,65.70524597,97.11957813,143.98565972222218,1.988377333,499.0,2.9249365330000003,1.8480085130000001,0.332061708,0.659087777,2.189259243649824,0.299679309,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,9,33.312503775394944,-9999.0
62,200606,2.34794879,16.237878400000003,62.91499329,97.12660938,240.7586342592592,2.065466642,5098.75,3.020374537,2.6921174530000003,0.332061708,0.659087777,2.777292435076601,0.330412179,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,6,65.03393058577613,-9999.0
85,200807,2.977351904,17.432672100000048,65.29762268,96.68246094,212.0936342592593,3.067508459,2789.0,2.98656559,2.3948743340000003,0.332061708,0.659087777,2.5701564718598435,0.350505412,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,7,79.60981180641544,-9999.0
105,201010,3.453806639,6.586175500000024,76.98966217,96.66365625,88.32036458333332,0.632915199,559.6666667000002,2.884913683,1.50816226,0.332061708,0.659087777,1.9519806763082463,0.35748192700000003,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,10,19.742913672624127,-9999.0
40,200404,2.89787364,8.425775100000068,68.40750885,96.43271875,179.7267361111111,1.416257381,2231.0,2.915749073,1.755828619,0.332061708,0.659087777,2.125453798569487,0.362394005,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,4,45.850723958054154,-9999.0
133,201307,2.402587652,18.97979130000005,63.02882004,97.08049219,248.24995370370368,1.806473374,3779.25,2.98656559,2.3948743340000003,0.332061708,0.659087777,2.5701564718598435,0.307118744,442.8332214,9,64,26,0,0,1,0,0,0,0,0,0,0,0,7,92.3524592863248,2536.4096
