,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200712,1.763268113,4.874658199999999,68.12700653,87.64417969,102.71677083333331,0.748946905,260.75,1.891021967,1.84260869,0.720125735,0.279874265,1.877472336683384,0.23138371100000002,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,12,6.1265836885417375,-9999.0
22,200908,1.713751554,22.85491330000001,43.19051361,87.50122655999998,293.0666435185185,0.857205868,946.75,1.950825095,1.876670003,0.720125735,0.279874265,1.9300709931304931,0.150532305,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,8,66.80766857240152,3313.8849
13,200805,1.944149852,13.1089111,59.33464432,86.83127344,276.25675925925924,1.973565102,878.3333332999997,2.047815323,1.931569815,0.720125735,0.279874265,2.0152811968889486,0.21015583,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,5,60.28214181357831,2375.47323
11,200803,2.517403841,8.66906130000001,52.54273224,87.05994531,226.4884953703704,0.541869342,448.5,1.951819658,1.87637651,0.720125735,0.279874265,1.9307050624042137,0.20733943600000002,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,3,58.398851455515356,2874.277500000001
5,200707,1.961604357,24.037683100000038,32.31108093,87.46395313,336.4956018518518,0.100923158,845.75,1.977693081,1.897843599,0.720125735,0.279874265,1.9553452659146195,0.120104976,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,7,67.53858677431592,3721.3152
19,200905,2.107096195,15.883844000000007,46.98830032,87.32573438,315.9990972222222,0.804654717,1150.0,2.047815323,1.931569815,0.720125735,0.279874265,2.0152811968889486,0.18308503899999998,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,5,64.1669054419709,3374.1117999999988
23,200910,1.528430343,15.232446300000053,60.33385849,87.42841406,179.98150462962963,0.7494840620000001,599.6666667000002,1.915278435,1.855128646,0.720125735,0.279874265,1.89844405701372,0.230128825,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,10,18.089759986906255,744.15845
21,200907,1.943081021,25.235803199999967,29.69002724,87.59025781,334.0411111111111,0.254383594,1092.5,1.977693081,1.897843599,0.720125735,0.279874265,1.9553452659146195,0.124479584,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,7,59.274155753101,2932.6098
6,200709,1.625314474,17.757135000000005,63.62956238,87.48253125000002,224.2678009259259,2.208067417,570.0,1.943373799,1.871310711,0.720125735,0.279874265,1.9232051952123697,0.21950756,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,9,48.22944729260964,-9999.0
12,200804,2.531523705,11.089166300000043,53.82540131,86.98109375,268.02194444444444,1.875998855,670.5,2.0191328530000003,1.914916992,0.720125735,0.279874265,1.9899655155012832,0.219411567,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,4,68.40413822746311,3043.59044
4,200706,1.782304168,19.585443100000077,45.02647018,87.2250625,330.96766203703703,0.32787984600000003,1165.75,2.020849705,1.9169903990000001,0.720125735,0.279874265,1.99178215806984,0.137694731,1640.564331,12,51,27,1,0,0,0,0,0,0,0,0,0,0,6,70.74016297817532,3367.8622
