,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
77,201108,2.537616491,15.679620400000033,81.19976044,99.42180469,135.81274305555553,2.86522007,1636.5,0.0,3.214161158,0.007202478000000002,0.9869989159999999,3.1723735787953045,0.35180914399999996,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,8,61.78086231671704,1122.7785700000004
63,200907,2.850464821,16.172448700000018,73.55464172,99.19019531,199.53805555555562,3.343479872,2089.5,4.44e-16,3.62769556,0.007202478000000002,0.9869989159999999,3.5805315852980124,0.325512767,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,7,79.53793081632797,-9999.0
26,200603,2.792874813,-7.765783699999987,81.87683105,99.31026563,87.68840856481482,0.973314047,250.25,4.44e-16,1.362063646,0.007202478000000002,0.9869989159999999,1.3443553421250076,0.330500811,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,3,5.404969029472102,-9999.0
29,200606,3.252238512,15.27727660000005,63.21660233,99.77139844,232.7591203703704,0.895008087,2041.0,4.44e-16,3.2383062839999996,0.007202478000000002,0.9869989159999999,3.1962047919839875,0.295354038,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,6,69.97397717428073,-9999.0
43,200709,3.448494434,9.678552200000011,83.11190796,99.20554688,85.02550925925925,2.367896318,682.25,0.0,2.469697714,0.007202478000000002,0.9869989159999999,2.4375889665656776,0.378734589,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,9,35.78073307358096,-9999.0
57,200812,3.4331672189999995,-1.3743041999999832,93.42372131,99.7550625,3.1281778067129618,1.947655439,155.75,-4.44e-16,1.318000674,0.007202478000000002,0.9869989159999999,1.3008652365252693,0.38285440200000004,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,12,9.934855253390532,-9999.0
35,200612,4.525200367,1.70031130000001,89.04198456,98.61265625,4.204047671296296,2.160860538,194.0,-4.44e-16,1.318000674,0.007202478000000002,0.9869989159999999,1.3008652365252693,0.38386896299999995,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,12,3.1479743593638188,-9999.0
44,200710,3.417904139,5.662988299999995,88.56100464,100.0495625,34.10670138888889,1.6024620530000002,109.3333333,0.0,2.1443972590000002,0.007202478000000002,0.9869989159999999,2.1165177701063707,0.37642231600000003,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,10,14.297581583288784,-9999.0
22,200509,3.808907509,11.342248499999984,79.34072113,99.54749219,102.88336805555555,1.193963647,682.75,0.0,2.469697714,0.007202478000000002,0.9869989159999999,2.4375889665656776,0.355234593,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,9,34.62155910503172,-9999.0
90,201309,3.043910027,10.994989000000034,85.42855835,99.543875,84.7203645833333,1.7151215080000002,723.25,0.0,2.469697714,0.007202478000000002,0.9869989159999999,2.4375889665656776,0.35254198299999995,158.7246704,7,77,17,0,0,0,0,0,0,1,0,0,0,0,9,23.92169661722703,-9999.0
