,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
27,201309,1.897546291,24.074609399999986,89.2458725,100.6112109,145.95549768518518,5.099950314,3483.75,3.739464521,3.698693037,0.199258387,0.800741613,3.7068170971374363,0.393978596,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,9,40.538193238461815,1223.357
5,201106,1.547822714,24.63289789999999,89.61079407,100.5641641,154.96398148148148,7.693314552,3809.5,3.801260948,4.2213811869999995,0.199258387,0.800741613,4.137668705830805,0.40501573700000004,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,6,77.89622578006097,714.51256
6,201107,1.909341693,23.96834720000004,87.89175415,100.61508590000001,145.54265046296297,5.321512699,3880.75,3.734979868,3.681047201,0.199258387,0.800741613,3.691793737233029,0.394823939,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,7,83.89843633533812,-9999.0
38,201408,2.345281363,23.898797600000023,87.69595337,100.6963672,143.5626851851852,3.800120831,3376.5,3.691189766,3.318611145,0.199258387,0.800741613,3.3928505600511443,0.3818088770000001,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,8,58.530847946225215,-9999.0
21,201211,1.339772105,25.281488000000024,88.78651428,100.3644297,184.87234953703705,5.545226574,3114.0,3.899541855,5.045124531,0.199258387,0.800741613,4.816857574805097,0.39421641799999996,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,11,79.01849060076243,1235.2984
0,201101,1.475953579,26.03792720000001,81.82515717,100.17814840000001,210.51460648148145,1.823164701,2478.5,3.804686785,4.251451969,0.199258387,0.800741613,4.162430259068401,0.301578522,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,1,56.68248512735561,815.3786299999997
20,201210,1.403757095,24.640557900000033,89.76428986,100.446,164.62237268518518,7.467741489,2976.5,3.83325696,4.479709625,0.199258387,0.800741613,4.350898509700248,0.40586569899999997,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,10,79.83295472293325,-9999.0
42,201412,1.3845753669999998,25.389611800000072,87.88779449,100.4533828,183.8564236111111,4.034626007,2982.75,3.880890608,4.893260478999999,0.199258387,0.800741613,4.691537291457141,0.381307006,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,12,111.2117914658292,1197.4172
35,201405,1.495147109,25.62053830000001,89.94561768,100.3742188,174.01736111111111,10.49931431,3575.25,3.856719971,4.702764511,0.199258387,0.800741613,4.534183040629443,0.40865790799999996,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,5,127.88664275609385,1924.94521
36,201406,1.632598877,24.557550000000052,91.21007538,100.5857656,134.14582175925926,14.45476341,3443.5,3.801260948,4.2213811869999995,0.199258387,0.800741613,4.137668705830805,0.408643663,61.12029266,11,81,6,0,0,1,0,0,0,0,0,0,0,0,6,84.00973345383062,1614.8912999999993
