,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
21,201410,2.948812008,16.06447750000001,80.05297852,97.63716406,137.76416666666665,2.587210417,1906.0,2.313346624,3.256583452,0.506660759,0.385591984,2.4277944306641763,0.328154534,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,50.629198633938465,-9999.0
12,201307,2.082707644,23.31411130000004,65.55457306,97.59596875,292.6874305555555,2.0228867530000003,3838.0,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.231076285,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,117.19885586912727,2797.5935
9,201210,2.190503597,15.544702100000052,84.41440582,97.22770313,127.56326388888887,5.991567135,1934.25,2.313346624,3.256583452,0.506660759,0.385591984,2.4277944306641763,0.3666180670000001,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,70.07344487070282,-9999.0
6,201207,2.7052755360000003,24.58983760000007,58.63786697,97.34132813,304.47828703703703,0.765189826,3406.75,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.152742729,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,43.56648305651848,3444.0168000000012
20,201409,2.483780384,19.10927730000003,78.10170746,97.425875,185.6971875,3.0439305310000004,2730.5,2.340599537,3.334219933,0.506660759,0.385591984,2.4715384169892856,0.287493885,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,9,79.79506297022463,-9999.0
18,201407,2.339416742,21.16692500000005,72.73338318,97.24151563,259.475625,3.729136229,4410.75,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.29916819899999997,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,109.67911642663248,-9999.0
19,201408,2.41222167,22.246759,72.71192932,97.32325,258.2234490740741,0.485034347,3860.0,2.360715628,3.389092684,0.506660759,0.385591984,2.5028889438490864,0.21604459,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,107.98110582466744,1341.7973000000004
0,201106,2.160477638,20.6171814,68.67021179,97.45055469,289.12490740740736,2.76077342,4418.0,2.468507767,3.6547455789999996,0.506660759,0.385591984,2.6599366176474537,0.24632020300000002,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,128.34915879924742,-9999.0
1,201107,2.36627388,21.33492430000007,72.69486237,97.16692188,274.53509259259255,3.813719988,4105.5,2.386351347,3.457940102,0.506660759,0.385591984,2.5424245691950347,0.247448429,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,148.31431296647958,-9999.0
17,201406,2.305066347,20.300531000000035,68.91178131,97.3930625,288.62,4.420333385,4720.5,2.468507767,3.6547455789999996,0.506660759,0.385591984,2.6599366176474537,0.277805686,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,98.35247410206509,1150.79586
11,201306,1.999594569,19.382226600000024,70.61811066,97.45932813,292.51766203703704,1.659281015,4656.25,2.468507767,3.6547455789999996,0.506660759,0.385591984,2.6599366176474537,0.272733748,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,147.14681520413563,-9999.0
13,201308,2.462520123,24.105554200000032,60.40988159,97.44528125,263.631875,1.262536407,3247.5,2.360715628,3.389092684,0.506660759,0.385591984,2.5028889438490864,0.16952551899999999,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,131.13275843338943,3402.195500000001
5,201206,2.431828022,21.959588600000075,60.47041321,97.42739844,303.0138425925926,0.92665869,4403.5,2.468507767,3.6547455789999996,0.506660759,0.385591984,2.6599366176474537,0.22395636100000002,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,75.45121837776745,-9999.0
2,201108,1.998277307,23.746026600000054,62.56489563,97.44999219,276.35187499999995,0.214758143,3089.25,2.360715628,3.389092684,0.506660759,0.385591984,2.5028889438490864,0.177872002,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,92.10104716013329,1886.2976
4,201110,3.033104658,14.490441900000008,71.13899231,97.77789844,144.72982638888888,2.823171854,1556.0,2.313346624,3.256583452,0.506660759,0.385591984,2.4277944306641763,0.24014689,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,58.65463744401357,-9999.0
14,201309,2.22898078,19.326654100000038,73.14705658,97.44436719,193.21878472222213,3.2846763130000003,2360.0,2.340599537,3.334219933,0.506660759,0.385591984,2.4715384169892856,0.224472538,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,9,67.45395564242219,2196.2219469999995
10,201211,3.182612658,11.519586199999992,87.66836548,97.30821094,77.7187037037037,8.475568771,1105.666667,2.268908978,3.1321542260000004,0.506660759,0.385591984,2.3573007070927186,0.387952805,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,11,44.43850121377368,-9999.0
16,201311,3.730529308,10.060388199999975,86.30488586,97.02280469,82.27351273148146,5.294937134,965.25,2.268908978,3.1321542260000004,0.506660759,0.385591984,2.3573007070927186,0.390807509,506.7300415,14,60,25,0,0,0,0,0,0,0,0,1,0,0,11,41.31082667161402,-9999.0
