,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200207,1.466547966,18.44909060000009,69.83311462,90.00088281,262.5020833333333,2.8092019560000003,3570.25,2.495224714,2.5322217940000002,0.153602004,0.824103892,2.4700853523433492,0.2861453,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,7,78.99866706859429,1292.99778
106,201307,1.183195472,18.91884770000001,63.49082565,90.3514375,275.8825,2.313925505,3824.25,2.495224714,2.5322217940000002,0.153602004,0.824103892,2.4700853523433492,0.291884601,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,7,143.27323160898578,-9999.0
101,201210,1.365149856,12.435754400000008,75.78186035,89.88674219,130.44824074074072,5.048742294,1645.0,2.276625395,1.710104465,0.153602004,0.824103892,1.7589979683623693,0.32719788,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,10,26.447780890788565,-9999.0
70,200911,1.3873101469999998,7.163079799999991,80.70428467,89.94707813,92.46296875,3.498198271,447.5,2.207066536,1.4345670940000002,0.153602004,0.824103892,1.5212421683914683,0.36654180299999994,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,11,9.61801747957434,-9999.0
84,201102,1.538005114,1.1938416000000416,74.13861847,89.77224219,133.57699074074074,2.04906249,217.75,2.150749207,1.225514531,0.153602004,0.824103892,1.3403106829962654,0.390841544,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,2,12.604740367310493,-9999.0
29,200508,1.514886618,17.575524900000005,67.16243744,90.05835938,230.6548611111111,2.6783216,2861.25,2.437605381,2.330430031,0.153602004,0.824103892,2.294937530063564,0.25286358600000003,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,8,72.83402321884012,-9999.0
33,200605,1.315139413,12.681573500000011,70.73812103,90.16119531,278.38916666666665,0.687290847,4018.0,2.444311619,2.332302094,0.153602004,0.824103892,2.2975103960640344,0.299328327,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,5,108.81692370558343,1714.9076000000007
119,201409,1.303548455,14.850732399999973,79.63150024,90.10938281,173.32224537037038,3.174113035,2593.0,2.376363516,2.0934062,0.153602004,0.824103892,2.0901983952470164,0.34680441,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,9,91.41076244340759,-9999.0
26,200505,1.50714159,13.571160899999995,69.82943726,90.0823125,265.0379629629629,1.098534346,3633.75,2.444311619,2.332302094,0.153602004,0.824103892,2.2975103960640344,0.300036311,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,5,48.847128224330255,-9999.0
72,201001,1.509404659,0.5713134999999738,86.52083588,89.33729688,69.30779513888889,5.261161327,185.25,2.149196863,1.21863699,0.153602004,0.824103892,1.3344044315414787,0.39283946200000003,959.5216675,16,44,38,0,0,0,0,0,0,0,0,1,0,0,1,9.332651628953363,-9999.0
