,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
55,201110,1.183588982,8.836999500000047,71.68880463,90.03104687999998,125.5794097222222,3.014284372,898.6666667000003,2.424589634,2.665682316,0.5225153570000001,0.422642022,2.3935146822318925,0.35372692299999997,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,10,40.30078801729341,-9999.0
11,200410,1.168012261,10.115380899999991,82.68857574,89.54908594000004,94.32088541666666,4.967378616,558.25,2.424589634,2.665682316,0.5225153570000001,0.422642022,2.3935146822318925,0.363446981,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,10,31.19048781009379,-9999.0
32,200710,1.247526765,8.404809600000078,71.93865967,90.00145313,115.88413194444445,1.631557584,668.0,2.424589634,2.665682316,0.5225153570000001,0.422642022,2.3935146822318925,0.3691093620000001,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,10,36.980979944703314,-9999.0
26,200703,1.355521917,4.3261353000000335,62.5329895,89.31759375,149.89796296296294,3.292096138,287.0,2.325033188,2.215076447,0.5225153570000001,0.422642022,2.151049934709324,0.388094008,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,3,17.96041110612732,-9999.0
28,200706,1.194949865,15.448907500000017,76.10701752,89.51198438,226.0758101851852,5.4391899110000015,3037.75,2.7252364160000004,4.006473064,0.5225153570000001,0.422642022,3.1172817556731363,0.395357639,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,6,101.36491281338594,-9999.0
21,200607,1.132279158,19.73589480000004,66.64631653,90.0974375,243.77754629629632,2.350619793,2552.25,2.765031099,4.184912205,0.5225153570000001,0.422642022,3.213490968023766,0.288314968,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,7,113.60140889950344,919.4513500000003
61,201207,1.209220052,17.420220900000004,72.93093109,89.711875,242.7413657407407,8.316065788,3416.25,2.765031099,4.184912205,0.5225153570000001,0.422642022,3.213490968023766,0.38774678100000004,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,7,112.15055691071971,1058.6599
23,200609,1.103791356,15.350091600000045,74.50008392,89.83948438,161.14231481481482,3.352297783,1532.0,2.612325668,3.4998996260000004,0.5225153570000001,0.422642022,2.8441849337449683,0.339922875,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,9,65.2950910641643,-9999.0
41,200908,1.149280548,17.983880600000074,75.74682617,89.98207812999998,208.88148148148147,3.935125351,2682.75,2.713844776,3.954605341,0.5225153570000001,0.422642022,3.0894079695064645,0.368361115,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,8,94.37397774545013,-9999.0
65,201306,1.182093024,14.644799800000046,68.66676331,89.73370313,245.16083333333333,4.89912653,3348.5,2.7252364160000004,4.006473064,0.5225153570000001,0.422642022,3.1172817556731363,0.3862857220000001,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,6,105.26035844675995,867.712319
20,200606,1.241977572,15.761499000000072,67.02101135,90.00689844,268.8588194444444,2.867820501,3047.25,2.7252364160000004,4.006473064,0.5225153570000001,0.422642022,3.1172817556731363,0.34394338700000004,438.8180542,12,57,30,0,0,0,0,0,1,0,0,0,0,0,6,102.47681468108897,-9999.0
