,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
70,200805,1.237990499,7.046319600000062,71.95399475,82.89725781,236.4825925925926,4.140440464,2025.0,2.700660229,3.174674988,0.430012345,0.569987655,2.9708427899178003,0.313335449,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,5,96.52571090017159,-9999.0
115,201305,1.392787814,4.543695100000036,78.55376434,82.42207813,204.5755092592593,5.9272842410000015,2104.0,2.700660229,3.174674988,0.430012345,0.569987655,2.9708427899178003,0.305463612,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,5,54.65378616348733,-9999.0
37,200406,1.293514132,10.515588399999958,68.9419632,83.13479688,255.1745833333333,4.387280464,2453.25,2.787122965,3.467679739,0.430012345,0.569987655,3.1750319247066248,0.263598144,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,6,12.399499917144814,-9999.0
46,200506,1.313547611,11.758660899999995,65.45772552,83.27000781,264.80319444444444,3.089340925,2505.25,2.787122965,3.467679739,0.430012345,0.569987655,3.1750319247066248,0.228655964,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,6,89.03734594456141,2125.3983900000007
99,201108,1.129508138,13.205468800000006,73.69797516,83.26717969,222.69458333333333,5.425835609,2169.5,2.808930397,3.544661283,0.430012345,0.569987655,3.228287919422213,0.260655403,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,8,90.74161516640869,-9999.0
26,200303,1.307436943,-0.6752991000000179,60.79420089999999,83.13175,196.85090277777766,0.348284811,393.25,2.459338665,2.333897829,0.430012345,0.569987655,2.3878389370471207,0.214785397,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,3,7.229255149797481,1275.72856
104,201205,1.420098186,6.848168900000019,69.06777191,82.90267188,263.75569444444443,3.254243612,2627.666667,2.700660229,3.174674988,0.430012345,0.569987655,2.9708427899178003,0.282484829,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,5,81.98657055277799,-9999.0
102,201203,1.474562168,0.7407166000000416,62.76707458,83.39858594,188.1186805555556,1.124926448,552.25,2.459563971,2.33449316,0.430012345,0.569987655,2.388275152729162,0.251041234,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,3,28.51266520980073,-9999.0
21,200206,1.197228312,12.192895500000017,73.43947601,83.21498437999998,244.7720833333333,4.813427925,2654.25,2.787122965,3.467679739,0.430012345,0.569987655,3.1750319247066248,0.256480634,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,6,62.37421104887879,2292.1193900000007
33,200402,1.599063754,-5.959783899999992,71.18878174,82.63510938,106.03872685185185,2.482120514,62.5,2.412477016,2.176201105,0.430012345,0.569987655,2.277802663556121,0.204284042,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,2,4.564948712168527,-9999.0
11,200105,1.288068533,8.134545899999978,72.08036041,82.98275781,245.64317129629632,2.696763992,2295.25,2.700660229,3.174674988,0.430012345,0.569987655,2.9708427899178003,0.326679975,1097.398926,10,75,14,0,0,0,0,0,1,0,0,0,0,0,5,3.401370844479964,788.2058
69,200804,1.4289950130000002,0.7644897000000128,74.10590363,82.24460155999998,200.15842592592583,5.02889967,974.0,2.570765495,2.721220255,0.430012345,0.569987655,2.656522850835988,0.272963494,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,4,56.8439333702875,-9999.0
107,201208,1.147560716,13.572259500000026,75.70058441,83.37914844000002,220.5315509259259,5.509886742000001,2279.75,2.808930397,3.544661283,0.430012345,0.569987655,3.228287919422213,0.262532413,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,8,100.72430846086469,-9999.0
25,200302,1.256471992,-9.401220699999953,66.04144287,82.59514844,133.11016203703704,0.5415247679999999,129.25,2.4121465680000003,2.174945593,0.430012345,0.569987655,2.2769449404960365,0.19450324800000002,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,2,1.3956653902296587,-9999.0
32,200310,1.137805223,1.5783630000000244,75.91264343,82.47150780999998,112.24091435185184,4.921477318,492.6666667,2.56638217,2.705558538,0.430012345,0.569987655,2.6457109816277367,0.257812411,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,10,20.016092259056112,-9999.0
62,200706,1.218721867,11.135797100000048,75.90336609,82.92089063,236.48516203703701,5.788372517000001,2514.5,2.787122965,3.467679739,0.430012345,0.569987655,3.1750319247066248,0.279413998,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,6,101.14848091045168,2156.714
54,200607,1.076666713,15.681329300000018,61.77766800000001,83.55701563,264.8808333333333,2.724242449,2754.75,2.848600149,3.6800551410000004,0.430012345,0.569987655,3.3225192301281243,0.19521057600000002,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,7,104.82984940475815,2290.2386999999994
111,201212,1.406973958,-8.086645499999975,77.76719666,82.33942969,58.59138310185186,1.908868909,144.25,2.443847656,2.2811629769999997,0.430012345,0.569987655,2.3511193973123623,0.23148976300000002,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,12,1.4595853109526271,-9999.0
29,200306,1.17708385,14.409356699999993,68.81523895,83.33098437999998,269.9440509259259,3.375333786,2628.0,2.787122965,3.467679739,0.430012345,0.569987655,3.1750319247066248,0.233964995,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,6,90.54079086682215,2840.1974
45,200505,1.305339336,7.756555199999981,68.43292236,82.97627344,249.83263888888888,3.73352623,2216.25,2.700660229,3.174674988,0.430012345,0.569987655,2.9708427899178003,0.265316874,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,5,86.52208010324192,-9999.0
28,200305,1.350241065,8.66903080000003,68.87552643,83.18016406,250.1552083333333,4.212819576,2130.5,2.700660229,3.174674988,0.430012345,0.569987655,2.9708427899178003,0.27803218399999996,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,5,60.33168414016962,2387.3203540000004
92,201011,1.117372155,-2.5412963999999647,86.36745453,81.95141405999998,62.62863425925925,5.521500587,243.0,2.473845005,2.3899817469999998,0.430012345,0.569987655,2.42604398323192,0.274232507,1097.398926,10,75,14,0,0,0,0,0,0,1,0,0,0,0,11,7.548417425803662,-9999.0
