,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
41,200508,2.554744244,22.511865199999992,68.2182312,99.52228906,242.32006944444439,1.127055764,1166.75,2.877285719,4.115374088,0.506660759,0.385591984,3.044663025742511,0.135049775,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,64.1510921566316,-9999.0
29,200406,2.416175842,20.851525899999963,71.14027405,99.67624219,294.5405324074074,0.910027444,2622.25,3.079466105,4.179617405,0.506660759,0.385591984,3.171871601628955,0.171071246,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,159.62563133888602,-9999.0
36,200503,2.527296305,8.670831300000032,74.95087433,99.7525,180.17622685185185,2.120862961,1185.0,2.991121531,4.155432224,0.506660759,0.385591984,3.1177852607873966,0.34809893399999997,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,3,16.803652149697186,-9999.0
28,200405,2.9374523160000003,15.058404499999995,72.52127075,99.46809375,268.38027777777785,3.5672903060000003,4526.333333,3.34426403,4.270214558,0.506660759,0.385591984,3.3409678552611024,0.329055637,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,5,90.07038989759405,-9999.0
26,200403,2.745472431,8.777612300000044,77.09977722,100.0318203,166.80399305555554,2.353289127,1600.5,2.991908789,4.15563488,0.506660759,0.385591984,3.1182622760523127,0.362779915,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,3,17.8832289211345,-9999.0
62,200710,3.370397806,15.445306399999993,73.80278778,99.875375,133.52940972222223,2.518970728,490.0,2.838858128,4.100441456,0.506660759,0.385591984,3.019435370120688,0.22564706199999998,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,30.735250891399,-9999.0
88,201006,2.456019163,20.677880899999987,67.18189240000001,99.41167969,282.88402777777776,1.4353256230000002,2636.75,3.079466105,4.179617405,0.506660759,0.385591984,3.171871601628955,0.201594457,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,117.67188103395151,-9999.0
64,200802,3.0785989760000003,7.5116211000000135,74.08628845,100.8070703,126.0274074074074,1.354239941,693.25,2.783542395,4.084784985,0.506660759,0.385591984,2.9853720491389377,0.321308643,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,2,10.97302983060134,-9999.0
25,200402,2.830794811,7.7980896000000275,79.40377808,99.94963281,108.72813657407407,2.8973774910000003,632.0,2.783542395,4.084784985,0.506660759,0.385591984,2.9853720491389377,0.36477801200000004,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,2,8.122162454093514,-9999.0
54,200701,2.67007947,9.065393100000053,83.06970215,100.3379844,74.02999421296295,1.721109629,927.75,2.757973671,4.0763187410000015,0.506660759,0.385591984,2.9691528642094487,0.355121344,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,1,11.054223712635116,-9999.0
91,201009,3.056504965,19.830926500000032,71.53612518,99.51653906,190.86344907407403,1.6983659269999998,861.75,2.859260559,4.10542202,0.506660759,0.385591984,3.031692946850792,0.181855395,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,9,67.92833324305234,-9999.0
81,200907,2.238023758,24.441491700000032,63.71349716,99.70163281,309.78243055555555,0.524324358,1834.75,2.923546314,4.1315603260000024,0.506660759,0.385591984,3.07434273754092,0.11190483,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,0.733242616348855,-9999.0
43,200510,2.303869724,15.554834000000026,83.29705811,100.1649922,114.7914699074074,5.851226807000001,1219.666667,2.838858128,4.100441456,0.506660759,0.385591984,3.019435370120688,0.35985928799999994,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,38.7114720773112,-9999.0
37,200504,3.004909515,12.003961199999992,75.47574615,99.5781875,219.2451388888889,2.85029912,3225.333333,3.323523283,4.267167091,0.506660759,0.385591984,3.32928425379715,0.344875902,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,4,28.51280850616647,-9999.0
57,200705,2.484474182,17.619256600000032,74.02319336,99.36785938,264.5423379629629,2.868582487,3364.0,3.34426403,4.270214558,0.506660759,0.385591984,3.3409678552611024,0.25077343,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,5,110.74363767543184,-9999.0
21,200310,3.683561563,15.481744399999965,76.5531311,99.42960938,123.42952546296296,4.220855713,670.3333332999998,2.838858128,4.100441456,0.506660759,0.385591984,3.019435370120688,0.287290812,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,51.32257824027519,-9999.0
77,200903,3.529730082,9.756860399999994,73.53780365,99.3388125,166.5254629629629,3.700623512,1465.5,2.991121531,4.155432224,0.506660759,0.385591984,3.1177852607873966,0.335618407,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,3,5.388801796333894,-9999.0
69,200807,2.564808607,24.203973399999995,64.42120361,99.60020313,301.4647222222222,0.362688243,1502.5,2.923546314,4.1315603260000024,0.506660759,0.385591984,3.07434273754092,0.10166461,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,97.51629807466308,-9999.0
96,201107,2.48460412,22.334985399999994,72.49171448,99.36184375,277.73340277777777,2.360968351,1706.5,2.923546314,4.1315603260000024,0.506660759,0.385591984,3.07434273754092,0.152145311,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,160.63176006296192,-9999.0
76,200902,3.414670944,6.679864500000009,73.39112091,99.348875,120.15829861111106,3.337299347,658.75,2.781893015,4.084311485,0.506660759,0.385591984,2.9843537952118337,0.35978326200000005,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,2,5.561955779592612,-9999.0
5,200206,2.516078234,23.068322800000033,63.47239304,99.6846875,295.67370370370367,0.840577245,1575.5,3.079466105,4.179617405,0.506660759,0.385591984,3.171871601628955,0.13190068300000002,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,6,88.3130571684862,-9999.0
70,200808,2.372705221,24.851068100000077,60.86180878,99.52792969,271.2528935185185,0.14769327599999998,975.75,2.877285719,4.115374088,0.506660759,0.385591984,3.044663025742511,0.090327814,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,41.85947314564846,3914.847400000001
11,200212,3.393470526,9.221582000000012,86.74811554,99.57555469,53.86219907407408,4.108805656,442.75,2.7665641310000004,4.078938961,0.506660759,0.385591984,2.9745156490215243,0.39509204,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,12,17.368752850962938,-9999.0
32,200409,3.150040865,21.001092500000027,69.73303986,99.87564063,192.91416666666663,1.5299198630000002,725.25,2.859260559,4.10542202,0.506660759,0.385591984,3.031692946850792,0.148986802,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,9,36.9184942304552,1833.92921
101,201205,2.761316299,16.538568100000074,69.46380615,99.64371875,269.0002546296296,2.294797659,2872.666667,3.34426403,4.270214558,0.506660759,0.385591984,3.3409678552611024,0.260213882,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,5,97.19876611923868,-9999.0
86,200912,4.000156403,8.31670530000008,83.39060974,98.99076563,60.67153356481482,5.719074249,470.0,2.7665641310000004,4.078938961,0.506660759,0.385591984,2.9745156490215243,0.390176982,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,12,0.7170368465667458,-9999.0
33,200410,2.841963053,17.73586430000006,86.53855133,99.70246875,114.52324074074076,5.0236816410000005,634.5,2.838858128,4.100441456,0.506660759,0.385591984,3.019435370120688,0.28239697199999997,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,25.331740715388754,-9999.0
82,200908,2.160533428,25.754602100000053,64.43175507,99.70849219,258.22828703703703,0.387001485,1282.5,2.877285719,4.115374088,0.506660759,0.385591984,3.044663025742511,0.093004256,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,0.7518843358771609,-9999.0
22,200311,3.101668119,12.398400899999954,83.17382813,99.91515625,85.51622685185184,4.801555157,674.25,2.825564623,4.096667767,0.506660759,0.385591984,3.011244968559108,0.365374714,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,11,42.52122281047,-9999.0
23,200312,4.058218956,7.881860399999994,75.62379456,99.832875,63.150653935185176,2.25883007,547.0,2.7665641310000004,4.078938961,0.506660759,0.385591984,2.9745156490215243,0.3688530920000001,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,12,17.165033242397488,-9999.0
51,200610,2.940526724,17.3863159,77.96546173,99.83685938,138.25126157407405,1.73964417,1142.0,2.838858128,4.100441456,0.506660759,0.385591984,3.019435370120688,0.278615654,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,10,55.775332527715186,-9999.0
90,201008,2.302321434,23.442529300000054,70.48518372,99.54035938,258.97979166666664,0.993688166,1254.75,2.877285719,4.115374088,0.506660759,0.385591984,3.044663025742511,0.138489962,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,109.7661084217572,-9999.0
20,200309,2.848024607,20.17858280000008,66.46806335,99.91914844,194.60858796296296,2.232989073,580.5,2.859260559,4.10542202,0.506660759,0.385591984,3.031692946850792,0.176427007,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,9,40.09636083883248,-9999.0
35,200412,3.81204319,9.386926300000027,80.92788696,99.74657031,62.124548611111095,6.618897915,396.25,2.7665641310000004,4.078938961,0.506660759,0.385591984,2.9745156490215243,0.39420008700000003,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,12,7.3825945677323634,-9999.0
6,200207,2.538811445,23.255334500000053,67.63774872,99.43645313,281.1193981481481,1.782054782,1232.75,2.923546314,4.1315603260000024,0.506660759,0.385591984,3.07434273754092,0.150970519,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,93.8134777027472,2623.74573
3,200204,2.788933992,13.03753050000006,73.04910278,99.34497656,229.0552546296296,1.782487631,3195.0,3.323523283,4.267167091,0.506660759,0.385591984,3.32928425379715,0.244946823,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,4,35.611744113637684,-9999.0
12,200301,3.9351089,6.930169699999966,78.58542633,99.3675,78.37752893518518,3.051273584,416.0,2.757973671,4.0763187410000015,0.506660759,0.385591984,2.9691528642094487,0.37458536,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,1,16.295027514834885,-9999.0
89,201007,2.424522161,25.529290800000076,61.65526962,99.59996875,298.4641203703703,0.6895830629999999,1838.25,2.923546314,4.1315603260000024,0.506660759,0.385591984,3.07434273754092,0.100201249,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,7,165.53664744533322,-9999.0
97,201108,2.16959095,24.492974899999986,62.65438843,99.64360156,276.0412731481481,0.118494391,1371.25,2.877285719,4.115374088,0.506660759,0.385591984,3.044663025742511,0.11281874,139.8398895,14,60,25,0,0,0,0,0,0,0,0,1,0,0,8,126.62680199460932,1922.8847
