,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
33,201006,4.565350056000001,6.220483399999978,81.69709015,100.5215234,189.79523148148147,1.230417132,362.0,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.329280645,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,19.804451081721567,-9999.0
6,200505,4.93044138,-1.9359801999999604,82.50070953,101.5981484,213.68483796296292,0.961552858,-425.25,0.796769917,4.44e-16,0.6951307059999999,0.0,0.5538592349237713,0.30454579,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,5,22.42250907414544,1108.9357
52,201406,5.748315811,5.519555700000012,79.44815826,100.9581094,204.91884259259254,0.7252913120000001,278.75,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.292634845,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,95.36432437577531,1576.7870309000002
49,201309,4.844413757,-0.022375499999952808,84.83200073,101.0974063,51.3442824074074,1.252255201,87.25,0.971077323,0.0,0.6951307059999999,0.0,0.67502566511758,0.252971083,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,9,23.721111036409443,-9999.0
12,200605,5.187835693,-2.9497436999999422,86.1827774,101.1227578,216.86358796296287,0.529019356,-386.25,0.796769917,4.44e-16,0.6951307059999999,0.0,0.5538592349237713,0.317196608,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,5,8.652637493138787,140.265921
25,200906,4.886553763999999,6.98684080000004,74.28403473,101.1959609,212.8113888888889,0.920525372,375.25,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.320970267,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,49.13467096535801,-9999.0
11,200511,4.3433971410000005,-20.885870399999963,94.33361053,102.3894063,1.3253840243055557,0.437001824,71.25,0.823212802,-4.44e-16,0.6951307059999999,0.0,0.5722404962424982,0.309520781,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,11,11.714093566010636,57.67718000000001
18,200706,5.935986042000001,8.357293700000014,75.99213409,100.6594063,227.84886574074073,1.060360432,565.0,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.302933067,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,75.64132029159697,1141.5565
0,200306,5.074424267,3.8415161000000353,83.12514496,100.6415078,173.05311342592591,2.527338743,92.75,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.35717731700000005,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,39.346577018623904,-9999.0
20,200708,4.519309044,9.322625700000003,79.84234619,100.63789840000001,104.06655092592592,2.241015673,761.0,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.333385557,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,54.476826939401995,-9999.0
55,201409,3.983215332,3.5929504000000065,79.39022827,100.9471641,71.88568287037036,1.7891162630000002,192.25,0.971077323,0.0,0.6951307059999999,0.0,0.67502566511758,0.36431956299999996,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,9,26.9575747522818,-9999.0
5,200408,5.30232048,7.116876200000036,81.16191864,100.9698438,105.00626157407406,0.944266796,871.75,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.27775642300000003,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,41.10785754125399,-9999.0
35,201008,5.230048656,7.9813171000000125,78.15859985,100.8181328,124.82180555555556,0.946493864,862.75,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.271574706,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,49.13552924329921,-9999.0
41,201108,5.883460999,6.152673300000004,86.4126358,101.3222969,102.04980324074072,2.137893915,842.5,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.356500685,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,42.084928020288814,-9999.0
28,200909,4.292774677,2.1441588999999794,80.32056427,101.3645391,62.71852430555556,1.189974785,193.75,0.971077323,0.0,0.6951307059999999,0.0,0.67502566511758,0.337003946,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,9,18.3084728174402,-9999.0
37,201102,5.230597973,-31.866964699999947,100.4820709,101.7055156,13.664968171296294,0.465177119,52.0,0.782322407,-4.44e-16,0.6951307059999999,0.0,0.5438163270975293,0.323740333,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,2,2.3678555849183525,-9999.0
42,201109,4.3387331960000015,1.3349243000000683,82.90023804,101.2389297,57.00456018518518,0.803683817,155.25,0.971077323,0.0,0.6951307059999999,0.0,0.67502566511758,0.350092798,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,9,24.7941193190125,-9999.0
38,201105,4.386434078,-5.6360229,84.59957886,101.6349063,218.55824074074073,0.454531938,-488.0,0.796769917,4.44e-16,0.6951307059999999,0.0,0.5538592349237713,0.32421425,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,5,2.4075380889079816,-9999.0
51,201402,3.783797741,-30.87488399999995,94.30731201,103.1277891,13.474535590277775,0.401872933,45.0,0.782322407,-4.44e-16,0.6951307059999999,0.0,0.5438163270975293,0.270414233,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,2,56.71830988987736,951.03462
43,201206,5.938091755,6.8156066999999885,73.26894379,100.7536016,208.03451388888888,2.1484656330000003,613.0,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.30729571,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,45.73646905209068,1967.4801
47,201307,5.161252022,9.863732900000002,75.88409424,100.9404688,182.62265046296287,0.5676928760000001,1103.0,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.174405783,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,74.53840956063671,1596.8543000000002
40,201107,5.486468315,12.211206100000027,77.24095154,100.7673906,200.8715509259259,3.5535256860000004,1430.5,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.33272332,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,68.23819738415864,-9999.0
17,200705,5.005562782,0.15841060000002471,85.91326904,100.9162422,193.48853009259255,1.704775572,-440.75,0.796769917,4.44e-16,0.6951307059999999,0.0,0.5538592349237713,0.368803471,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,5,45.93725605098214,739.3623999999999
7,200506,5.154117107,8.686120600000036,78.47109222,100.7055703,252.6372453703704,0.823380113,690.25,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.25217798399999997,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,36.65668292551528,1930.4475
53,201407,5.183062077,9.297601300000052,80.39845276,100.9661563,157.3270949074074,2.09974575,1106.0,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.29307863100000003,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,71.56934422808254,-9999.0
26,200907,4.704950333,7.809167500000001,80.39797211,101.1539141,165.22662037037037,1.3016724590000002,1127.75,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.218784407,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,49.36819453830544,1580.1290299999994
32,201002,4.220767498,-32.04923099999999,101.6839066,103.0668125,13.48702980324074,0.294216871,49.5,0.782322407,-4.44e-16,0.6951307059999999,0.0,0.5438163270975293,0.31547448,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,2,0.5892722655145194,-9999.0
19,200707,5.31407547,10.654809600000078,79.74428558,100.3530156,160.48956018518518,2.504216194,1211.75,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.32806441199999997,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,79.35781238541469,-9999.0
21,200806,5.228507996,4.50496830000003,74.19150543,100.8898594,220.16946759259255,2.182501793,140.5,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.349594384,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,44.13187663337975,-9999.0
13,200606,4.760564327,6.817407199999992,71.65312958,100.8053594,202.59009259259255,1.232916951,424.75,0.927576959,-4.44e-16,0.6951307059999999,0.0,0.6447872263790029,0.304974407,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,6,56.62884762200367,1775.9907999999994
1,200307,5.078855515,10.816613800000026,77.93586731,100.9519766,192.8934259259259,1.325286627,1037.0,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.302859783,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,71.88636194589365,-9999.0
31,201001,5.67173624,-31.8585876,99.81969452,101.9570391,0.11951789004629627,0.331333846,65.25,0.8166579009999999,0.0,0.6951307059999999,0.0,0.5676839832826079,0.315469891,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,1,2.5319846173795613,-9999.0
4,200407,4.582435608,8.149469000000009,76.10436249,100.951625,146.14855324074077,1.177507877,887.75,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.210423529,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,57.18045568475635,1358.73887
27,200908,5.616555691,7.113275100000068,75.30015564,100.9053281,129.93932870370372,1.267435193,846.75,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.26472681800000003,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,52.92557785697673,-9999.0
45,201208,5.364314079,7.137841800000047,81.12561798,100.6202578,112.18517361111113,1.037860632,811.75,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.298634708,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,39.92581231718965,-9999.0
22,200807,5.330729961,8.558312999999998,76.09703827,100.7954844,194.3201388888889,2.090256691,1068.75,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.288100183,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,60.172500774649826,1642.64835
29,200911,4.027444839,-24.485449199999977,101.4648132,101.6527813,1.2353351956018521,0.8110709190000001,79.0,0.823212802,-4.44e-16,0.6951307059999999,0.0,0.5722404962424982,0.315465748,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,11,2.8235395968754204,-9999.0
9,200508,4.473277569,7.588067600000045,82.45010376,100.6904375,95.08440972222222,1.20356369,637.0,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.275042355,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,41.242637203307716,-9999.0
16,200609,5.120977402,1.1654297000000042,86.12120819,100.5396094,52.1005787037037,2.070268869,104.0,0.971077323,0.0,0.6951307059999999,0.0,0.67502566511758,0.36897513299999996,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,9,28.772863094245448,-9999.0
36,201009,4.755112648,1.4899841000000151,80.83605957,101.2889609,59.95052662037036,1.7094717030000002,174.75,0.971077323,0.0,0.6951307059999999,0.0,0.67502566511758,0.335217685,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,9,32.286051054180945,-9999.0
50,201401,3.423274517,-35.531561299999964,101.5667114,102.2176563,0.11986657037037035,0.61393404,61.25,0.8166579009999999,0.0,0.6951307059999999,0.0,0.5676839832826079,0.270419061,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,1,15.167345126443678,233.71302000000003
54,201408,4.969286919,12.364526400000045,78.39945984,100.6615078,134.09841435185186,2.067792892,916.25,1.079193473,0.0,0.6951307059999999,0.0,0.7501805207970818,0.279570669,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,8,53.82279193454297,-9999.0
44,201207,5.579788207999999,9.119073500000011,76.33777618,100.8282109,159.97234953703702,1.701995015,1294.5,1.084705114,0.0,0.6951307059999999,0.0,0.7540118316966303,0.318347901,9.76159668,13,45,51,0,0,0,0,0,0,0,0,0,0,0,7,59.46256536989306,-9999.0
