,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200204,2.8827958110000003,6.1040588000000175,55.06019974,99.19391406,192.67368055555562,0.501214445,479.0,1.58211565,1.521242499,0.197488293,0.797857583,1.526184182456105,0.378703922,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,4,8.478691991068624,-9999.0
51,200809,3.851695061,10.413018800000033,79.03184509,99.11402344,88.90641203703703,2.316268206,1039.5,1.585569978,2.287182331,0.197488293,0.797857583,2.1379772748792334,0.37590456,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,9,22.343616546159087,-9999.0
25,200406,3.160172701,14.398370400000033,67.69973755,98.27964063,226.84041666666664,2.141388655,4200.5,1.589321971,3.475292683,0.197488293,0.797857583,3.0866611033561497,0.31945863399999996,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,6,78.59291985236759,-9999.0
5,200104,3.428104162,9.113458300000046,69.41143799,98.5551875,161.52960648148147,1.369590998,437.6666667,1.58211565,1.521242499,0.197488293,0.797857583,1.526184182456105,0.388630569,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,4,38.80420486252152,-9999.0
45,200706,3.303709507,16.359338399999956,63.93136597,98.47404688,247.19391203703705,1.602195501,5173.0,1.589321971,3.475292683,0.197488293,0.797857583,3.0866611033561497,0.285857886,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,6,60.705582506306285,3763.42871
71,201306,2.395475864,18.803521699999976,65.92803955,98.7823125,259.28460648148143,2.100688457,5226.0,1.589321971,3.475292683,0.197488293,0.797857583,3.0866611033561497,0.30094757699999997,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,6,106.9850463798375,2750.921
20,200307,2.253101587,19.295098899999967,75.13668059999998,98.66666406,214.51439814814816,2.013254881,3594.25,1.58974576,3.729218245,0.197488293,0.797857583,3.2893412318815898,0.352222562,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,7,79.08653191123119,-9999.0
22,200309,3.256606817,10.83941040000002,77.29150391,99.14673438,105.40495370370368,1.214557648,1136.25,1.585569978,2.287182331,0.197488293,0.797857583,2.1379772748792334,0.36702469,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,9,39.586181444166385,-9999.0
23,200404,3.506291866,3.7342163000000137,59.03538895,98.90142188,176.82422453703705,0.6120447520000001,481.5,1.58211565,1.521242499,0.197488293,0.797857583,1.526184182456105,0.397715151,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,4,25.89379118823346,-9999.0
74,201309,3.395619392,10.370172100000046,80.84613037,98.27607813,98.87644675925924,1.79131341,1044.5,1.585569978,2.287182331,0.197488293,0.797857583,2.1379772748792334,0.317522168,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,9,34.20452220197748,-9999.0
70,201305,2.992453575,15.74553830000002,69.75040436,98.66425,212.54351851851848,2.536699533,2134.0,1.585825324,2.644452572,0.197488293,0.797857583,2.4230784736869846,0.34811735200000005,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,5,71.33367161107334,-9999.0
46,200707,3.3151185510000003,16.867761200000018,76.03945159999998,98.04303125,190.17181712962963,4.424589634,4164.0,1.58974576,3.729218245,0.197488293,0.797857583,3.2893412318815898,0.351185232,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,7,62.50721221420375,-9999.0
50,200806,3.504164934,14.37413939999999,65.49530792,98.48157031,213.2758101851852,2.0820729730000003,4218.5,1.589321971,3.475292683,0.197488293,0.797857583,3.0866611033561497,0.32184124,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,6,77.11258649221146,-9999.0
26,200407,2.25779295,17.741906700000015,74.06204224,98.56548438,211.4825231481481,3.248403311,4168.25,1.58974576,3.729218245,0.197488293,0.797857583,3.2893412318815898,0.349381357,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,7,104.12123507785157,-9999.0
40,200608,3.335147381,16.407098399999995,82.88100433,98.09455469,119.3699074074074,5.871763706,2838.0,1.589242101,3.2770080569999998,0.197488293,0.797857583,2.9284424375197693,0.372635514,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,8,62.72517134660168,-9999.0
29,200503,4.196231842,-7.29300539999997,76.20054626,98.09625,107.1397800925926,1.275921941,129.0,1.581541419,1.08061111,0.197488293,0.797857583,1.174509683534655,0.33636152700000005,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,3,4.604607983040832,-9999.0
6,200106,2.86377883,14.96914060000006,73.72175598,98.21491406,209.97828703703703,2.946303368,3562.5,1.589321971,3.475292683,0.197488293,0.797857583,3.0866611033561497,0.362200946,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,6,77.15477716658512,-9999.0
68,201207,2.831821442,18.917260699999982,74.76069641,98.69960156,217.57560185185181,2.829063654,3639.25,1.58974576,3.729218245,0.197488293,0.797857583,3.2893412318815898,0.35516586899999997,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,7,99.05143365185977,-9999.0
39,200607,2.8223574160000005,18.113061500000068,68.64982605,98.99289844,229.93409722222225,1.611426473,4323.5,1.58974576,3.729218245,0.197488293,0.797857583,3.2893412318815898,0.282643676,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,7,109.0517790829915,2279.348
12,200205,3.208126545,12.598474100000093,58.77789307,98.932125,246.5515046296296,1.395625114,2573.25,1.585825324,2.644452572,0.197488293,0.797857583,2.4230784736869846,0.31897521,239.151825,10,33,54,0,0,0,0,0,1,0,0,0,0,0,5,39.67958624798243,-9999.0
