,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200602,3.992572308,25.404656999999986,14.93619728,94.99634375,277.63219907407404,0.0013179,11.5,0.862798154,-4.44e-16,0.9578228,0.000213633,0.8264077436991112,0.12353029800000001,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,2,63.17578439431488,1164.7194999999995
32,200804,3.614912987,30.858361800000072,23.37080383,94.73026563,290.51157407407413,0.214367256,85.25,0.926265121,0.0,0.9578228,0.000213633,0.8871978517385588,0.127564073,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,4,10.720763207971851,2097.0433000000007
38,200810,3.50799036,28.571893300000053,32.42850494,95.0088125,266.41949074074074,0.364147305,254.0,1.0048905609999998,0.0,0.9578228,0.000213633,0.9625070908305906,0.137433112,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,10,34.51941788202928,2057.2248
35,200807,4.310184002,29.22112430000004,53.68893433,94.93651563,260.49685185185183,1.04553771,259.5,0.958747208,0.0,0.9578228,0.000213633,0.9183099352587424,0.157282099,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,7,75.91527767337426,1217.67721
33,200805,3.14470315,31.298303199999967,20.85275269,94.80125,304.34002314814813,0.2246584,105.6666667,0.926229954,4.44e-16,0.9578228,0.000213633,0.8871641679841511,0.130022049,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,5,6.209421951650644,2393.9521000000004
51,200912,3.78834939,22.045007300000066,23.26951218,95.26317969,246.07939814814807,0.000983379,51.25,0.916024387,0.0,0.9578228,0.000213633,0.8773890432246235,0.124216795,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,12,7.588120364857053,1797.7322
5,200511,4.233689308,25.4296814,24.22277451,95.12996875,260.1253703703703,0.000985363,144.75,0.935459077,-4.44e-16,0.9578228,0.000213633,0.8960040324175556,0.124239475,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,11,80.02376644714974,1316.3861999999995
26,200710,2.873990297,30.781915300000037,27.66401863,94.89196875,265.9584259259259,0.008821231,356.0,1.0048905609999998,0.0,0.9578228,0.000213633,0.9625070908305906,0.12438900800000001,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,10,52.83204592141957,1516.5201999999995
25,200709,2.9592721460000004,28.32714229999999,52.86863708,94.98279688,269.62902777777776,1.320369244,677.25,1.081783533,0.0,0.9578228,0.000213633,1.0361569325719524,0.195871308,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,9,104.91434903840765,737.77275
45,200906,3.325050354,32.45763550000004,29.79283905,94.84425,285.3347685185185,0.29697445,94.75,0.926299334,-4.44e-16,0.9578228,0.000213633,0.8872306217300151,0.128474072,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,6,11.637082423032597,1913.9235
48,200909,3.197435141,29.91243900000007,56.97237778,94.94655469,264.9736342592593,1.340322852,741.25,1.081783533,0.0,0.9578228,0.000213633,1.0361569325719524,0.170537412,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,9,106.99214897083132,1112.7131099999997
31,200803,3.932038307,28.526239000000032,11.72261906,94.76286719,307.8226388888889,0.0008026439999999999,-1.25,0.917838871,0.0,0.9578228,0.000213633,0.8791269973700587,0.12349131,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,3,8.438086419880527,2273.5252
0,200504,3.754411936,31.17376100000001,11.70230484,94.763625,319.8873611111111,0.005840955,-53.66666667,0.926265121,0.0,0.9578228,0.000213633,0.8871978517385588,0.11823514800000001,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,4,5.38744103445066,1545.0958999999998
11,200607,4.0596680639999985,28.90383300000002,57.62355042,95.00798438,243.6210648148148,2.236278296,341.0,0.958747208,0.0,0.9578228,0.000213633,0.9183099352587424,0.21387803600000002,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,7,56.27869144832882,1035.4023
18,200702,3.948218584,22.934533700000035,16.060033800000006,95.1690625,279.0860879629629,0.001131993,-9.25,0.862798154,-4.44e-16,0.9578228,0.000213633,0.8264077436991112,0.124175616,517.4897461,14,67,18,1,0,0,0,0,0,0,0,0,0,0,2,56.939459769069,1636.1132999999993
