,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200907,4.327384472,28.14223630000004,50.12176514,94.20495313,296.0410648148148,2.150057793,1376.0,1.3844093080000002,0.0,1.0,0.0,1.3844093080000002,0.186213359,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,7,62.53200802988336,1673.4483000000002
28,201105,6.13267231,21.23632200000003,44.97027969,93.69672656,306.73717592592584,1.050204039,1161.5,1.278448105,4.44e-16,1.0,0.0,1.278448105,0.172601864,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,5,39.12017983338643,2248.882
32,201109,4.158092976,22.429956100000034,42.70112228,94.42149219,237.5446990740741,1.139339447,537.75,1.1950907709999998,0.0,1.0,0.0,1.1950907709999998,0.17793777600000002,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,9,17.07895349266658,2160.3412000000008
26,201103,5.177042961000001,10.892694100000027,53.16433716,94.21964844,203.4698379629629,0.6644032,340.25,0.922816873,0.0,1.0,0.0,0.922816873,0.18842893800000002,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,3,18.144386705607445,1224.5749000000005
41,201206,5.771545887,26.574426300000034,52.80778122,93.9668125,307.3308101851852,1.466482162,1561.5,1.328520894,-4.44e-16,1.0,0.0,1.328520894,0.18505539,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,6,61.49527461358001,-9999.0
47,201212,4.533859253,5.274499500000047,49.11743927,94.14303125,109.78732638888887,0.529366553,129.0,0.8204498290000001,0.0,1.0,0.0,0.8204498290000001,0.15958151199999998,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,12,6.093290263914957,-9999.0
5,200906,4.826976299,26.456048600000035,54.93647385,93.86550781,286.08053240740736,1.433742881,1558.5,1.328520894,-4.44e-16,1.0,0.0,1.328520894,0.18855798199999999,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,6,83.11239380214798,-9999.0
40,201205,5.6852746010000015,22.927240000000037,51.13305283,93.97432813,295.70925925925917,0.518349349,1939.666667,1.278448105,4.44e-16,1.0,0.0,1.278448105,0.164881349,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,5,132.0511006913688,-9999.0
18,201007,4.781828403,27.42498169999999,63.45996857,94.18847656,275.5028009259259,3.317271948,2136.5,1.3844093080000002,0.0,1.0,0.0,1.3844093080000002,0.239728615,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,7,115.40012874111991,-9999.0
31,201108,4.0694789889999985,31.1442505,46.09331512,93.98996094,276.35187499999995,0.5976739529999999,829.25,1.31332469,0.0,1.0,0.0,1.31332469,0.145706251,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,8,37.395497903867174,2328.341700000001
0,200901,4.414063454,2.91558230000004,44.13960266,94.53521875,132.8378009259259,0.122731283,72.25,0.807502687,0.0,1.0,0.0,0.807502687,0.17513990399999999,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,1,61.30775179058279,546.4247
11,200912,4.647619724,0.5472351000000231,59.34364319,94.3346875,110.62035879629627,0.335276067,90.25,0.8204498290000001,0.0,1.0,0.0,0.8204498290000001,0.209076405,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,12,7.5945970557151234,-9999.0
36,201201,4.610253811000001,5.106652800000006,51.24757385,94.45054688,138.36114583333332,0.21127525,134.25,0.807502687,0.0,1.0,0.0,0.807502687,0.256972283,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,1,11.025556929625587,-9999.0
17,201006,5.624473095,27.68264160000007,56.3513298,93.984625,299.7524768518518,1.479630113,2147.0,1.328520894,-4.44e-16,1.0,0.0,1.328520894,0.18541100600000002,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,6,110.2540494668498,-9999.0
43,201208,3.859982014,27.704370100000066,47.29076004,94.24016406,275.5927546296296,0.933711708,799.0,1.31332469,0.0,1.0,0.0,1.31332469,0.15819171099999998,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,8,44.95828069126941,2462.87228
35,201112,4.171738148,3.16448360000004,68.55814362,94.71349219,97.46741898148147,2.103825569,125.25,0.8204498290000001,0.0,1.0,0.0,0.8204498290000001,0.33573731799999995,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,12,9.472169128623033,-9999.0
33,201110,5.208845615,16.795159899999987,48.39910889,94.37795313,179.37754629629632,1.311768532,502.33333330000005,1.032508373,0.0,1.0,0.0,1.032508373,0.19020560399999997,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,10,18.402948710785235,-9999.0
7,200908,4.688393593,26.77498780000002,57.32381058,94.28739844,275.8570833333333,1.351400256,1409.0,1.31332469,0.0,1.0,0.0,1.31332469,0.184681207,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,8,55.285528693764924,1847.9314899999995
45,201210,4.839802265,15.644891400000004,47.77381897,94.25532031,177.49337962962963,0.62193948,437.75,1.032508373,0.0,1.0,0.0,1.032508373,0.19841224,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,10,31.226241521243683,-9999.0
20,201009,5.286482811,24.860864300000053,54.58286667,94.18961719,226.1320138888889,0.949521005,1147.25,1.1950907709999998,0.0,1.0,0.0,1.1950907709999998,0.16928660899999998,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,9,50.80211715256718,-9999.0
25,201102,4.788938522,3.2075439000000188,52.55596924,94.3478125,168.41002314814813,0.631406665,68.5,0.821667969,-4.44e-16,1.0,0.0,0.821667969,0.22346565100000002,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,2,13.464996381522713,-9999.0
19,201008,4.4834795,29.089593500000035,51.0258522,94.12539844,281.297037037037,1.016411304,1601.5,1.31332469,0.0,1.0,0.0,1.31332469,0.15753029300000002,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,8,92.78296887621909,-9999.0
21,201010,4.444880008999999,18.230523699999992,43.1701088,94.39336719,186.3693287037037,0.570971966,676.3333332999998,1.032508373,0.0,1.0,0.0,1.032508373,0.165791214,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,10,30.046595429232937,-9999.0
13,201002,3.87218976,0.6957642000000419,67.81532288,94.37878906,147.02721064814813,1.144173145,40.0,0.821667969,-4.44e-16,1.0,0.0,0.821667969,0.318445861,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,2,17.925291662410174,-9999.0
1,200902,5.077834606000001,8.209527600000058,42.30685425,94.37439844,185.1978009259259,0.22616148,172.25,0.821667969,-4.44e-16,1.0,0.0,0.821667969,0.17260895699999998,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,2,61.30987850446888,543.4366999999999
4,200905,4.515580654,18.29677730000003,62.92587662,94.22285156,244.8233101851852,3.002001286,1584.25,1.278448105,4.44e-16,1.0,0.0,1.278448105,0.298832834,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,5,92.43279239026761,-9999.0
12,201001,3.900076151,0.5208068999999682,65.49623871,94.5130625,125.91524305555555,1.101168513,64.5,0.807502687,0.0,1.0,0.0,0.807502687,0.219070837,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,1,8.665417717172886,-9999.0
38,201203,5.352410316,14.516656500000007,57.43092728,94.01122656,214.5364583333333,2.222090483,831.5,0.92319417,0.0,1.0,0.0,0.92319417,0.285824746,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,3,55.28864689598114,-9999.0
22,201011,5.109372616,9.480187999999998,50.25174332,94.27132813,135.24599537037034,1.976394773,265.0,0.897084296,-4.44e-16,1.0,0.0,0.897084296,0.239196882,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,11,13.355283422561936,-9999.0
29,201106,6.553146839,30.392022700000037,36.62096405,93.72688281,330.6653935185185,0.262230515,1106.5,1.328520894,-4.44e-16,1.0,0.0,1.328520894,0.13706527699999999,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,6,46.0280651973959,-9999.0
9,200910,5.223175526,12.258325200000002,67.32254791,94.06946875,136.55489583333332,3.046888113,451.33333330000005,1.032508373,0.0,1.0,0.0,1.032508373,0.28481552,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,10,30.049020170813023,-9999.0
27,201104,6.031103611,17.253747600000054,41.37277603,93.5828125,266.5502777777777,0.924576521,728.6666667000003,1.135838389,0.0,1.0,0.0,1.135838389,0.159062505,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,4,38.856189992293814,1625.6377000000002
16,201005,5.064129829,19.732598899999967,59.2390976,93.94588281,278.8776851851852,3.100236654,1738.5,1.278448105,4.44e-16,1.0,0.0,1.278448105,0.23989366,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,5,63.35403123941387,1718.7358399999994
42,201207,4.663288116,30.809014900000022,37.24706268,94.23570313,308.7238657407407,0.518492401,1121.75,1.3844093080000002,0.0,1.0,0.0,1.3844093080000002,0.145572364,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,7,44.72455555661557,2743.855
46,201211,4.48021841,12.45351560000006,46.77233124,94.5804375,147.57577546296298,0.177299947,327.0,0.897084296,-4.44e-16,1.0,0.0,0.897084296,0.153239861,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,11,10.741528269599893,519.5002099999998
37,201202,4.644248962,5.024591100000066,59.85602188,94.47772656,148.45859953703703,1.83394289,178.75,0.822512627,0.0,1.0,0.0,0.822512627,0.31326788699999997,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,2,22.296373268837065,-9999.0
14,201003,5.286765575,8.771020500000018,60.94397736,94.02653906,194.5265740740741,1.273934126,267.5,0.922816873,0.0,1.0,0.0,0.922816873,0.289341122,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,3,38.520366138775024,-9999.0
44,201209,4.106842995,23.829858399999978,48.88584518,94.38252344,218.2215972222222,1.7185838219999998,593.0,1.1950907709999998,0.0,1.0,0.0,1.1950907709999998,0.18402411,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,9,38.872113011435204,-9999.0
2,200903,5.665228844,10.854852300000005,48.32763672,94.11134375,205.40261574074069,2.182462215,187.75,0.922816873,0.0,1.0,0.0,0.922816873,0.17027638899999994,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,3,65.9395226223001,582.6172
34,201111,5.247498989,9.318689000000065,52.50577545,94.28969531,123.97504629629627,2.483180523,219.75,0.897084296,-4.44e-16,1.0,0.0,0.897084296,0.271166384,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,11,12.143789457378588,-9999.0
30,201107,4.519271851,32.628259300000074,36.4353714,94.0329375,306.5237962962962,0.252727181,1061.5,1.3844093080000002,0.0,1.0,0.0,1.3844093080000002,0.135637105,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,7,35.015621632709234,2381.6683000000007
10,200911,4.642848492,10.979669199999993,62.29220963,94.43301563,126.65305555555555,0.34283036,293.75,0.897084296,-4.44e-16,1.0,0.0,0.897084296,0.251918674,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,11,16.669157900733808,-9999.0
15,201004,6.237596989,16.82183230000004,48.75117111,93.81369531,243.75840277777766,2.260350943,858.3333332999997,1.135838389,0.0,1.0,0.0,1.135838389,0.228100002,635.3106688999999,15,56,27,1,0,0,0,0,0,0,0,0,0,0,4,42.27425344515487,1244.28946
