,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
84,201002,3.332125187,0.8306824000000006,71.25107574,98.1181875,134.46951388888888,1.476764798,203.5,1.047968745,0.29145219899999997,0.978346765,0.015290007,1.0297331376547352,0.36534321299999994,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,2,22.828575643011533,-9999.0
85,201003,4.766588688,9.087121600000046,64.4076767,97.65357813,179.53403935185185,1.641345501,1018.5,1.385229468,0.291817367,0.978346765,0.015290007,1.3596966583846224,0.335279495,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,3,53.41205996182303,-9999.0
37,200603,4.93530798,12.098870800000045,50.045578000000006,97.8380625,188.88740740740738,2.248027802,843.5,1.385229468,0.291817367,0.978346765,0.015290007,1.3596966583846224,0.238072425,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,3,41.73581829102718,-9999.0
45,200611,4.138857365,10.981958000000017,56.8062973,97.98873438,122.78079861111112,1.4031852480000002,160.0,1.031396031,0.291388065,0.978346765,0.015290007,1.013518295916256,0.223175734,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,11,11.648763449343086,-9999.0
97,201103,4.713106155,10.975732399999973,59.03823471,97.8815625,184.1264467592593,1.4485421180000002,914.5,1.385229468,0.291817367,0.978346765,0.015290007,1.3596966583846224,0.294329226,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,3,42.079616241377344,-9999.0
26,200504,5.106887341,15.96697389999997,55.22070694,97.61026563,247.4898148148148,0.762382984,1445.333333,1.730685234,0.291874975,0.978346765,0.015290007,1.6976730703280432,0.22893157600000005,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,4,45.06056033364684,1601.3717800000006
102,201108,3.4766042230000003,32.054834000000035,48.2325058,97.41432813,270.22256944444445,0.657571375,976.0,1.296739101,0.291884631,0.978346765,0.015290007,1.2731234225635406,0.161527187,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,8,78.35437975514037,1608.66976
113,201207,3.819136381,32.613488800000034,38.5296402,97.67655469,307.0681481481481,0.160539269,826.5,1.4023803469999998,0.291891158,0.978346765,0.015290007,1.3764772936360854,0.141544864,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,7,31.610634638653693,3423.9482
21,200410,3.89022994,17.31853639999997,65.92906189,97.67589844,144.6532523148148,3.5768249030000003,507.75,1.101938844,0.291496366,0.978346765,0.015290007,1.0825352847318543,0.30069083,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,10,49.949053795169725,-9999.0
33,200511,4.515231133,11.420220900000004,50.40281296,97.87016406,138.91524305555555,0.065454721,650.5,1.031396031,0.291388065,0.978346765,0.015290007,1.013518295916256,0.223912343,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,11,21.73712149933137,-9999.0
11,200312,4.40374136,4.662866199999995,62.32572556,98.07592188,107.10528935185185,1.3872015480000002,317.0,1.008174658,0.291413486,0.978346765,0.015290007,0.9908001294501156,0.29093501,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,12,22.99773744619841,-9999.0
46,200612,4.123894215,5.067529300000047,61.01622772,98.27548438,102.13908564814811,2.143904448,132.75,1.008174658,0.291413486,0.978346765,0.015290007,0.9908001294501156,0.30463001100000003,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,12,16.565474633011494,-9999.0
96,201102,4.414383888,2.4513794000000075,63.90028763,98.04214063,155.42665509259257,2.1389729980000003,200.75,1.047968745,0.29145219899999997,0.978346765,0.015290007,1.0297331376547352,0.29204046699999997,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,2,17.11541479734332,-9999.0
25,200503,4.254580975,9.582086199999992,59.99346924,97.58753125,201.78710648148143,1.380337358,665.0,1.385229468,0.291817367,0.978346765,0.015290007,1.3596966583846224,0.31187802600000003,312.2713623,13,65,21,0,0,0,0,0,0,0,0,1,0,0,3,55.266463116849934,-9999.0
