,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200507,3.803863764,28.375329600000054,54.22568893,96.40676563,302.9273842592592,0.487091392,2522.0,1.649380445,4.745435715,0.972273529,0.027726487999999997,1.7352232123304594,0.141217843,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,7,152.30347205130897,-9999.0
19,200609,4.114625931,22.060662800000053,49.1882515,96.38089063,229.2109490740741,1.6729149819999998,990.25,1.508921027,4.741605282,0.972273529,0.027726487999999997,1.5985520338557038,0.19746308,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,9,69.07361874123193,-9999.0
11,200601,5.065947533,9.335168500000009,43.23792267,96.41461719,139.27734953703705,0.34829387100000003,361.25,1.341946244,4.734593868,0.972273529,0.027726487999999997,1.4360124704481507,0.159282729,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,1,9.017652324116199,-9999.0
20,200610,4.584747314,16.963678000000016,55.92605591,96.32613281,168.07046296296298,1.794684291,758.6666667000003,1.498541236,4.741020679,0.972273529,0.027726487999999997,1.5884438288417873,0.206996903,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,10,32.91197188047247,-9999.0
17,200607,4.242239952,30.528283700000035,43.84596252,96.35721094,304.61715277777773,0.5936265589999999,1839.0,1.649380445,4.745435715,0.972273529,0.027726487999999997,1.7352232123304594,0.141479045,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,7,117.33471842623295,1500.2387
12,200602,4.604197502,5.848016400000006,46.58057022,96.70016406,176.89819444444439,0.083198577,413.0,1.357889414,4.734661102,0.972273529,0.027726487999999997,1.4515154567701918,0.144749731,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,2,7.309806952852178,1356.18332
9,200510,4.345472336,17.29509889999997,58.36869812,96.59804688,173.2628819444444,1.879368067,1533.333333,1.498541236,4.741020679,0.972273529,0.027726487999999997,1.5884438288417873,0.20201177899999997,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,10,45.62937171879714,1159.9396699999998
21,200611,4.6795272830000005,10.999231000000007,56.79946518,96.51767969,128.66545138888887,1.6264215709999998,697.0,1.479347825,4.738428116000001,0.972273529,0.027726487999999997,1.5697107007283606,0.215071335,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,11,21.313204317036355,1481.4244
4,200505,4.266328812,20.533593800000006,65.74597168,96.23589844,248.4587037037037,3.392974854,2246.75,1.75329566,4.749486446000001,0.972273529,0.027726487999999997,1.8363695376797653,0.227432668,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,5,88.09256391619436,-9999.0
22,200612,4.616811752,5.3016296000000125,59.47257614,96.78023438,112.2316550925926,2.214811325,505.5,1.40942049,4.735814571000001,0.972273529,0.027726487999999997,1.5016497395302657,0.293148279,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,12,21.748077502355237,1440.0030999999994
0,200501,4.085591316,3.6032653999999984,73.54044342,96.91742969,106.78809027777777,2.963829517,272.25,1.341946244,4.734593868,0.972273529,0.027726487999999997,1.4360124704481507,0.339138985,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,1,24.389245066891803,1663.8543
1,200502,4.013335228,7.0806824000000015,73.02992249,96.73370313,134.53157407407406,1.341303468,558.75,1.357889414,4.734661102,0.972273529,0.027726487999999997,1.4515154567701918,0.348093063,416.8010864,20,28,51,0,0,0,0,0,0,0,0,1,0,0,2,24.170064086923016,1678.44
