,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200201,2.210361958,-4.183233599999993,60.26794815,81.11897656,132.63741898148146,0.442726672,-64.75,0.515629232,0.0,0.649001241,0.350998729,0.3346440114638769,0.25868371100000004,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,1,9.018379647456658,-9999.0
77,200708,2.297671795,23.94588620000001,35.10317993,81.32504688,291.1761111111112,1.392134547,171.25,0.53194803,0.0,0.649001241,0.350998729,0.34523493161750524,0.056867126,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,8,26.621188532858515,2881.534100000001
25,200303,2.583251715,1.6888977000000411,59.91819,80.81336719000002,229.86368055555562,1.23384428,-67.75,0.52308017,0.0,0.649001241,0.350998729,0.33947967947249097,0.281249553,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,3,21.220494925929465,1753.8396200000002
5,200106,2.9854962830000003,22.185449200000054,17.62097549,81.15522656,352.3618981481481,0.195062846,88.75,0.53757304,-4.44e-16,0.649001241,0.350998729,0.3488855700881424,0.027516581000000002,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,6,15.996640764271994,3448.6334
62,200605,2.813196182,18.024743699999988,18.42448235,81.00121094,334.82847222222216,0.15921190400000002,114.75,0.531983554,4.44e-16,0.649001241,0.350998729,0.3452579867375907,0.027907684,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,5,23.877805470897354,3238.2524999999987
70,200701,1.970792532,-5.773962399999959,64.82454681,81.15182813,139.02791666666667,0.660873294,-108.5,0.515629232,0.0,0.649001241,0.350998729,0.3346440114638769,0.288529545,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,1,7.2117527382867825,-9999.0
20,200210,2.121762276,9.863732900000002,46.52348328,81.05182812999998,187.50572916666667,1.020627618,30.66666667,0.52335155,0.0,0.649001241,0.350998729,0.33965580542927354,0.082326017,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,10,22.82498483465509,987.3767
22,200212,1.901599765,-1.3277343999999405,61.41899872,81.06547656,112.46055555555556,0.546182036,-34.25,0.515615642,0.0,0.649001241,0.350998729,0.3346351915370117,0.152056545,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,12,5.3245205570464735,-9999.0
23,200301,1.599576116,1.147271699999976,61.32118988,81.57579688,129.19835648148143,0.390073657,0.25,0.515629232,0.0,0.649001241,0.350998729,0.3346440114638769,0.207490459,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,1,5.655869518847897,-9999.0
65,200608,2.2624788280000003,22.15010990000001,38.52460098,81.38303125,290.03032407407403,0.929315627,257.5,0.53194803,0.0,0.649001241,0.350998729,0.34523493161750524,0.043986134,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,8,24.51488666975726,3206.4709999999995
69,200612,1.985620379,-2.6730713000000037,58.87540817,81.30727344,117.94173611111107,0.6301985379999999,-42.25,0.515615642,0.0,0.649001241,0.350998729,0.3346351915370117,0.195906252,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,12,6.245505410159932,-9999.0
45,200412,2.115858316,-3.728216599999996,67.37700653,81.31784375000002,113.84346064814815,0.8026836509999999,-27.5,0.515615642,0.0,0.649001241,0.350998729,0.3346351915370117,0.313768804,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,12,8.759360081505141,229.86477
46,200501,2.253906488,-0.7323974999999905,74.74808502,81.13735156,114.96319444444444,2.216997147,29.0,0.515629232,0.0,0.649001241,0.350998729,0.3346440114638769,0.368708044,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,1,9.46569209173588,255.99584
26,200304,3.411812782,9.154840100000058,27.95048523,80.68091405999998,294.7079398148148,0.3085998,-19.33333333,0.527588487,0.0,0.649001241,0.350998729,0.3424055828003124,0.064636685,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,4,14.222811543247428,2842.379600000001
39,200406,2.800901651,22.086175500000024,18.13858414,81.0954375,351.4833101851852,0.368944645,152.0,0.53757304,-4.44e-16,0.649001241,0.350998729,0.3488855700881424,0.029465758999999998,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,6,11.67214568136523,238.95289
29,200307,2.397712946,27.58910520000001,18.92884636,81.41367969000002,345.8495138888888,0.303474516,89.25,0.532923877,0.0,0.649001241,0.350998729,0.3458682575315313,0.027523197000000003,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,7,12.899025528114464,2594.1894
6,200107,2.527224541,24.51171260000007,28.13012886,81.36536719,326.50335648148143,0.580459476,151.75,0.532923877,0.0,0.649001241,0.350998729,0.3458682575315313,0.032070771,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,7,33.039376664611225,3056.9859999999994
75,200706,3.0277946,23.065789800000005,15.62039852,81.06124219,358.4382175925926,0.169342965,167.0,0.53757304,-4.44e-16,0.649001241,0.350998729,0.3488855700881424,0.027020177000000003,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,6,34.50165064685149,2943.3170000000014
38,200405,3.273788691,16.149011200000018,22.05854607,80.93327344000002,339.1631018518518,0.114038527,352.3333333,0.531983554,4.44e-16,0.649001241,0.350998729,0.3452579867375907,0.054886948,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,5,11.260911073741353,229.03537999999998
12,200202,2.198326588,-1.9765075999999908,41.92957306,81.4256875,182.3524421296296,0.14661473,-131.0,0.516506135,-4.44e-16,0.649001241,0.350998729,0.3352131225991133,0.169450194,1863.356812,12,70,16,1,0,0,0,0,0,0,0,0,0,0,2,7.375458825799298,-9999.0
