,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
25,200204,4.4395546910000006,-1.515478499999972,61.63986206,70.86180469,280.0910416666667,1.749676585,413.3333333,0.303231388,1.6974749569999998,0.193230897,0.7208887340000001,1.2822842458502297,0.335673809,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,4,39.94306732894653,-9999.0
46,200403,4.457884789,-3.964605699999993,67.72026062,71.11396875,233.3475,0.953110754,294.5,0.303240776,1.6038355830000002,0.193230897,0.7208887340000001,1.214782490126478,0.303969443,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,3,43.1800041652736,-9999.0
69,200602,5.025839329,-10.573187299999972,71.44921112,70.68919531,163.81761574074068,1.239242673,135.0,0.303207308,1.5939207080000002,0.193230897,0.7208887340000001,1.2076285013882992,0.296038359,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,2,50.41189846648629,-9999.0
5,200008,3.127024889,13.982019000000037,46.53593063,71.92578125,270.3020601851852,2.597558498,719.0,0.303372204,2.20374012,0.193230897,0.7208887340000001,1.6472723082755951,0.26330468100000004,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,8,69.83467700007895,1922.75634
42,200311,4.795806408,-8.049810799999989,77.86727905,70.7119375,118.22665509259258,1.91095674,115.75,0.303234547,1.6957672830000001,0.193230897,0.7208887340000001,1.2810538133186886,0.28327974699999997,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,11,47.28993314221655,-9999.0
11,200102,4.383244038,-9.060705599999947,76.9065094,70.54771094,159.17194444444445,1.722202063,153.5,0.303207308,1.5939207080000002,0.193230897,0.7208887340000001,1.2076285013882992,0.316080987,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,2,25.5276901925623,-9999.0
64,200509,3.341680527,8.677392600000076,41.94374084,71.64949219,240.50634259259255,1.407490492,507.75,0.303182244,2.016364098,0.193230897,0.7208887340000001,1.5121583388528648,0.235696942,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,9,49.26107061988248,-9999.0
23,200202,4.5957241060000005,-10.901831099999924,67.44741058,70.93572655999998,159.1549884259259,1.459365368,132.5,0.303207308,1.5939207080000002,0.193230897,0.7208887340000001,1.2076285013882992,0.30168685300000003,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,2,21.909021840028444,-9999.0
20,200111,3.457051277,-3.0781311000000082,64.70703888,71.10841406,116.84265046296295,1.447502851,162.5,0.303234547,1.6957672830000001,0.193230897,0.7208887340000001,1.2810538133186886,0.334979355,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,11,13.963316182724485,-9999.0
62,200507,3.2795839310000003,14.974298100000055,34.92113113,71.89744531,330.9918055555555,0.995262802,1643.75,0.304458857,2.317822933,0.193230897,0.7208887340000001,1.7297232978442418,0.241062865,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,7,97.2852785541979,2654.95596
68,200601,5.41676569,-8.607580599999949,73.03765106,70.70667969,114.8625925925926,1.185152173,133.0,0.303212494,1.60680604,0.193230897,0.7208887340000001,1.2169183941563806,0.300106615,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,1,52.88540848950182,-9999.0
59,200504,3.531763077,-2.4787963999999647,64.20513916,70.90491406,272.09280092592587,3.341265202,320.6666667,0.303231388,1.6974749569999998,0.193230897,0.7208887340000001,1.2822842458502297,0.330032229,2807.028564,14,59,26,0,1,0,0,0,0,0,0,0,0,0,4,11.504338165795795,2248.24357
