,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
26,200403,3.229122162,13.747491500000026,61.33654785,101.0968281,185.6290509259259,2.9410645960000004,837.25,2.723058701,2.500517607,0.137884736,0.8606808779999999,2.527615919547107,0.357556164,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,3,46.70124251795823,-9999.0
43,200509,2.414796114,25.50441890000002,59.96755981,100.6183281,219.91497685185183,1.767617702,2434.75,2.823577642,3.399778366,0.137884736,0.8606808779999999,3.3154524867969575,0.23889015600000002,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,9,72.8152688939374,-9999.0
33,200410,2.923154831,20.11574710000008,72.21930695,100.4561953,127.11913194444445,4.298289299,1111.75,2.756930113,2.813602448,0.137884736,0.8606808779999999,2.801752406089044,0.306731462,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,10,42.55199657929615,-9999.0
12,200301,3.1385579110000004,3.1042725000000364,63.98260498,101.2625469,114.59599537037035,1.815160632,247.25,2.677088976,2.112819672,0.137884736,0.8606808779999999,2.1875931970569025,0.36671006700000003,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,1,27.734026946351303,-9999.0
49,200604,3.174087524,19.493890399999998,65.61097717,100.3901016,236.8961111111111,4.165280342,1930.333333,2.797965527,3.196568727,0.137884736,0.8606808779999999,3.1370223165691984,0.340636969,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,4,89.55676682359152,-9999.0
50,200605,2.753156424,21.854882800000038,66.95043945,100.3037813,264.73627314814814,2.384143829,2716.5,2.8588893410000003,3.73280406,0.137884736,0.8606808779999999,3.606950277799763,0.303634226,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,5,115.3595936339928,947.69557
38,200504,3.3436398510000003,16.483209199999973,62.61819839,100.3861328,220.53803240740746,4.309219837,1967.333333,2.797965527,3.196568727,0.137884736,0.8606808779999999,3.1370223165691984,0.34266686399999996,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,4,95.73672778151459,-9999.0
35,200501,3.288575649,7.89257200000003,72.76586914,101.2648906,102.07648148148148,3.642960548,238.5,2.677088976,2.112819672,0.137884736,0.8606808779999999,2.1875931970569025,0.374696136,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,1,7.234588127849549,-9999.0
6,200207,1.730937839,27.5170837,73.6720047,100.62222659999999,256.45590277777785,3.932188511,4015.25,2.881318569,3.944719315,0.137884736,0.8606808779999999,3.7924343337162214,0.295430094,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,7,104.14371226229856,1451.4274999999998
20,200309,2.412483692,22.882623300000034,63.81347656,100.6095625,210.7359259259259,3.980551481,2228.25,2.823577642,3.399778366,0.137884736,0.8606808779999999,3.3154524867969575,0.266938627,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,9,90.9317575778178,-9999.0
0,200201,3.167527914,7.2441650000000095,66.37276459,100.9350703,112.40769675925924,5.308467865,313.75,2.677088976,2.112819672,0.137884736,0.8606808779999999,2.1875931970569025,0.37593025,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,1,77.61696936597696,198.60151
37,200503,3.387775183,10.917932100000089,64.17020416,100.3109063,186.8460763888889,2.689652681,736.25,2.722929001,2.499307394,0.137884736,0.8606808779999999,2.5265564287094406,0.375688732,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,3,43.44690332273033,-9999.0
57,200612,3.105021954,8.33898320000003,66.90590668,101.2339297,104.08765046296296,4.736626625,389.25,2.680577517,2.14347744,0.137884736,0.8606808779999999,2.2144607682914725,0.36564618299999996,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,12,21.08850183768568,-9999.0
11,200212,3.259608269,6.752435300000059,71.59378052,100.8490625,91.26571180555555,5.462992667999999,254.25,2.680577517,2.14347744,0.137884736,0.8606808779999999,2.2144607682914725,0.382853359,64.14336395,17,43,39,0,1,0,0,0,0,0,0,0,0,0,12,27.765856396324292,-9999.0
