,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200907,1.673146009,29.88637700000004,26.77882004,98.03901563,345.12375,0.0027095070000000003,1450.0,1.842789888,2.007413149,0.319243729,0.65905726,1.911299325276524,0.133145809,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,7,28.53439469407465,1041.4958
9,200910,1.603975534,16.871331800000007,53.52640152,98.24035938,185.36341435185184,2.063919306,691.6666667000003,1.811904192,1.753990531,0.319243729,0.65905726,1.7344192442716169,0.234083325,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,10,28.716035121171217,1062.7835
18,201007,1.683315635,28.450830100000076,33.41724396,97.92203906,340.808287037037,0.00486233,1580.25,1.842789888,2.007413149,0.319243729,0.65905726,1.911299325276524,0.134020776,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,7,54.80250265284533,2901.4007
21,201010,1.502485991,18.6333252,55.3987236,98.44928906,170.78961805555554,2.475725412,694.0,1.811904192,1.753990531,0.319243729,0.65905726,1.7344192442716169,0.265667915,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,10,45.15343258642867,1177.4509000000005
13,201002,1.380048275,10.12066040000002,74.72401428,98.41072656,125.10642361111107,4.405760765,1523.75,1.852045894,2.131382465,0.319243729,0.65905726,1.9959571248746448,0.385175526,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,2,18.673188719127605,-9999.0
5,200906,1.614993572,23.79784550000005,39.43419266,97.90182813,318.26710648148145,0.424025029,1637.5,1.849005222,2.085675955,0.319243729,0.65905726,1.9648632021619363,0.159457013,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,6,24.515874608424788,900.5715
12,201001,1.551782966,9.1119324,69.94178009,98.42558594,98.0424074074074,4.101819038,1018.5,1.820282817,1.859268308,0.319243729,0.65905726,1.8064781510090209,0.36656671799999996,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,1,13.866192945702734,-9999.0
22,201011,1.465901375,11.41201170000005,62.44798660000001,98.75284375,128.0225,3.499240398,512.0,1.804352641,1.689344287,0.319243729,0.65905726,1.6894028825307117,0.334654272,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,11,25.35139976626532,1134.6956
11,200912,1.456495404,7.769525100000068,65.80677032,98.61010938,99.63333333333333,4.1894741060000005,467.75,1.805187464,1.702266932,0.319243729,0.65905726,1.6981861575439394,0.344053149,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,12,15.506446322269213,-9999.0
4,200905,1.819904327,22.679162600000037,42.44587708,98.16279688,317.3148148148148,0.469869494,1384.0,1.86354959,2.180930853,0.319243729,0.65905726,2.032284832515664,0.186083212,124.2586746,21,48,31,0,0,0,0,0,0,0,0,1,0,0,5,26.24062508200653,965.7298
