,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,200502,1.745038986,2.001092500000027,71.96566772,91.75150781,130.65452546296294,1.17426157,134.25,0.792265058,3.8775527480000003,0.6080753210000001,0.26537776,1.5107730920065183,0.250073314,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,2,18.14739136910759,668.590317
11,200504,2.354633808,7.2020813000000325,67.68019867,91.49151563,193.7424884259259,1.66569066,225.6666667,1.004164577,3.910975456,0.6080753210000001,0.26537776,1.6484936034243631,0.23305742399999999,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,4,46.65517612016613,1598.9480999999994
16,200511,2.214274168,2.9866271999999867,79.56724548,91.86929688,72.88361689814816,3.27704668,107.75,0.83605361,3.8826763630000003,0.6080753210000001,0.26537776,1.5387595232918458,0.236374334,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,11,66.11894036920327,752.1294999999997
13,200508,2.309841633,20.68163450000003,42.37269211,91.6534375,303.51835648148153,0.005817663000000001,252.25,1.053992987,3.9170963760000004,0.6080753210000001,0.26537776,1.6804173858687719,0.047451176,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,8,70.6870887129332,785.5305
1,200402,1.680640936,0.22030030000001946,79.48046875,91.54050781,114.5949074074074,2.52512908,76.0,0.79345274,3.8775224689999996,0.6080753210000001,0.26537776,1.5114872567467188,0.273107022,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,2,58.02946340096986,2623.3009999999995
14,200509,2.17596221,14.647241199999995,51.14631653,91.70172656,217.80696759259254,0.116768755,153.5,1.001232982,3.910753965,0.6080753210000001,0.26537776,1.6466521940682557,0.050663505,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,9,48.920109149048145,551.1585
6,200410,2.337705851,9.975793500000009,67.65111542,91.38745313,129.45170138888892,1.90999341,121.0,0.939317286,3.898610592,0.6080753210000001,0.26537776,1.6057802062225328,0.139232695,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,10,14.10568967450481,-9999.0
17,200512,1.931426525,-0.6705077999999958,78.70582581,91.63225,52.44280671296296,5.767175198,77.0,0.74001807,3.871347904,0.6080753210000001,0.26537776,1.4773563604052655,0.250636935,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,12,72.2505740003962,811.3238000000001
12,200507,2.307461023,20.907647700000037,47.30892944,91.64200781,329.28027777777777,0.176380873,294.75,1.064800024,3.9184844489999997,0.6080753210000001,0.26537776,1.6873572420650618,0.054293122,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,7,65.94460241625377,723.7684999999999
5,200409,2.336366892,14.636071800000082,62.99758911,91.63140625,196.93574074074073,0.310477197,209.5,1.001232982,3.910753965,0.6080753210000001,0.26537776,1.6466521940682557,0.063694179,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,9,12.38615815812175,1817.6380000000006
2,200403,2.561192274,5.650109900000018,72.06941986,91.89835938,169.06069444444444,1.10411036,234.25,0.90235889,3.894418716,0.6080753210000001,0.26537776,1.58219428704811,0.244778425,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,3,56.55542791523815,2444.8823999999995
4,200407,2.303633213,21.20220340000003,48.1108551,91.61464844,333.75023148148153,0.187741667,369.25,1.064800024,3.9184844489999997,0.6080753210000001,0.26537776,1.6873572420650618,0.051946528,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,7,24.35837332405281,3471.3831
10,200503,2.420673609,5.62252200000006,68.97706604,91.49653125,165.25924768518516,2.927335262,195.75,0.901897013,3.894388676,0.6080753210000001,0.26537776,1.5819054590951622,0.22370994100000002,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,3,33.11540730700422,-9999.0
0,200401,1.921528578,-1.101599100000044,84.51038361,91.66260156,66.49608217592592,3.869353771,73.75,0.7348493340000001,3.870798111,0.6080753210000001,0.26537776,1.474067476768098,0.268885374,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,1,52.76660980392319,2327.4123
15,200510,1.927510262,10.283319100000027,69.12744904,91.61021094,126.07989583333332,1.106351972,152.66666669999995,0.939317286,3.898610592,0.6080753210000001,0.26537776,1.6057802062225328,0.118520305,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,10,56.9514343201564,647.4550999999999
7,200411,1.901806116,3.796624800000018,74.61008453,92.13796094,79.58461805555554,0.819155037,106.6666667,0.83605361,3.8826763630000003,0.6080753210000001,0.26537776,1.5387595232918458,0.19885669600000005,842.5958252,19,34,46,1,0,0,0,0,0,0,0,0,0,0,11,8.83933445852686,-9999.0
