,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201007,2.58327508,14.404107700000054,66.82909393,95.26242188,200.38261574074073,2.572077274,1558.0,0.952541947,2.148288012,0.690522313,0.309477657,1.3225986089869113,0.36166515899999996,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,7,3.664895033751028,59.01879600000001
36,201306,2.814018726,16.191613800000027,51.51549149,95.6073125,270.85608796296293,0.905031204,1751.25,0.951053858,2.115149736,0.690522313,0.309477657,1.3113154943151821,0.300053537,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,6,53.35496661705897,1807.61091
37,201307,2.73502779,15.442407199999993,59.74624252,95.76045313,210.91125,1.6771227119999998,1789.75,0.952541947,2.148288012,0.690522313,0.309477657,1.3225986089869113,0.270018339,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,7,54.09765381483713,-9999.0
28,201209,2.801669121,5.820794699999966,73.60810852,94.57127344,89.49150462962963,2.022838116,183.25,0.920519829,1.32621789,0.690522313,0.309477657,1.0460742867521282,0.383115947,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,9,30.469897140564488,-9999.0
43,201404,2.778511524,-2.177282699999978,68.34531403,94.783875,192.54256944444444,0.281214803,-140.33333330000002,0.908556998,0.967308342,0.690522313,0.309477657,0.9267391990300112,0.39031463899999996,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,4,17.779283093827342,1123.0225699999999
49,201410,3.1161105630000003,-6.996801800000013,79.82758331,94.52766406,43.15450231481481,0.767699063,67.0,0.912933707,1.065070033,0.690522313,0.309477657,0.9600164733270572,0.355480671,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,10,1.3004724378763146,-9999.0
5,201006,2.196290493,13.536798100000055,64.37312317,95.01274219,226.83439814814813,3.133666515,1261.0,0.951053858,2.115149736,0.690522313,0.309477657,1.3113154943151821,0.347245425,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,6,3.4945868132955096,57.54831299999999
33,201303,2.6528453830000003,-13.647314499999993,73.82171631,95.50254688,106.89017361111107,0.417394668,-43.5,0.905913591,0.83580941,0.690522313,0.309477657,0.8842178861408083,0.399782598,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,3,2.4648948240600466,-9999.0
20,201201,2.719110966,-30.774252299999965,95.07579041,94.73107031,6.061157046296296,0.631051958,75.25,0.9001463059999999,0.7589116690000001,0.690522313,0.309477657,0.8564373144496052,0.349956065,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,1,0.2356845381622965,-9999.0
42,201403,3.123844862,-10.384558099999936,68.48562622,95.060875,111.39103009259256,0.17437385,-64.5,0.905913591,0.83580941,0.690522313,0.309477657,0.8842178861408083,0.35366961399999997,316.3163757,7,34,59,0,1,0,0,0,0,0,0,0,0,0,3,1.834214605167799,-9999.0
