,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
55,201308,3.358036995,20.985498000000007,64.71030426,101.1767656,307.29273148148144,0.005541043000000001,2731.5,1.74817431,2.354772091,0.503364742,0.49663528799999995,2.049432226112325,0.128968343,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,8,210.5488919364006,-9999.0
11,200912,1.880504727,7.898767100000043,70.15298462,101.6463281,81.28828703703705,1.909822822,194.75,1.366122723,2.254922152,0.503364742,0.49663528799999995,1.807531924379332,0.30248642,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,12,15.218431391640026,-9999.0
32,201109,2.595922709,21.62401729999999,57.80777359,101.1037188,252.2260879629629,0.010672996,1955.0,1.577116728,2.310707569,0.503364742,0.49663528799999995,1.941443873907699,0.129055679,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,9,151.0512072428375,-9999.0
26,201103,2.843148232,11.32180180000006,72.197052,101.6580234,154.38730324074072,5.147330761,903.25,1.938517928,2.394911289,0.503364742,0.49663528799999995,2.165179034437061,0.38768976899999996,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,3,63.991332643481776,-9999.0
28,201105,3.515989065,15.532189899999993,55.2483139,101.3310625,291.0129861111111,1.018916249,974.5,1.827548265,2.370990753,0.503364742,0.49663528799999995,2.0974410363657645,0.19369545600000002,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,5,88.04184920348497,-9999.0
21,201010,2.399458408,17.841851800000033,59.25141144,101.4416563,161.30231481481482,1.723115563,770.0,1.447779894,2.278617144,0.503364742,0.49663528799999995,1.8604030343682747,0.17904532,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,10,83.62617450183544,-9999.0
61,201402,2.293485165,11.394738800000026,69.91660309,101.5977188,122.03353009259258,4.249245167,282.0,1.664920807,2.324873209,0.503364742,0.49663528799999995,1.992676508181186,0.307967573,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,2,40.60730857308411,-9999.0
23,201012,2.029124975,10.083856200000014,79.75232697,101.5203047,65.82927662037036,4.435312748,198.0,1.366122723,2.254922152,0.503364742,0.49663528799999995,1.807531924379332,0.37370452299999996,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,12,16.167790922641327,-9999.0
41,201206,3.703629494,20.943536399999967,49.12398148,101.0390547,345.67048611111125,0.029514272,2246.0,1.813949585,2.369646311,0.503364742,0.49663528799999995,2.0899282429761543,0.130064651,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,6,148.2644728357111,-9999.0
65,201406,3.4314110280000003,21.73903810000001,51.72018051,100.8797734,353.9421064814814,0.0007369119999999999,2598.5,1.813949585,2.369646311,0.503364742,0.49663528799999995,2.0899282429761543,0.128712893,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,6,187.9522280529996,-9999.0
20,201009,2.616165161,21.329248000000007,54.14466858,100.9833125,251.8212037037037,0.0055320840000000005,1937.75,1.577116728,2.310707569,0.503364742,0.49663528799999995,1.941443873907699,0.129193321,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,9,155.11826514947438,-9999.0
57,201310,2.277277231,17.32659300000006,44.82443237,101.3353438,194.31789351851847,0.004461227,532.0,1.447779894,2.278617144,0.503364742,0.49663528799999995,1.8604030343682747,0.131118014,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,10,51.38127802659292,-9999.0
5,200906,3.55061245,19.965325899999982,59.62146378,100.9383047,322.5464351851852,0.049560145,2486.75,1.813949585,2.369646311,0.503364742,0.49663528799999995,2.0899282429761543,0.13143645199999998,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,6,206.4634362418708,-9999.0
39,201204,2.679131985,14.873803699999995,60.18917847,101.4838828,266.87715277777784,1.825428963,1017.25,1.954798698,2.399955511,0.503364742,0.49663528799999995,2.1758793386733783,0.29200238,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,4,76.51956311906856,1200.604282
63,201404,2.7252936360000004,16.229303000000016,58.12670517,101.4147969,269.5185879629629,0.902228594,1337.666667,1.954798698,2.399955511,0.503364742,0.49663528799999995,2.1758793386733783,0.227343485,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,4,73.9065717063257,1588.61261
33,201110,2.10585475,17.668817100000012,61.5606308,101.3775859,174.32593749999995,1.039904356,750.0,1.447779894,2.278617144,0.503364742,0.49663528799999995,1.8604030343682747,0.19928374899999998,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,10,58.1721816161449,-9999.0
25,201102,2.867776871,9.387750200000028,56.74599457,101.7410234,149.36371527777774,3.286897659,504.75,1.664920807,2.324873209,0.503364742,0.49663528799999995,1.992676508181186,0.332164258,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,2,44.741710949607906,-9999.0
71,201412,2.386837959,11.366265900000027,77.20675659,101.7030156,67.62030671296296,5.985565662000001,250.75,1.366122723,2.254922152,0.503364742,0.49663528799999995,1.807531924379332,0.380071014,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,12,23.13385094628685,-9999.0
54,201307,3.537801027,21.640039100000024,61.30843353,101.0292813,336.7212037037037,0.015465449,4625.0,1.836826444,2.381756783,0.503364742,0.49663528799999995,2.107458134953996,0.130032137,-5.826146126,18,41,40,1,0,0,0,0,0,0,0,0,0,0,7,246.0300133142841,-9999.0
69,201410,2.135377169,19.96019900000005,51.86820221,101.2600156,178.02538194444443,0.37766856,751.3333332999997,1.447779894,2.278617144,0.503364742,0.49663528799999995,1.8604030343682747,0.135381356,-5.826146126,18,41,40,0,0,0,0,0,0,0,0,1,0,0,10,50.76810500179696,-9999.0
