,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
128,201207,2.07433486,23.808892800000077,46.88555908,98.2566875,345.5971064814814,0.004136325,894.75,1.942476392,2.070354939,0.422275811,0.570918441,2.002264607870684,0.12416604199999999,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,7,5.942467797134457,4183.768999999998
11,200102,3.035944462,7.675103800000045,68.64302063,98.57751563,125.95488425925926,5.085038662,1135.0,1.961669683,2.059846163,0.422275811,0.570918441,2.00436981638273,0.382654279,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,2,31.84663729810281,-9999.0
118,201108,1.847879887,23.35512700000004,49.66952896,98.20322656,317.6573842592593,0.000838695,796.25,1.928362012,1.9896397590000001,0.422275811,0.570918441,1.950222661878788,0.12391318400000001,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,8,5.421753602053868,4185.622999999999
15,200106,2.287561417,23.518853800000052,37.60076141,98.3158125,347.6953240740741,0.055272266,1207.25,1.975013852,2.2482709880000002,0.422275811,0.570918441,2.1175799435040235,0.12616027900000001,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,6,7.747586530048093,3036.5252
123,201202,2.244621992,9.20226439999999,62.83411789,98.79599219,147.7383796296296,1.923232436,787.5,1.962559223,2.06367135,0.422275811,0.570918441,2.00692931740622,0.329203397,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,2,29.887994788850328,-9999.0
134,201304,2.44008255,16.378289800000005,47.90113449,98.53274219,281.74377314814814,0.974650502,2749.666667,2.0656776430000003,2.599295139,0.422275811,0.570918441,2.3562712304191518,0.24386389600000002,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,4,86.8132057870188,1490.8563
32,200302,1.98329556,8.678949000000047,68.53499603,98.55485156,143.84569444444443,2.123551846,1477.5,1.961669683,2.059846163,0.422275811,0.570918441,2.00436981638273,0.364089459,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,2,30.4382006846413,-9999.0
1,200004,2.364346743,14.672296100000038,58.77907562,98.68060156,267.33597222222215,2.484297991,2404.5,2.0656776430000003,2.599295139,0.422275811,0.570918441,2.3562712304191518,0.271321535,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,4,31.300511367581514,649.4922999999998
116,201106,2.165555,19.73723750000005,55.14538956,98.16961719,315.24953703703704,2.055881977,1421.75,1.975013852,2.2482709880000002,0.422275811,0.570918441,2.1175799435040235,0.23578386,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,6,65.97672735167772,-9999.0
45,200403,2.123669624,14.091638199999974,63.73427963,98.7156875,220.31365740740745,0.8832266329999999,2358.75,2.032232046,2.393787622,0.422275811,0.570918441,2.2248199326021765,0.30656400300000003,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,3,75.98787603451831,-9999.0
40,200310,1.878847599,19.015039100000024,43.56472778,98.41546875,195.18724537037042,0.118472792,366.3333333,1.899695158,1.806898713,0.422275811,0.570918441,1.8337871097680896,0.12448616300000001,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,10,2.2547401179449023,1460.8623300000006
115,201105,2.5851883890000003,14.873193399999993,52.4540062,98.43607031,293.8451851851852,1.874518037,2181.75,2.029653788,2.466760397,0.422275811,0.570918441,2.265392699552703,0.23337177899999997,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,5,75.97913930674449,-9999.0
26,200205,2.152493477,17.121728500000017,52.09855652,98.40758594,325.4624305555556,0.948656678,1820.75,2.029653788,2.466760397,0.422275811,0.570918441,2.265392699552703,0.197830588,229.6743011,19,50,32,1,0,0,0,0,0,0,0,0,0,0,5,54.56842300982817,2542.977700000001
