,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
18,200506,4.114992142,14.460534700000036,81.63920593,98.65339063,250.9511574074074,5.003934383,4961.25,4.44e-16,0.528678656,0.0,0.0,0.0,0.19148162,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,6,125.81445488283107,2645.3443999999995
20,200508,3.793601513,20.529138199999977,72.44818115,98.95742188,211.99053240740741,1.567636371,4690.5,0.0,0.573036611,0.0,0.0,0.0,0.187525183,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,8,121.34150845342207,-9999.0
11,200405,4.135505676,6.8953491000000895,72.58584595,98.87203125,228.6879398148148,4.733116627,1133.0,-4.44e-16,0.322721094,0.0,0.0,0.0,0.192873538,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,5,79.63851599758965,-9999.0
19,200507,3.444987774,19.91185910000001,75.71492767,98.97709375,264.3485648148148,2.51832509,5649.0,4.44e-16,0.5953565239999999,0.0,0.0,0.0,0.186723307,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,7,145.79878444038633,2803.598823000001
13,200407,3.264661789,18.305291699999998,75.85159302,98.93963281,251.21310185185183,2.589284182,5389.5,4.44e-16,0.5953565239999999,0.0,0.0,0.0,0.18775573399999998,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,7,108.04262033788893,3531.8891700000013
6,200306,2.994799852,12.682794199999993,78.99520111,98.83746875,271.9801851851852,2.462606192,4731.25,4.44e-16,0.528678656,0.0,0.0,0.0,0.190373585,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,6,133.84474783113555,3079.9137000000005
0,200205,3.971924543,6.323602300000005,69.92914581,99.07767969,264.49215277777773,2.87078476,716.25,-4.44e-16,0.322721094,0.0,0.0,0.0,0.191408262,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,5,77.6238692130402,-9999.0
1,200206,3.60206604,14.549218800000006,79.51465607,98.84153125,255.23076388888884,2.702950478,3635.0,4.44e-16,0.528678656,0.0,0.0,0.0,0.190199643,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,6,115.82980586323434,-9999.0
9,200309,5.151370525,17.03807979999999,67.58345795,98.82489063,172.8542592592593,2.482304811,2598.25,0.0,0.431369245,0.0,0.0,0.0,0.184890047,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,9,61.82311910040836,2627.1391
17,200411,5.2857437130000005,4.416803000000017,66.22409821,99.31578906,72.69659143518518,0.8387233609999999,167.0,0.0,0.176845372,0.0,0.0,0.0,0.189730078,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,11,25.440204804711172,-9999.0
12,200406,4.308046341,12.938256800000033,72.01050568,98.90740625,270.83027777777784,1.73557663,4442.5,4.44e-16,0.528678656,0.0,0.0,0.0,0.189893037,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,6,144.4115126594094,-9999.0
5,200305,3.904391766,6.365930199999981,70.71723175,99.08072656,256.46851851851847,3.445131302,1213.0,-4.44e-16,0.322721094,0.0,0.0,0.0,0.191867188,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,5,102.02791507535858,4475.020700000001
2,200207,3.404935837,20.86574710000008,77.53823853,99.01296094,263.84937499999995,3.948856115,4888.5,4.44e-16,0.5953565239999999,0.0,0.0,0.0,0.189281836,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,7,129.64853292592258,-9999.0
4,200209,4.455769062,18.3502747,69.89168549,98.83427344,164.69722222222222,4.168462753,2294.0,0.0,0.431369245,0.0,0.0,0.0,0.19222028600000002,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,9,114.50264891832957,-9999.0
14,200408,4.132800102,17.707238800000027,71.33313751,98.96334375,201.2088888888889,2.587191582,4644.75,0.0,0.573036611,0.0,0.0,0.0,0.189499959,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,8,125.35710254219116,-9999.0
10,200310,4.819421768,10.072625700000003,66.67483521,98.72175781,114.40390046296295,1.917763472,602.6666667000002,0.0,0.23546935600000002,0.0,0.0,0.0,0.189301848,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,10,50.07477005818758,1127.4103999999998
16,200410,5.143283844,10.625756800000033,71.39419556,98.75875781,91.95417824074076,4.257698536,528.0,0.0,0.23546935600000002,0.0,0.0,0.0,0.192028105,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,10,58.75310214960352,-9999.0
15,200409,5.017264366,18.652124000000068,71.24859619,99.06000781,158.88815972222218,2.775728941,2629.5,0.0,0.431369245,0.0,0.0,0.0,0.189419344,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,9,101.9492216690117,-9999.0
7,200307,3.380054235,18.816735800000004,74.81729889,98.8224375,269.8427546296296,2.091255665,5639.0,4.44e-16,0.5953565239999999,0.0,0.0,0.0,0.188082933,373.6110229,1,3,5,0,0,0,0,1,0,0,0,0,0,0,7,178.5228560631276,-9999.0
