,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
88,201208,2.188819647,25.75380860000001,41.90565491,84.746125,282.3194212962963,0.925209761,347.25,1.133056641,0.0,0.964170694,0.035829276,1.0924600078942788,0.262125343,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,8,85.8730770286245,1716.8592
80,201112,2.326063395,4.021752899999966,61.78126144,84.63429688,135.67549768518518,0.96727103,28.25,0.912219644,0.0,0.964170694,0.035829276,0.8795354472359129,0.34885895299999997,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,12,9.39721931313526,-9999.0
50,200812,2.671382666,7.280328400000029,48.94021988,84.60826562999998,137.76096064814814,0.5222237710000001,57.0,0.912219644,0.0,0.964170694,0.035829276,0.8795354472359129,0.299550146,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,12,10.121239751849757,-9999.0
28,200701,2.687473536,3.2575317000000155,58.79356766,84.58390625,148.94672453703703,1.198715091,10.5,0.903590024,0.0,0.964170694,0.035829276,0.8712150205315566,0.336048633,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,1,11.196700114068008,-9999.0
96,201304,3.316526175,16.384423800000036,18.42573357,84.37191406,327.6748842592593,0.085056134,-3.0,0.975003064,0.0,0.964170694,0.035829276,0.9400693808690064,0.216199115,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,4,11.512275597370648,2934.7035
74,201106,3.127412081,26.78002320000001,12.33616066,84.49507031,359.07495370370367,0.058406487,-30.25,0.983873606,-4.44e-16,0.964170694,0.035829276,0.9486220975053024,0.210250393,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,6,4.230749531495278,3486.5468
26,200610,2.199061632,15.162683100000038,49.11759949,84.587,204.94972222222214,1.024122953,309.6666667,1.014070749,0.0,0.964170694,0.035829276,0.9777372978284301,0.28310832399999997,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,10,22.708266655594525,1142.0545870000005
32,200705,2.950234175,20.998254400000008,22.26884079,84.47182031,341.9098148148148,0.087210014,180.0,0.980955184,4.44e-16,0.964170694,0.035829276,0.9458082405401778,0.218678966,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,5,14.470075828087339,2765.7817000000005
33,200706,2.754550457,25.64940800000005,18.75003624,84.58442969000002,344.68240740740737,0.699137151,97.5,0.983873606,-4.44e-16,0.964170694,0.035829276,0.9486220975053024,0.23698195800000002,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,6,22.240412846789575,2576.6816
25,200609,2.112264395,19.287896699999976,55.25666428,84.69603906,238.5621990740741,2.020287275,1067.5,1.11462152,0.0,0.964170694,0.035829276,1.0746854044857348,0.320554703,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,9,57.298948900628396,1065.6065
77,201109,1.968059421,23.30175170000001,38.22581863,84.77699219,250.557199074074,0.450362176,470.25,1.11462152,0.0,0.964170694,0.035829276,1.0746854044857348,0.234253198,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,9,57.38006439641432,1435.68109
51,200901,2.286240101,7.322442600000045,41.14020538,84.82352344,164.90957175925925,0.600609422,15.0,0.903590024,0.0,0.964170694,0.035829276,0.8712150205315566,0.304474354,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,1,7.9401300694431916,-9999.0
43,200805,3.597348452,18.87066040000002,21.74246788,84.31645313,346.34511574074065,0.321661383,11.0,0.980955184,4.44e-16,0.964170694,0.035829276,0.9458082405401778,0.225643188,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,5,9.59504049926501,3255.6006
35,200708,1.859183192,24.22905880000002,53.16529083,84.71783594,260.8750231481481,1.845296621,912.25,1.133056641,0.0,0.964170694,0.035829276,1.0924600078942788,0.308498919,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,8,86.0799133841741,1580.7682
99,201307,2.202428818,24.704370100000066,51.62248611,84.78655469,273.97601851851846,2.137312174,435.25,1.021766424,0.0,0.964170694,0.035829276,0.9851572421339782,0.299670696,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,7,75.24382547606078,2207.861
21,200510,2.507712126,17.066613800000027,38.74611664,84.61742188,216.06847222222214,0.169408351,162.0,1.014070749,0.0,0.964170694,0.035829276,0.9777372978284301,0.21989299399999998,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,10,4.0288606084392375,1663.3734000000006
111,201408,1.854554415,23.069604500000025,54.09646606,84.82092188,259.99004629629627,2.275404215,618.5,1.133056641,0.0,0.964170694,0.035829276,1.0924600078942788,0.312947214,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,8,94.5265433718837,1374.4332000000006
78,201110,2.121259928,17.59661250000005,32.09359741,84.67476563,224.8419675925926,0.092417322,175.0,1.014070749,0.0,0.964170694,0.035829276,0.9777372978284301,0.217394203,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,10,12.483267407093086,1607.4073
41,200803,3.018322945,11.616174300000068,22.6882019,84.531875,280.8940509259259,0.030495329,-39.5,0.932482123,0.0,0.964170694,0.035829276,0.8990719356755034,0.220063686,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,3,8.157433509473396,1934.7132000000006
97,201305,3.241925478,20.508660899999995,18.4937973,84.5530625,351.72946759259264,0.01445602,-7.0,0.980955184,4.44e-16,0.964170694,0.035829276,0.9458082405401778,0.21311846399999998,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,5,7.6379601411076035,3473.8716000000004
29,200702,2.722115517,7.687951700000043,40.80153275,84.61382031,205.9538425925926,0.228777736,-37.25,0.906392694,-4.44e-16,0.964170694,0.035829276,0.8739172728105097,0.298365593,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,2,9.331740591656416,1040.7528100000004
57,200907,2.256166458,27.03231200000005,37.33444214,84.80002344,294.77046296296294,0.751642823,281.5,1.021766424,0.0,0.964170694,0.035829276,0.9851572421339782,0.237210318,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,7,33.014605509830325,3130.1585
73,201102,3.143728495,6.461267100000043,32.09240341,84.52116406,214.63784722222215,0.17767317600000002,-26.5,0.906392694,-4.44e-16,0.964170694,0.035829276,0.8739172728105097,0.22696982300000001,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,2,5.610585792504411,1293.07876
22,200511,2.351408958,12.305047600000027,27.16740227,84.77126563,179.3519675925926,0.011164736,42.75,0.973169684,-4.44e-16,0.964170694,0.035829276,0.9383016896020407,0.21396349399999998,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,11,1.7810704519017453,839.8489399999999
62,201001,2.449544907,5.202050799999995,51.89165878,84.48620312999998,146.36538194444444,2.2565763,18.5,0.903590024,0.0,0.964170694,0.035829276,0.8712150205315566,0.32517007,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,1,12.946322789726436,-9999.0
81,201201,2.355579376,7.969201700000043,37.7552681,84.82235156,168.33340277777774,0.088620089,3.75,0.903590024,0.0,0.964170694,0.035829276,0.8712150205315566,0.254194409,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,1,6.881495351179702,956.4636
5,200406,2.6842958930000003,24.99709469999999,17.64034653,84.61163281,346.13747685185183,0.124263793,-0.25,0.983873606,-4.44e-16,0.964170694,0.035829276,0.9486220975053024,0.21513611100000002,1366.096802,18,49,32,0,0,0,0,0,0,0,0,0,1,0,6,19.539252045186178,3290.0575000000013
112,201409,2.35855484,21.717187500000023,57.60521317,84.65217969000003,218.1230324074074,3.517649889,630.5,1.11462152,0.0,0.964170694,0.035829276,1.0746854044857348,0.32506108300000003,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,9,69.76068548468588,-9999.0
11,200412,2.507776022,5.330835000000036,57.16303635,84.75299999999999,141.5726273148148,1.161830306,45.25,0.912219644,0.0,0.964170694,0.035829276,0.8795354472359129,0.332295179,1366.096802,18,49,32,0,0,0,0,0,0,0,0,0,1,0,12,9.656901635871996,-9999.0
36,200709,2.342612505,22.1988159,44.87445068,84.70579688,255.39851851851847,0.944555402,438.5,1.11462152,0.0,0.964170694,0.035829276,1.0746854044857348,0.25550490600000003,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,9,32.29800551018845,1886.2462
95,201303,2.818120003,13.203424100000065,24.24777794,84.62189063,267.1541435185185,0.228614435,-14.75,0.932356298,0.0,0.964170694,0.035829276,0.8989506188979308,0.24176082,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,3,23.24783241931436,1950.0613
107,201403,2.894880295,12.710168500000007,31.32549858,84.53375,262.62361111111113,0.829870522,28.0,0.932356298,0.0,0.964170694,0.035829276,0.8989506188979308,0.26443553,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,3,16.163141431628894,2189.4691999999995
37,200710,2.7213730810000003,17.48076780000008,30.7131958,84.69646875000002,227.0107407407407,0.060399648,109.6666667,1.014070749,0.0,0.964170694,0.035829276,0.9777372978284301,0.215789482,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,10,9.049422399400258,1430.8425000000002
23,200602,2.609838486,9.697351100000047,28.45211029,84.64510938,204.94414351851847,0.159528017,-10.75,0.906392694,-4.44e-16,0.964170694,0.035829276,0.8739172728105097,0.222577542,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,2,3.5173920870714093,1037.207584
75,201107,2.424883604,25.829766800000016,41.28362656,84.62053906,286.7353935185185,1.73550117,268.25,1.021766424,0.0,0.964170694,0.035829276,0.9851572421339782,0.25982666,1366.096802,18,49,32,1,0,0,0,0,0,0,0,0,0,0,7,55.09346308452647,2574.213200000001
