,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
27,200704,3.127270937,2.7684265000000323,54.83584976,91.358125,215.9502083333333,2.129944563,201.3333333,2.645253181,2.23458457,0.276349306,0.723650694,2.348072555645834,0.407450795,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,4,34.161491387980035,1515.046317
5,200311,2.902104139,-3.0595153999999525,63.42229079999999,92.15864063,90.59627893518518,1.76898241,54.0,2.615019798,1.985977769,0.276349306,0.723650694,2.159813097158982,0.36571863299999996,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,11,11.939364206115235,201.3876356
6,200312,3.6180861000000006,-11.538580300000035,77.03789520000002,91.7970625,84.9626736111111,0.755116343,64.25,2.612701178,1.9707328080000002,0.276349306,0.723650694,2.148140321523452,0.34328132899999997,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,12,6.840503916857207,4.939519838
38,200902,3.569418907,-10.265814199999967,63.86618805,91.52222656,143.89854166666666,2.095067501,23.5,2.604285479,1.928383112,0.276349306,0.723650694,2.1151682620442074,0.30760622,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,2,6.500271859168388,760.8005987
21,200604,3.15931344,2.0332886000000485,51.8497467,90.99882031,208.5439351851852,3.21683073,75.66666667,2.645253181,2.23458457,0.276349306,0.723650694,2.348072555645834,0.40832191700000003,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,4,22.59997981468893,1388.8694369999994
0,200302,2.811909914,-9.448492399999964,70.42310333,91.80519531,137.7812962962963,0.625325739,-2.0,2.604285479,1.928383112,0.276349306,0.723650694,2.1151682620442074,0.304762632,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,2,5.724754789589013,660.2158887999999
20,200603,4.04817009,-4.828527799999961,49.18406296,91.14042188,197.33358796296287,1.299931049,-12.75,2.608036995,1.954353571,0.276349306,0.723650694,2.134998531566104,0.336886674,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,3,14.664394048253133,1410.063972
42,200908,2.201942682,18.510217300000022,73.19322205,91.40469531,224.18064814814807,2.675649405,3527.75,2.9235000610000004,4.362115383,0.276349306,0.723650694,3.9645550371643337,0.34684485200000004,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,8,80.44581318990328,503.43931789999993
35,200808,1.890791774,18.512719699999987,76.75869751,91.33620313,202.7757638888889,4.183917046,3887.75,2.9235000610000004,4.362115383,0.276349306,0.723650694,3.9645550371643337,0.35730004299999996,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,8,85.67017219449404,354.1508647
36,200809,2.728285789,13.526361100000033,63.70799637,91.69761719,202.5346759259259,0.7284865979999999,1843.5,2.7894392010000004,3.3268613819999997,0.276349306,0.723650694,3.178345135251644,0.307553023,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,9,57.193943504075534,428.2626004
18,200512,3.541209459,-16.773687699999982,70.55329132,91.76611719,86.75921875,0.793193519,46.5,2.612701178,1.9707328080000002,0.276349306,0.723650694,2.148140321523452,0.306307077,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,12,2.5074911790966588,154.9354194
7,200405,3.402814388,11.021997100000078,63.29053879,90.95640625,207.96872685185184,4.488983154,1887.333333,2.784315109,3.308922052,0.276349306,0.723650694,3.1639472873791687,0.384023547,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,5,57.54276207658393,804.2540162
40,200906,2.734218359,14.514245600000038,76.79293823,90.72174219,215.729375,5.663189888,5881.25,2.893806934,4.142748356,0.276349306,0.723650694,3.797604260795647,0.38271543399999997,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,6,77.336572462237,400.3980253
32,200805,3.023302078,10.259240699999964,68.51677704,91.03033594,219.5938194444444,4.096218586,2907.666667,2.784315109,3.308922052,0.276349306,0.723650694,3.1639472873791687,0.373687506,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,5,51.87111175337,983.090957
25,200612,3.069147587,-10.85822139999999,58.576828000000006,92.13321094,85.24438078703703,0.526921272,54.5,2.612701178,1.9707328080000002,0.276349306,0.723650694,2.148140321523452,0.348082513,772.9036255,18,37,44,0,0,0,0,1,0,0,0,0,0,0,12,3.8848020553104736,138.08820459999998
