,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200405,1.836240649,24.53048100000001,82.89689636,99.46809375,183.65228009259255,7.636183262,3477.333333,2.520493031,2.259047747,0.8718203309999999,0.128179699,2.4869811288067014,0.390501261,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,5,80.98707746276878,505.2733428
20,200609,1.799088955,25.11162719999999,76.00323486,99.605875,188.1367013888889,3.857112169,2969.75,2.979964495,2.4901008609999997,0.8718203309999999,0.128179699,2.9171740112417686,0.365447342,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,9,64.68048134361736,643.275832
33,200810,1.781545639,24.50347290000002,72.61504364,100.0024766,174.2355555555556,6.1049642560000015,2544.0,2.842561007,2.423084259,0.8718203309999999,0.128179699,2.7887926889806907,0.34637960799999995,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,10,60.9133413313152,1058.20737
28,200802,2.075374842,11.422235100000027,65.23345184,100.7655703,135.4330324074074,1.505790353,1217.25,2.061889648,2.026419401,0.8718203309999999,0.128179699,2.0573431442727736,0.31880015100000003,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,2,27.845205939236287,683.0555595
42,200911,2.210414648,16.98977050000002,65.80078125,100.4416563,155.34652777777774,2.118322134,1538.0,2.62697506,2.314404964,0.8718203309999999,0.128179699,2.5869099979875703,0.276138544,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,11,59.014676751809404,557.2942925
48,201011,1.855883002,19.02333980000003,61.14540482,100.3284297,169.6077199074074,0.03655035,1673.25,2.62697506,2.314404964,0.8718203309999999,0.128179699,2.5869099979875703,0.212081432,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,11,61.04339366070482,816.1430796
5,200404,1.98434341,22.677179000000024,82.77552795,99.77514063,163.97394675925923,5.903763771,2398.0,2.230249405,2.111913919,0.8718203309999999,0.128179699,2.215081264930983,0.388348907,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,4,66.75378407996222,305.22131
32,200807,1.828465343,27.494043000000033,81.4227066,99.08259375,218.0520833333333,6.078997612,3105.5,2.636252642,2.3174922469999997,0.8718203309999999,0.128179699,2.5953941096033577,0.38359412600000004,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,7,67.93889603259015,1335.76734
41,200910,1.782390475,24.42299800000001,60.21190262,99.84858594,203.4516435185185,0.819492042,2177.0,2.842561007,2.423084259,0.8718203309999999,0.128179699,2.7887926889806907,0.278683186,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,10,80.74401163118216,468.9136889
31,200805,1.6433935169999998,24.62459720000004,82.58712769,99.34779688,167.75788194444445,6.846538067000001,3125.666667,2.520493031,2.259047747,0.8718203309999999,0.128179699,2.4869811288067014,0.384197623,356.2406006,26,31,42,0,0,1,0,0,0,0,0,0,0,0,5,48.900917843568536,318.5878578
