,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
28,200605,1.70037508,-1.8754943999999227,62.05585479999999,63.13848828,310.2965046296296,2.801128387,-36.25,0.984490991,2.486844778,0.965910316,0.02801642,1.020602491991218,0.41459721299999996,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,5,57.21918424188196,2082.710306
31,200705,2.110044956,1.8089539000000057,56.23331451,63.19277734,291.99837962962965,3.454687357,130.0,0.984490991,2.486844778,0.965910316,0.02801642,1.020602491991218,0.390850395,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,5,106.40970820330631,2200.424286
32,200706,1.931346416,3.8781981999999857,69.93999481,63.14061328,271.0831481481481,5.001708031000001,1120.0,1.382421851,2.491782904,0.965910316,0.02801642,1.4051063633319985,0.405512035,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,6,105.46043304560504,1168.99012
11,200405,2.184464693,-2.0448974999999905,61.45277023,63.07877734,290.3491666666667,2.668595552,3.666666667,0.984490991,2.486844778,0.965910316,0.02801642,1.020602491991218,0.400668949,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,5,58.00515065099943,2050.331019
40,200907,1.927635193,7.107629400000008,75.24673462,63.17897656,218.84872685185184,5.413702011,1768.25,1.845126987,2.499042511,0.965910316,0.02801642,1.8522414156593283,0.399018645,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,7,100.02628827839872,947.8372641
47,201004,2.362213612,-7.473852499999964,61.38037872,62.82710156,297.9075,1.073936105,-200.3333333,0.8092127440000001,2.4862082,0.965910316,0.02801642,0.8512815904069112,0.407255918,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,4,36.603904160770604,2257.516606
0,200304,2.417440891,-5.310003699999982,61.54848862,62.77067188,288.1871296296296,2.101748466,-205.6666667,0.8092127440000001,2.4862082,0.965910316,0.02801642,0.8512815904069112,0.396432966,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,4,45.365922908862025,1986.871056
6,200312,2.434530735,-17.685079999999967,77.98986816,62.64774609000001,128.24893518518522,0.237393707,-121.0,0.7210705279999999,2.48386693,0.965910316,0.02801642,0.7660785206937574,0.382246166,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,12,6.884382536597017,853.2768382000003
26,200509,1.711606383,2.9989563000000317,79.25434875,63.46173438,200.73553240740745,5.434223175,442.0,1.23288691,2.489655018,0.965910316,0.02801642,1.2606094054697592,0.4078417720000001,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,9,53.96146898683181,1053.113939
53,201010,1.833693624,-6.284948699999973,71.76547241,63.23718750000001,191.9083912037037,1.5527718069999998,-54.33333333,0.894033194,2.486462831,0.965910316,0.02801642,0.9332176719187144,0.39231702700000004,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,10,20.35973806201658,1307.343794
