,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
25,200508,2.565698385,28.60765989999999,69.67354584,99.11457031,221.17233796296296,4.2612457280000005,3156.75,2.498875618,1.6453088519999999,0.945081115,0.054918895999999995,2.4519987010366213,0.381260902,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,8,64.64204282233484,760.2919109000003
46,200708,2.28336072,29.1472412,71.74988556,98.95064844,212.29597222222213,10.09157085,3404.0,2.498875618,1.6453088519999999,0.945081115,0.054918895999999995,2.4519987010366213,0.392481178,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,8,97.64666657397112,604.7166351
68,200911,2.761987925,12.260217300000026,69.61084747,100.8480781,118.18664351851852,3.95497179,1227.0,1.647458792,1.587754488,0.945081115,0.054918895999999995,1.6441799156599182,0.397776604,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,11,32.16167150919945,500.0756319
5,200307,3.4432265760000003,32.813653600000066,51.35863113,99.1670625,288.80277777777775,0.209873393,3365.0,2.58507967,1.653241515,0.945081115,0.054918895999999995,2.5339041757126,0.277986616,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,7,108.57863581325188,1532.451909
42,200704,2.445038319,17.847985800000004,71.44451141,100.1547578,177.13309027777774,6.179492474,2054.333333,1.7551355359999998,1.593758702,0.945081115,0.054918895999999995,1.7462729177432357,0.46054422899999997,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,4,52.99376575580585,499.3347067
11,200402,2.409524918,12.087548800000036,65.65977478,100.6323438,146.71461805555555,3.963698387,448.0,1.3025949,1.561488152,0.945081115,0.054918895999999995,1.3168130459102338,0.445478231,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,2,26.85558050058074,637.8121632
62,200905,2.112741947,23.16326290000001,73.659729,99.68759375,188.77554398148143,7.568335533,3413.5,2.089200735,1.617093801,0.945081115,0.054918895999999995,2.0632731663719834,0.416386485,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,5,81.0908106827546,815.6183147999999
23,200505,2.373903275,24.365319800000066,82.59288025,99.30067188,159.30790509259256,17.85593987,2823.25,2.089200735,1.617093801,0.945081115,0.054918895999999995,2.0632731663719834,0.471187532,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,5,49.521652902678454,486.6512777
20,200502,2.7605748180000003,6.6650940000000105,83.19220734,100.7963281,78.00501157407406,3.348842859,264.25,1.300868034,1.561524868,0.945081115,0.054918895999999995,1.3151830338676838,0.47123265299999995,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,2,23.56097121933695,308.52044930000005
71,201002,3.2126472,11.205133100000069,78.60783386,100.45032030000002,103.7490625,4.35785675,635.25,1.300868034,1.561524868,0.945081115,0.054918895999999995,1.3151830338676838,0.473568738,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,2,32.1810815786666,259.8119567
76,201007,2.935819864,30.84121090000001,63.4083519,99.17004688,255.59935185185185,1.345042229,3667.0,2.58507967,1.653241515,0.945081115,0.054918895999999995,2.5339041757126,0.345576137,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,7,136.74934350563203,427.3789823
57,200810,2.140608072,21.84682620000001,70.2049942,100.2730547,163.62137731481482,2.362304926,2137.25,1.969588518,1.6090776919999998,0.945081115,0.054918895999999995,1.9497896831055053,0.36823821100000004,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,10,56.78344838525812,677.4211798
28,200511,2.220923185,16.758081100000027,73.76617432,100.5341953,108.60021990740739,2.533952475,804.75,1.647458792,1.587754488,0.945081115,0.054918895999999995,1.6441799156599182,0.414185375,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,11,24.633824264333967,400.1799527
26,200509,2.169697762,27.11235960000005,73.00630951,99.70310156,196.09002314814808,3.2352161410000004,2512.25,2.343850851,1.634163618,0.945081115,0.054918895999999995,2.3048756374407047,0.382874489,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,9,49.100373581822396,541.5311811
43,200705,2.368164301,24.622705100000076,70.73230743,99.46832813,230.04069444444443,3.3706579210000003,3121.0,2.089200735,1.617093801,0.945081115,0.054918895999999995,2.0632731663719834,0.426652074,292.03231810000005,38,13,47,0,1,0,0,0,0,0,0,0,0,0,5,109.0175785680313,703.6348138999997
6,200308,2.267136097,29.875268600000034,70.76128387,99.14746094,225.30740740740745,4.576046467,3001.75,2.498875618,1.6453088519999999,0.945081115,0.054918895999999995,2.4519987010366213,0.369675756,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,8,97.16123217755316,1069.195848
75,201006,2.262262821,24.779809600000075,81.13252258,99.29129688,154.20788194444444,11.97796154,3275.25,2.407739401,1.637479186,0.945081115,0.054918895999999995,2.3654375868446107,0.46560576600000003,292.03231810000005,38,13,47,0,0,1,0,0,0,0,0,0,0,0,6,65.55833887085669,89.63118215
