,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
57,200809,1.268591762,8.204400600000042,81.74504852,86.52198437999998,150.4937731481481,4.519758223999999,301.75,2.68336606,2.609399319,0.234645143,0.7653548720000001,2.626755294660179,0.394408494,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,9,52.51567806225196,-9999
64,200910,1.29268682,3.811303699999996,82.21968079,86.44996094000004,113.38185185185185,4.6870746610000005,110.3333333,2.652707338,2.070659876,0.234645143,0.7653548720000001,2.2072345170136747,0.38879016,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,10,22.49544659192988,-9999
26,200505,1.28191328,8.104760699999987,75.22420502,86.47009375,235.79432870370368,6.758534908,293.5,2.676552296,2.54667449,0.234645143,0.7653548720000001,2.5771497245615143,0.409967691,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,5,104.63364525384159,-9999
29,200508,1.217821598,11.21242680000006,83.77621459999997,86.56177344000002,172.2095833333333,8.730368614,534.25,2.706679106,3.017321587,0.234645143,0.7653548720000001,2.9444308828837045,0.404788762,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,8,60.287936058338396,-9999
43,200704,1.33417654,6.912652600000057,64.41288757,86.61525781,244.24525462962958,1.045465946,188.0,2.652970076,2.0799684519999997,0.234645143,0.7653548720000001,2.2144205312022405,0.407439321,2255.431641,15,47,30,0,1,0,0,0,0,0,0,0,0,0,4,80.5662792151153,-9999
54,200806,1.109179735,12.156182900000033,82.07317352,86.54607813,207.97659722222213,7.007364272999999,988.0,2.695051908,2.9021315569999997,0.234645143,0.7653548720000001,2.8535413666799783,0.40737474,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,6,92.37955185063349,-9999
35,200605,1.370033145,7.280633500000023,77.17969513,86.43511719,212.0284490740741,7.001410484,689.75,2.676552296,2.54667449,0.234645143,0.7653548720000001,2.5771497245615143,0.41890308299999995,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,5,92.77080165965307,-9999
44,200705,1.4590218069999998,9.062249800000018,74.73699951,86.08894531,225.92284722222215,6.620494366,550.75,2.676552296,2.54667449,0.234645143,0.7653548720000001,2.5771497245615143,0.4040508270000001,2255.431641,15,47,30,0,1,0,0,0,0,0,0,0,0,0,5,101.49852168563801,-9999
22,200409,1.256399393,10.135186800000042,79.67730713,86.83164844000002,161.03659722222218,4.05010128,362.0,2.68336606,2.609399319,0.234645143,0.7653548720000001,2.626755294660179,0.38186684299999996,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,9,54.15654913696533,-9999
56,200808,1.19176054,13.488641400000004,80.63574219,86.53277344,193.8676273148148,8.286505699,871.5,2.706679106,3.017321587,0.234645143,0.7653548720000001,2.9444308828837045,0.396586657,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,8,94.10697217040232,-9999
5,200207,1.281899214,13.396112100000039,79.5815506,86.46713281,215.0958101851852,7.69908905,941.25,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.401717603,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,110.08826175520784,-9999
32,200511,1.331831932,-1.5481323000000202,80.94013977,86.27465625,70.52043402777778,2.978451967,46.25,2.632436037,1.762137771,0.234645143,0.7653548720000001,1.9663490585102887,0.36561703700000003,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,11,4.212803090082641,-9999
11,200305,1.298507333,9.688165300000037,76.97304535,86.61163281,228.83747685185185,7.225732327,497.0,2.676552296,2.54667449,0.234645143,0.7653548720000001,2.5771497245615143,0.414445609,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,5,99.88365159438852,-9999
81,201204,1.518670797,1.9069763000000528,75.64827728,85.40303125,203.05340277777768,4.993710518,-35.25,2.652970076,2.0799684519999997,0.234645143,0.7653548720000001,2.2144205312022405,0.397982925,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,4,61.610627502138044,-9999
28,200507,1.323058009,13.048028600000064,78.76738739,86.57285938,216.6936805555556,9.833089828,934.25,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.400726676,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,108.78567981915006,-9999
72,201103,1.410388947,0.23247680000002904,71.15272522,86.55672656,173.6443865740741,2.115326881,-14.0,2.630463123,1.7252593040000002,0.234645143,0.7653548720000001,1.9376610094322908,0.349577576,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,3,27.74756996442691,-9999
36,200606,1.30928874,11.82634889999997,74.20825195,86.85569531,255.48034722222215,6.757366657,840.0,2.695051908,2.9021315569999997,0.234645143,0.7653548720000001,2.8535413666799783,0.39733710899999997,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,6,99.12748324794063,-9999
68,201006,1.420075655,11.279748499999984,78.63681793,86.38095313,216.4693981481481,7.597349167000001,942.0,2.695051908,2.9021315569999997,0.234645143,0.7653548720000001,2.8535413666799783,0.400045365,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,6,86.89674126683762,-9999
77,201108,1.19972682,14.264520300000072,76.47392273,86.64371094,209.400625,6.409865379,725.0,2.706679106,3.017321587,0.234645143,0.7653548720000001,2.9444308828837045,0.391413867,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,8,87.7310273353054,-9999
76,201107,1.259359002,11.245050000000047,83.32346344,86.28631250000002,214.56553240740737,7.461443901,908.0,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.402571946,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,98.69428239697416,-9999
20,200407,1.26791203,12.646508800000053,78.59727478,86.66359375,223.0090972222221,7.335811137999999,1020.5,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.4022341370000001,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,97.78476940556013,-9999
23,200410,1.38147223,7.163049300000068,83.02597046,86.20684375,103.56583333333332,4.079624176,115.0,2.652707338,2.070659876,0.234645143,0.7653548720000001,2.2072345170136747,0.39873942700000004,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,10,22.137539532928194,-9999
6,200208,1.193913341,12.678613299999995,82.4937439,86.43724219,182.61472222222213,7.699877262,612.75,2.706679106,3.017321587,0.234645143,0.7653548720000001,2.9444308828837045,0.397465974,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,8,81.22773015613227,-9999
63,200909,1.194054127,10.905084199999976,81.22988892,86.81158594,157.85263888888892,4.049625397,403.5,2.68336606,2.609399319,0.234645143,0.7653548720000001,2.626755294660179,0.38299793,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,9,52.91261465430891,-9999
40,200610,1.4282124040000002,7.537591600000043,80.08583069,86.51953906,116.54098379629627,3.151260853,162.33333330000005,2.652707338,2.070659876,0.234645143,0.7653548720000001,2.2072345170136747,0.38403871700000003,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,10,24.659065488314372,-9999
12,200306,1.214036942,16.082177699999992,71.72724915,86.71246094,259.7453240740741,4.503836155,1053.5,2.695051908,2.9021315569999997,0.234645143,0.7653548720000001,2.8535413666799783,0.38782045200000004,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,6,116.04836500556772,-9999
25,200504,1.386288762,2.9085632000000032,73.64222717,86.07323438,200.63261574074073,4.22884798,-6.0,2.652970076,2.0799684519999997,0.234645143,0.7653548720000001,2.2144205312022405,0.414126903,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,4,55.49611326564256,-9999
37,200607,1.25869596,16.758264200000042,68.52022552,86.96145313,262.3267592592593,3.732379675,985.25,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.36675787,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,134.20804005171743,-9999
42,200703,1.440276027,-0.4201721000000021,75.39624786,86.06860938,159.21170138888888,4.518479347,0.25,2.630463123,1.7252593040000002,0.234645143,0.7653548720000001,1.9376610094322908,0.36832878,2255.431641,15,47,30,0,1,0,0,0,0,0,0,0,0,0,3,26.66146930993952,-9999
74,201105,1.330963016,8.904504400000008,72.18891144,86.67097656,245.50740740740738,6.435320854,583.0,2.676552296,2.54667449,0.234645143,0.7653548720000001,2.5771497245615143,0.398024499,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,5,100.50959072805037,-9999
21,200408,1.270124078,13.583947800000033,78.11585236,86.47690625,197.03247685185184,6.883499622,808.5,2.706679106,3.017321587,0.234645143,0.7653548720000001,2.9444308828837045,0.387445569,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,8,85.02975762398228,-9999
51,200803,1.509254813,-2.213262899999961,77.53632355,85.40244530999998,147.35268518518518,4.7037940030000005,58.0,2.630597115,1.726163864,0.234645143,0.7653548720000001,1.938384759407308,0.357691765,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,3,37.33610018227482,-9999
33,200603,1.364997983,-3.3339599999999905,78.3911438,85.59596094000003,157.19475694444444,3.813067675,-104.75,2.630463123,1.7252593040000002,0.234645143,0.7653548720000001,1.9376610094322908,0.32746321,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,3,23.414043000703106,-9999
61,200907,1.265424013,13.566674800000046,79.3670578,86.65552344000002,225.4199537037037,8.61442852,1289.25,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.403822869,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,106.53502216854167,-9999
65,201003,1.399818182,-2.4362853999999743,77.75556183,86.14769531,161.4980324074074,2.657229662,-39.0,2.630463123,1.7252593040000002,0.234645143,0.7653548720000001,1.9376610094322908,0.343339264,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,3,35.720760822271366,-9999
84,201207,1.24245429,13.091851800000025,83.39195251,86.59583594,204.98990740740746,10.03811073,1110.5,2.7135357860000004,3.166600227,0.234645143,0.7653548720000001,3.060290903952344,0.405928791,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,7,99.1543293726302,-9999
75,201106,1.2860621209999998,11.527825899999984,81.41664886,86.58985156,203.9856944444444,7.469108105,905.75,2.695051908,2.9021315569999997,0.234645143,0.7653548720000001,2.8535413666799783,0.40020641700000004,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,6,91.59929070466492,-9999
80,201111,1.410824656,2.5274597000000085,68.88132477,86.79559375,89.01062499999998,0.21381622600000005,31.0,2.632436037,1.762137771,0.234645143,0.7653548720000001,1.9663490585102887,0.357254416,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,11,3.83078685350316,-9999
88,201211,1.439776421,-0.35672610000000304,82.02806854,86.09122656,71.63310185185185,3.88871789,37.33333333,2.632436037,1.762137771,0.234645143,0.7653548720000001,1.9663490585102887,0.40144720700000003,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,11,7.664582864837683,-9999
17,200404,1.364576936,2.6023193000000333,74.94558716,85.92400780999998,210.54449074074074,3.318794489,-84.5,2.652970076,2.0799684519999997,0.234645143,0.7653548720000001,2.2144205312022405,0.39664897299999996,2255.431641,15,47,30,0,0,0,0,0,0,1,0,0,0,0,4,54.72204054669306,-9999
