,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201007,4.506099701,13.361657700000027,66.74010468,95.03179688,143.1218287037037,1.990747452,217.25,0.843910277,0.0,1.0,0.0,0.843910277,0.186572,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,1,75.69278828479416,2308.4167999999995
20,201110,4.858606339,26.26812130000002,31.41441345,94.41272656,284.55932870370367,0.427537024,111.33333329999999,0.843888938,0.0,1.0,0.0,0.843888938,0.070298359,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,4,15.857701464271335,3184.60863
33,201301,4.785010815,32.938104200000005,24.3922081,93.8865625,327.5691435185185,0.325557828,114.75,0.8762084840000001,0.0,1.0,0.0,0.8762084840000001,0.065901831,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,7,27.21731321766965,4355.436
28,201206,4.481575966,13.501184100000046,41.69044876,94.94614063,178.18723379629628,0.00454023,108.5,0.8438906070000001,-4.44e-16,1.0,0.0,0.8438906070000001,0.064486712,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,12,2.6255527796634928,2266.1822
42,201403,4.255972385,27.735192899999962,29.56858253,94.46385938,281.58152777777775,0.081190512,426.25,0.8801403640000001,0.0,1.0,0.0,0.8801403640000001,0.07292322799999999,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,9,59.39956094641078,3137.8276
48,201412,3.923699379,29.051568600000053,44.65761948,94.02835938,300.623587962963,2.373472929,282.0,0.848985195,0.0,1.0,0.0,0.848985195,0.120756842,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,6,60.038020401552075,3670.0436
5,201006,4.555246353,13.898645000000045,47.95667648,95.07601563,180.12042824074075,0.130187586,158.0,0.8438906070000001,-4.44e-16,1.0,0.0,0.8438906070000001,0.071335211,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,12,71.21751914755919,2170.1902
32,201212,4.373582363,30.321130399999962,36.15447998,94.16578906,308.84263888888887,1.047018647,140.25,0.848985195,0.0,1.0,0.0,0.848985195,0.088182174,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,6,43.07133753244896,3920.3919
41,201402,5.068845272,25.625482199999965,50.40475845,93.95103906,265.41701388888885,3.4330883030000003,778.0,0.8801339859999999,-4.44e-16,1.0,0.0,0.8801339859999999,0.17793244100000002,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,8,67.88679440999647,2775.5208
31,201211,3.960597038,29.811669899999966,32.16294098,94.23935156,312.3007175925925,0.822080195,98.0,0.843876183,-4.44e-16,1.0,0.0,0.843876183,0.08032167700000001,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,5,26.769582392866834,3840.0117000000014
0,201001,4.535133838999999,28.97182620000001,41.646411900000004,93.96101563,297.36678240740736,3.77788496,261.75,0.8762084840000001,0.0,1.0,0.0,0.8762084840000001,0.153904706,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,7,85.58844033641151,2560.4789000000005
11,201012,4.383208275,27.90923460000005,40.65533066,93.87374219,311.2326388888889,2.2638013359999998,334.75,0.848985195,0.0,1.0,0.0,0.848985195,0.122526452,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,6,77.18941711834141,3455.1067
37,201307,4.603800297,15.636437999999998,39.61392212,94.96199219,184.27118055555562,0.177153662,65.0,0.843910277,0.0,1.0,0.0,0.843910277,0.071659878,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,1,2.1011470245976978,2495.459
18,201107,3.933732033,14.547204600000045,46.71060181,94.99201563,180.17665509259254,0.329451144,135.25,0.843910277,0.0,1.0,0.0,0.843910277,0.081633553,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,1,6.308184781427183,2334.1555
35,201304,4.469276428,24.08706050000001,29.93206978,94.64164844,237.4488657407407,1.233299017,25.33333333,0.875252664,0.0,1.0,0.0,0.875252664,0.094775572,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,10,9.397606423239221,3139.62694
25,201203,5.124931335,24.10393680000004,48.09313583,94.1963125,235.7735648148148,2.52587533,411.75,0.8801011440000001,0.0,1.0,0.0,0.8801011440000001,0.155954748,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,9,58.0216401335779,2861.0051
36,201306,4.434473515,15.495935100000056,45.28488541,94.88792188,146.22908564814813,0.17649447899999998,134.5,0.8438906070000001,-4.44e-16,1.0,0.0,0.8438906070000001,0.071126729,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,12,7.203596752235737,1898.2070999999994
17,201106,4.032291412,12.977899200000026,50.09119034,94.96635156,177.84317129629628,0.377730787,203.5,0.8438906070000001,-4.44e-16,1.0,0.0,0.8438906070000001,0.088786326,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,12,12.932594159621384,-9999.0
7,201008,4.731525898,15.187677000000008,48.81424713,94.82661719,214.1111342592593,0.135451093,281.5,0.843854606,0.0,1.0,0.0,0.843854606,0.082287259,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,2,80.1209000851678,2449.0958
46,201407,3.6852052210000004,14.366540499999983,37.68706512,94.97688281,182.75666666666663,0.325380474,86.5,0.843910277,0.0,1.0,0.0,0.843910277,0.082325585,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,1,10.524979781704168,-9999.0
44,201405,3.565867186,20.728967300000022,40.38259888,94.79489844,188.1944675925926,0.00695336,280.5,0.848039627,4.44e-16,1.0,0.0,0.848039627,0.06372288599999999,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,11,13.571563291716313,2218.151800000001
26,201204,4.4927840230000005,21.868280000000027,43.70505142,94.75610156,228.82918981481478,1.192020655,267.75,0.875252664,0.0,1.0,0.0,0.875252664,0.115024298,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,10,34.99621271163469,-9999.0
19,201109,4.691719055,21.61940920000001,22.40840149,94.74897656,270.21625,0.004784302,76.0,0.843870819,0.0,1.0,0.0,0.843870819,0.06327548599999999,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,3,4.097300614431672,3199.9062
21,201111,4.19260025,26.496698000000038,40.57038879,94.28247656,288.723125,1.352825999,176.25,0.843876183,-4.44e-16,1.0,0.0,0.843876183,0.106856368,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,5,21.753503168494984,3728.8327
13,201102,3.999429464,26.420709199999976,65.18592834,93.9955,264.2187037037037,3.9120881560000003,736.75,0.8801339859999999,-4.44e-16,1.0,0.0,0.8801339859999999,0.186335474,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,8,117.95790377280493,1657.4082800000006
1,201002,4.933009148,29.43325200000004,41.90400696,94.05808594,275.21787037037035,3.090450048,346.0,0.8801339859999999,-4.44e-16,1.0,0.0,0.8801339859999999,0.114847817,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,8,79.44070740539496,2385.5325999999995
4,201005,4.030426979,17.31069339999999,54.45425034,94.68577344,179.3786921296296,0.795931756,226.0,0.848039627,4.44e-16,1.0,0.0,0.848039627,0.104796998,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,11,73.3936615516475,2220.3336000000004
12,201101,3.9843776230000003,28.89562380000001,48.83761597,93.75099219,303.5555324074074,4.134386538999999,411.0,0.8762084840000001,0.0,1.0,0.0,0.8762084840000001,0.152370289,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,7,70.14356361689951,3706.6738299999997
27,201205,4.870657444,16.69353639999997,35.80714417,94.95325,213.38254629629628,0.000968958,164.33333330000005,0.848039627,4.44e-16,1.0,0.0,0.848039627,0.066209912,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,11,9.166939800182952,2651.0145
45,201406,4.843644142,14.588067600000045,42.36986160000001,95.03309375,180.65634259259255,0.0007369119999999999,131.0,0.8438906070000001,-4.44e-16,1.0,0.0,0.8438906070000001,0.06378743099999999,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,12,2.406042211779328,2159.0156
22,201112,4.190140724,29.03960570000004,34.59013367,93.93971875,303.84483796296286,0.6969767809999999,157.75,0.848985195,0.0,1.0,0.0,0.848985195,0.075391367,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,6,14.785151809465935,4611.9107
29,201208,4.023475647,17.69088130000006,24.43444061,94.92626563,234.63393518518515,0.00062258,48.75,0.843854606,0.0,1.0,0.0,0.843854606,0.063318558,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,2,1.8355536474973797,3188.966100000001
9,201010,5.126764297,21.933435100000054,47.58693314,94.57655469,270.8674537037037,0.643755257,315.6666667,0.843888938,0.0,1.0,0.0,0.843888938,0.08159201599999999,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,4,56.667626556461116,2935.3647299999993
16,201105,4.469964504,15.630822800000033,46.30211639,94.92186719,202.83405092592602,0.02131583,309.75,0.848039627,4.44e-16,1.0,0.0,0.848039627,0.065386683,658.7349853999998,23,50,25,0,0,0,0,0,0,0,0,0,1,0,11,12.48119974928869,2435.4123
