,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,201012,4.261822223999999,22.16173710000004,47.18149567,100.3475469,312.8669212962963,1.989583254,554.0,1.349610329,0.0,0.996276677,0.003723315,1.3445852938209968,0.146682382,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,6,60.447540891071824,3632.0983
28,201205,3.41271615,13.443963600000075,58.88532639,101.6494844,124.65936342592592,0.37426871100000003,526.0,1.328110576,4.44e-16,0.996276677,0.003723315,1.323165591345836,0.102114677,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,11,19.911881965096253,-9999.0
51,201404,3.376690388,17.33635860000004,58.19661331,101.08821879999999,155.2525925925926,2.30785656,200.0,1.33338964,0.0,0.996276677,0.003723315,1.3284249996854265,0.193071172,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,1,0,10,10.445029099615336,1487.103201
18,201107,3.721237659,10.637933300000043,63.64364624,101.5297813,111.33052083333332,0.572966337,448.0,1.328159332,0.0,0.996276677,0.003723315,1.3232141658114998,0.142849997,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,1,19.999154593647187,-9999.0
45,201310,4.870934963,18.20302730000003,43.33423615,101.0115547,279.952337962963,0.138336092,412.3333333,1.342322707,0.0,0.996276677,0.003723315,1.3373248059916043,0.097259574,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,4,22.820588591685425,3532.4021
12,201101,3.728836536,25.532586700000024,47.91904068,100.2827109,319.76796296296294,3.3263170719999997,636.75,1.3711755280000002,0.0,0.996276677,0.003723315,1.3660701986195607,0.153910786,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,7,60.05425115485043,3463.1673000000005
5,201006,3.011731863,10.964990199999988,67.3946991,101.7438359,95.27842013888888,0.213258594,281.25,1.328121543,-4.44e-16,0.996276677,0.003723315,1.3231765175121526,0.175700948,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,12,43.27870996585068,718.1521
52,201405,3.1827621460000004,15.524499500000047,59.50479889,101.253625,117.58935185185184,0.9452946190000001,232.25,1.328110576,4.44e-16,0.996276677,0.003723315,1.323165591345836,0.179311097,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,1,0,11,16.451869021919812,-9999.0
59,201412,4.152339935,23.495050000000052,43.42657089,100.4078047,338.2502083333333,0.33910939100000004,111.0,1.349610329,0.0,0.996276677,0.003723315,1.3445852938209968,0.086703733,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,1,0,6,22.85745257150607,3987.2592
33,201210,4.275294781,18.64946900000001,41.39281082,101.1614766,281.7924537037036,0.264079034,389.5,1.342322707,0.0,0.996276677,0.003723315,1.3373248059916043,0.08654726300000001,38.40233612,26,54,19,0,0,0,0,0,0,0,0,0,0,1,4,20.563921916639046,3412.9652
