,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200712,1.8116983180000001,28.86696780000005,72.81954956,99.60186719,244.09428240740738,10.10953712,1963.0,0.925383985,1.741362929,0.224543363,0.775456667,1.5581403250179393,0.347677171,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,6,99.01693210398408,1577.3981000000006
51,201104,2.929239035,26.03890380000001,62.69097900000001,100.0376328,215.70909722222214,3.106163502,2073.666667,0.925046623,1.780852556,0.224543363,0.775456667,1.588687067154404,0.305608153,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,10,112.20961603675028,-9999.0
25,200902,2.0834493640000002,26.736169399999994,82.14659882,99.54363281,185.9661921296296,10.45442677,3289.0,0.934096038,1.978137851,0.224543363,0.775456667,1.7437052505404984,0.3963363170000001,82.83660889,21,52,27,1,0,0,0,0,0,0,0,0,0,0,8,142.6587983290014,461.6149599999998
5,200706,3.770067215,21.622491500000024,44.91506958,100.2837969,183.3699305555556,0.98209542,716.25,0.914640725,1.40342927,0.224543363,0.775456667,1.2936750884127013,0.190885976,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,12,22.75445090129807,2399.944300000001
45,201010,2.272908926,29.041009500000033,56.67394638,99.97792969,258.0140509259259,3.6495492460000003,1140.666667,0.9152480359999999,1.414152741,0.224543363,0.775456667,1.3021270431473593,0.258742243,82.83660889,21,52,27,1,0,0,0,0,0,0,0,0,0,0,4,86.34899857125653,1809.4577
71,201212,1.512832046,29.564233399999978,68.83869171,99.80085938,271.5899537037037,4.6258649830000005,2386.75,0.925383985,1.741362929,0.224543363,0.775456667,1.5581403250179393,0.357910424,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,6,140.71812982891208,903.8242000000004
20,200809,2.2810094359999997,29.59093630000001,42.42440796,100.15865629999999,275.42627314814814,0.008294221,952.5,0.9114975329999999,1.324991465,0.224543363,0.775456667,1.232144186678371,0.134857267,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,3,11.395188764195714,3265.607100000001
22,200811,1.983579397,30.778466800000054,62.73282242,99.77111719,269.66319444444446,3.279418945,1320.666667,0.921289921,1.575229764,0.224543363,0.775456667,1.428391959709981,0.222363219,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,5,57.88635275680039,2002.3426
23,200812,1.955212951,28.07735600000001,76.88145447,99.64779688,213.47141203703706,12.89911747,2262.75,0.925383985,1.741362929,0.224543363,0.775456667,1.5581403250179393,0.364046395,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,6,109.14110272857454,758.1477379999999
74,201303,2.083964109,28.093652300000034,75.09127045,99.75570313,214.97766203703705,6.296961784,2543.25,0.9315195079999999,1.944629908,0.224543363,0.775456667,1.7171427500326222,0.350034773,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,9,142.28304298421983,-9999.0
70,201211,1.747139215,29.79155880000002,64.94303131,99.93310938,267.40351851851847,5.001793861,1831.0,0.921289921,1.575229764,0.224543363,0.775456667,1.428391959709981,0.265178978,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,5,101.73423096698687,1224.43437
46,201011,1.9163085219999998,29.133966100000066,59.24978256,99.85144531,283.44032407407406,1.630740881,1524.5,0.921289921,1.575229764,0.224543363,0.775456667,1.428391959709981,0.261689305,82.83660889,21,52,27,1,0,0,0,0,0,0,0,0,0,0,5,129.04395304957134,-9999.0
50,201103,2.983822584,26.158319100000032,81.33065796,99.67251563,176.44471064814815,8.106788635,2724.25,0.9315195079999999,1.944629908,0.224543363,0.775456667,1.7171427500326222,0.405364662,82.83660889,21,52,27,0,0,0,0,0,0,0,0,0,1,0,9,93.6916005104179,-9999.0
