,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200901,2.251134396,26.86544190000001,80.30302429,98.37402344,215.2090046296296,11.56381035,2062.5,1.81104362,2.062501431,0.751483977,0.248516008,1.8735348842044843,0.330098093,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,7,119.64567155005864,2217.0948
51,201206,3.2196843619999997,19.790643300000056,42.59862518,99.28767969,218.32564814814808,0.01222455,623.75,1.739606142,1.900132656,0.751483977,0.248516008,1.779499524343344,0.07496942599999999,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,12,54.866963077468974,1270.5714
25,201004,2.935435295,27.628015100000034,61.03642654,98.88244531,216.64409722222214,1.3471062180000002,1636.666667,1.81199646,2.064315319,0.751483977,0.248516008,1.874701708401848,0.13446438300000002,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,10,102.71515976168007,1252.8036
5,200807,3.264362812,21.13857420000005,34.64876175,99.26875781,227.29814814814816,0.0008188910000000001,637.5,1.716912508,1.850334167,0.751483977,0.248516008,1.7500699003217302,0.07139343,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,1,33.8579160183711,2837.7397999999994
45,201112,2.551657915,28.838983200000033,66.46247864,98.34764063,253.63479166666664,6.3889784810000005,1969.0,1.749790788,1.924093962,0.751483977,0.248516008,1.7931078907373477,0.213469774,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,6,132.25623498932694,1361.98462
71,201402,2.839993715,26.110131800000033,77.13957977,98.39071875,199.9954398148148,10.15345764,2115.5,1.838619113,2.123532295,0.751483977,0.248516008,1.9094245720379308,0.302708715,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,8,131.80938677314555,971.04528
20,200911,2.771106482,31.938684100000053,38.71600723,98.64529688,290.9276851851852,0.17846836100000002,1432.5,1.7297432419999998,1.88460207,0.751483977,0.248516008,1.7682281137919698,0.06950745700000001,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,5,31.938028681165623,3328.0953
22,201001,2.7749938960000002,27.67431030000006,75.96447754,98.37465625,230.2354861111111,9.596891402999999,2217.25,1.81104362,2.062501431,0.751483977,0.248516008,1.8735348842044843,0.292071283,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,7,124.35974608754913,1369.8097999999998
23,201002,2.296448231,28.090234399999986,73.37611389,98.53791406,241.6280787037037,6.955629826,2065.75,1.838619113,2.123532295,0.751483977,0.248516008,1.9094245720379308,0.261378974,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,8,123.14104567369907,1036.6490299999996
74,201405,2.972581148,25.911309800000023,49.31927109,99.11996094,224.22391203703705,0.009946474,1118.75,1.768162251,1.963493109,0.751483977,0.248516008,1.8167050695469409,0.07542993099999999,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,11,76.43448218688489,1490.5925699999998
70,201401,3.030699015,28.006738299999995,70.47772217,98.32019531,234.01108796296296,5.863713263999999,1912.25,1.81104362,2.062501431,0.751483977,0.248516008,1.8735348842044843,0.237078786,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,7,150.0057045893193,995.6248800000001
46,201201,2.765961885,29.11187130000002,63.17581558,98.3889375,273.03428240740743,4.444993019,1962.5,1.81104362,2.062501431,0.751483977,0.248516008,1.8735348842044843,0.190419152,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,7,148.17046118794372,1351.6654
50,201205,3.448442698,23.103692600000052,47.27376938,99.13163281,221.22622685185183,0.253110021,950.0,1.768162251,1.963493109,0.751483977,0.248516008,1.8167050695469409,0.091031387,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,11,96.00427349552437,881.2910300000003
26,201005,2.921163082,25.995202600000034,56.93395233,98.96646094,190.1130208333333,0.951945245,1226.5,1.768162251,1.963493109,0.751483977,0.248516008,1.8167050695469409,0.116608538,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,11,68.19555868549834,887.52218
40,201107,3.326248407,21.351861600000067,44.83275604,99.29657031,217.61560185185184,0.009212,963.25,1.716912508,1.850334167,0.751483977,0.248516008,1.7500699003217302,0.074420668,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,1,62.525766424552145,1394.5790000000006
29,201008,3.477931023,24.666345200000023,33.86889267,99.13607813,246.43652777777768,0.030574871,740.75,1.71387589,1.843918681,0.751483977,0.248516008,1.74619357958036,0.075243033,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,2,42.657475060942495,2390.1942
6,200808,3.736048222,23.477716100000066,29.74783707,99.2915,253.4061111111111,0.0008849369999999998,683.5,1.71387589,1.843918681,0.751483977,0.248516008,1.74619357958036,0.069783442,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,2,36.28622625295528,3034.426100000001
68,201311,2.323971272,30.339898699999992,54.61963654,98.53671875,275.242199074074,5.0883092880000005,1176.5,1.7297432419999998,1.88460207,0.751483977,0.248516008,1.7682281137919698,0.16814065,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,5,179.26331266813492,1606.2947
39,201106,3.218238592,18.45690310000009,48.24737929999999,99.30096094,221.01233796296296,0.000656346,1073.25,1.739606142,1.900132656,0.751483977,0.248516008,1.779499524343344,0.074916005,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,12,55.86669142441078,1247.7103
12,200902,2.136327028,26.20324100000005,81.57827759,98.34870313,191.3562615740741,11.48406219,2053.0,1.838619113,2.123532295,0.751483977,0.248516008,1.9094245720379308,0.315563649,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,8,145.04705486228198,1263.548
61,201304,2.633549452,25.998529100000038,55.15187454,98.92659375,247.3193287037037,0.753231645,1687.6666670000006,1.81199646,2.064315319,0.751483977,0.248516008,1.874701708401848,0.169308051,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,10,120.67080818312998,-9999.0
56,201211,2.16074276,30.465417499999997,55.93974686,98.71314844,279.1163888888889,3.167053223,1156.666667,1.7297432419999998,1.88460207,0.751483977,0.248516008,1.7682281137919698,0.136394873,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,5,49.84376616643927,3065.1331000000014
78,201409,2.736141682,27.990685999999986,25.77899933,99.10901563,295.22317129629624,0.0009157260000000001,889.25,1.713833213,1.843883276,0.751483977,0.248516008,1.7461527097894105,0.068149187,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,3,25.40735311447627,2883.0601
28,201007,3.638483763,23.973870800000054,47.14470291,99.23879688,200.097662037037,0.36575502200000004,725.0,1.716912508,1.850334167,0.751483977,0.248516008,1.7500699003217302,0.091143906,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,1,51.4809678685786,1651.4321999999993
42,201109,2.959968328,26.459558100000038,35.64700317,99.11160938,283.08847222222215,0.000858505,1182.0,1.713833213,1.843883276,0.751483977,0.248516008,1.7461527097894105,0.07108969999999999,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,3,49.990125969095324,2259.521
32,201011,2.479729652,29.333795200000054,47.18767929,98.66032813,287.44083333333333,1.264175415,872.5,1.7297432419999998,1.88460207,0.751483977,0.248516008,1.7682281137919698,0.128590807,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,5,77.39735449828916,2623.64423
37,201104,3.212784767,24.435998499999986,65.5092392,98.90342969,227.77574074074073,2.2425558569999997,1802.0,1.81199646,2.064315319,0.751483977,0.248516008,1.874701708401848,0.199765161,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,10,100.87979047548477,1030.9836
55,201210,2.939880133,30.413140900000034,32.44478226,98.88496875,298.0968749999999,0.007727068,903.75,1.7161672119999998,1.850227714,0.751483977,0.248516008,1.7494833670450078,0.074112706,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,4,30.0229680954594,3443.723600000001
21,200912,2.089548349,29.680413800000053,59.61079407,98.62010156,253.66601851851848,5.754189014,1645.25,1.749790788,1.924093962,0.751483977,0.248516008,1.7931078907373477,0.20677481600000008,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,6,92.0673582965452,2515.7731
33,201012,2.123984337,28.03634030000001,70.30368042,98.31658594,227.8348148148148,10.05554962,1658.75,1.749790788,1.924093962,0.751483977,0.248516008,1.7931078907373477,0.241593853,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,6,99.79920638937843,1759.8883999999994
35,201102,2.8791892530000003,25.93569339999999,81.79444885,98.4099375,192.4968634259259,11.07668686,2022.25,1.838619113,2.123532295,0.751483977,0.248516008,1.9094245720379308,0.32789427,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,8,109.84726632723628,-9999.0
59,201302,1.970180035,28.786218300000034,67.45754242,98.54478125,267.2499305555555,6.962963104,1876.0,1.838619113,2.123532295,0.751483977,0.248516008,1.9094245720379308,0.236804739,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,8,130.0674699863485,1748.8746999999994
81,201412,1.8604125980000001,29.463800000000052,69.7090683,98.54474219,259.4212268518518,8.097498894,1798.25,1.749790788,1.924093962,0.751483977,0.248516008,1.7931078907373477,0.23176442100000005,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,6,97.30759267778448,2563.53
17,200908,2.853317976,24.7213074,37.97374725,99.12619531,257.36331018518507,0.00076217,973.25,1.71387589,1.843918681,0.751483977,0.248516008,1.74619357958036,0.070195623,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,2,44.69369893127677,2418.565
77,201408,3.6808137889999997,22.18807370000001,26.95921707,99.40203125,261.201712962963,0.0006075830000000001,738.75,1.71387589,1.843918681,0.751483977,0.248516008,1.74619357958036,0.070271283,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,2,31.738336406850447,2312.5443
63,201306,3.461976767,23.203851300000053,41.58760452,99.12358594,202.15893518518521,0.024358874,825.0,1.739606142,1.900132656,0.751483977,0.248516008,1.779499524343344,0.075225279,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,12,52.70104254247606,1603.277
0,200801,2.879559755,29.06527100000001,70.29691315,98.22353125,262.9918981481481,2.83810091,1758.0,1.81104362,2.062501431,0.751483977,0.248516008,1.8735348842044843,0.214552954,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,7,40.782149593955495,3391.4849999999988
18,200909,2.922530413,28.866662600000037,34.68069458,98.94755469,278.6441435185185,0.002376974,1082.25,1.713833213,1.843883276,0.751483977,0.248516008,1.7461527097894105,0.068256602,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,3,41.619729904214395,2878.998700000001
38,201105,3.3611526489999997,21.331811500000068,48.30241394,99.20145313,239.2488888888889,0.000858403,1357.75,1.768162251,1.963493109,0.751483977,0.248516008,1.8167050695469409,0.078889824,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,11,70.60507769346833,1293.3927
43,201110,2.605387211,30.343225100000037,45.69088745,98.81046094,285.55252314814817,0.461183578,1422.0,1.7161672119999998,1.850227714,0.751483977,0.248516008,1.7494833670450078,0.084385537,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,4,44.70469849966358,3119.7548
54,201209,2.8469858169999998,27.610742200000004,31.41808701,99.05292188,291.4136805555555,0.057925347,695.5,1.713833213,1.843883276,0.751483977,0.248516008,1.7461527097894105,0.071196482,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,3,33.529220131243854,2755.1005000000005
72,201403,2.33562541,27.38289789999999,63.42390823,98.80259375,266.1547453703704,2.810819864,1960.75,1.838102579,2.122327566,0.751483977,0.248516008,1.908737010571553,0.195994064,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,9,152.07353530996934,1063.9893000000004
57,201212,1.93586719,30.069207800000072,59.867732999999994,98.59009375,274.8674074074074,3.2666895389999997,1156.0,1.749790788,1.924093962,0.751483977,0.248516008,1.7931078907373477,0.196246967,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,6,69.80978522562472,2853.316900000001
30,201009,3.419819117,29.28414310000005,42.89980316,98.95354688,259.1425,0.514810145,938.5,1.713833213,1.843883276,0.751483977,0.248516008,1.7461527097894105,0.091913596,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,3,30.66346925158764,3121.7869000000005
41,201108,3.2393050189999997,22.53698120000001,37.98574066,99.26785156,255.85701388888884,0.000838695,993.0,1.71387589,1.843918681,0.751483977,0.248516008,1.74619357958036,0.072911337,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,2,59.16002365109378,1928.5521
65,201308,2.9356431960000005,24.34487300000001,31.68504906,99.19145313,259.6713194444444,0.0007615930000000001,741.5,1.71387589,1.843918681,0.751483977,0.248516008,1.74619357958036,0.072199926,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,2,55.95850199179905,1794.5540000000005
79,201410,3.025415897,30.97100219999999,27.70277214,98.93301563,317.2939814814815,0.034971811,1065.333333,1.7161672119999998,1.850227714,0.751483977,0.248516008,1.7494833670450078,0.070172273,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,4,23.776572554280968,3605.9006
76,201407,3.0343647000000002,21.829370100000066,39.90444183,99.31502344,223.9466898148148,0.000763035,746.0,1.716912508,1.850334167,0.751483977,0.248516008,1.7500699003217302,0.07180827099999999,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,1,34.42334685979156,1948.5210000000006
73,201404,2.7639026639999997,28.48009639999998,55.55031204,98.81110156,231.31659722222213,0.36802318700000003,1615.333333,1.81199646,2.064315319,0.751483977,0.248516008,1.874701708401848,0.08542861,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,10,102.72140996389365,1228.9500000000005
69,201312,1.975307584,29.21428830000001,62.48677826,98.61180469,266.25064814814806,3.282784224,1560.5,1.749790788,1.924093962,0.751483977,0.248516008,1.7931078907373477,0.197020888,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,6,192.11915775042544,1725.476
47,201202,2.409683228,28.770104999999997,59.29161835,98.50767969,282.88407407407414,3.307221174,1728.25,1.838757515,2.123805285,0.751483977,0.248516008,1.90959642130834,0.172684759,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,8,95.23765020617287,2273.5552
49,201204,2.894563675,25.577569600000054,58.34133911,99.02132031,242.6459953703704,0.6590155360000001,1419.0,1.81199646,2.064315319,0.751483977,0.248516008,1.874701708401848,0.137478963,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,10,113.32798034504792,-9999.0
7,200809,2.808220148,28.51244510000004,33.66341019,98.98453906,280.40659722222216,0.012025787,935.0,1.713833213,1.843883276,0.751483977,0.248516008,1.7461527097894105,0.068409204,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,3,36.62422219004874,3013.4371
3,200804,2.785455704,25.341607700000054,45.41637039,98.9046875,267.8435648148148,0.012811936999999999,1349.5,1.81199646,2.064315319,0.751483977,0.248516008,1.874701708401848,0.08703333099999999,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,10,37.16045014085486,3104.112100000001
64,201307,3.455225468,22.97255860000001,40.59545898,99.21814844,218.3184259259259,0.0005403830000000001,717.75,1.716912508,1.850334167,0.751483977,0.248516008,1.7500699003217302,0.073909447,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,1,53.460919320603544,1712.6853999999994
62,201305,3.126271009,25.981713900000052,54.95674896,99.05202344,210.24550925925925,0.102303751,1331.25,1.768162251,1.963493109,0.751483977,0.248516008,1.8167050695469409,0.078824475,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,11,80.20313276522147,1414.1666999999998
36,201103,3.379830837,25.64476930000001,80.66823578,98.47703125,183.17702546296292,7.6555085179999995,2186.75,1.838102579,2.122327566,0.751483977,0.248516008,1.908737010571553,0.319443166,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,9,102.03140574077489,792.94924
19,200910,3.0958573819999997,30.13286740000001,28.68148041,98.95641406,306.3820138888889,0.009399898,1169.666667,1.7161672119999998,1.850227714,0.751483977,0.248516008,1.7494833670450078,0.066939898,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,4,36.202010596913844,3363.4894
75,201406,3.7625074389999997,22.222650100000067,40.03003693,99.26009375,215.44740740740738,0.0007369119999999999,816.5,1.739606142,1.900132656,0.751483977,0.248516008,1.779499524343344,0.073089041,175.1019897,12,75,13,1,0,0,0,0,0,0,0,0,0,0,12,42.68252616851685,1613.7273000000002
