,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
0,201101,2.6955912110000004,25.907495100000066,67.42308044,98.32805469,275.49113425925924,2.542561054,471.0,1.570405483,2.473869085,0.724032164,0.275967836,1.8197323781487047,0.317898512,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,7,46.038101707901404,777.2955000000003
19,201208,2.468617916,16.673242200000004,48.83928299,99.4385,211.8075,0.11752440800000001,1934.0,1.558727741,2.474380732,0.724032164,0.275967836,1.8114185154531968,0.196166575,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,2,60.40045070573845,-9999.0
32,201309,2.8946659560000003,24.18847050000005,38.30209732,99.125375,264.69629629629645,0.16842423399999998,390.75,1.523714304,2.472819328,0.724032164,0.275967836,1.7856367636100083,0.179125488,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,3,21.851526201055716,2861.959000000001
35,201312,3.3031497000000005,28.607019000000037,44.01464844,98.71803906,337.20546296296294,0.34799403,229.0,1.5474556680000002,2.472499371,0.724032164,0.275967836,1.8027379769223368,0.186003923,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,6,47.400184960188106,4216.846599999999
7,201108,2.8575844760000004,17.159875500000002,54.45560074,99.43832813,198.9280092592593,0.48215743899999997,1019.75,1.558727741,2.474380732,0.724032164,0.275967836,1.8114185154531968,0.192249373,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,2,33.223694623289624,1728.6448000000007
12,201201,2.762851477,27.225549300000072,62.86917114,98.47752344,264.41398148148147,4.038961887,425.25,1.570405483,2.473869085,0.724032164,0.275967836,1.8197323781487047,0.299616963,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,7,62.95712011217528,2670.1554
29,201306,2.4312868119999997,15.965356400000019,57.45510483,99.34291406,152.38666666666666,0.073642239,584.75,1.476089954,2.469487429,0.724032164,0.275967836,1.7502357054636142,0.196138397,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,12,22.148523999254174,1630.25905
33,201310,3.35326767,25.982110600000052,41.80231857,99.0465625,301.5225,0.21483600100000005,110.66666670000001,1.500238419,2.472539663,0.724032164,0.275967836,1.768562289246788,0.17836101399999998,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,4,15.27915327566806,3852.865600000001
5,201106,2.7333610060000004,14.414788800000052,62.26000977,99.41435938,147.84070601851852,0.501723766,474.25,1.476089954,2.469487429,0.724032164,0.275967836,1.7502357054636142,0.227048114,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,12,31.03920965379104,1122.8297
1,201102,3.155140877,26.775994899999997,64.12859344,98.77955469,264.9717592592593,1.305734158,479.75,1.650389314,2.480881929,0.724032164,0.275967836,1.879578563775532,0.239826143,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,8,44.217965834227016,761.9298
18,201207,3.098463058,14.09874880000001,63.47889709,99.55157031,149.59056712962962,1.3456543680000002,1052.25,1.5219718219999998,2.472366571,0.724032164,0.275967836,1.7842502042272932,0.35525897100000003,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,1,45.79018688458653,-9999.0
22,201211,3.12336731,26.044000200000035,52.53744125,98.92159375,302.71400462962964,0.832564414,175.33333330000005,1.5050293209999999,2.472516537,0.724032164,0.275967836,1.7720246743571846,0.216762602,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,5,55.828048989661646,3624.4333
6,201107,2.39460659,14.047967500000027,55.36405563,99.55678906,177.195,0.424522161,826.0,1.5219718219999998,2.472366571,0.724032164,0.275967836,1.7842502042272932,0.219539225,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,1,30.218924192767826,1481.1561799999995
13,201202,2.5813870430000003,26.325677500000037,65.95558929,98.53155469,246.05335648148144,3.426676273,454.5,1.65029335,2.480849504,0.724032164,0.275967836,1.8795001344958628,0.34670710600000004,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,8,87.60726213406006,2143.3636
9,201110,3.2034666539999996,23.64718019999998,50.93881226,99.02446094,262.3893518518518,0.914739192,236.0,1.500238419,2.472539663,0.724032164,0.275967836,1.768562289246788,0.205186844,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,4,39.32258973192478,2686.7017999999994
26,201303,3.078931808,24.10875850000001,66.36628723,98.82033594,210.37270833333332,1.8267614840000002,455.25,1.611331224,2.47654748,0.724032164,0.275967836,1.8501030818403417,0.322098404,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,9,43.39155421953426,2777.571200000001
28,201305,2.675939322,18.353418000000037,63.93216705,99.44688281,155.41064814814808,1.070318222,262.5,1.499277472,2.471940041,0.724032164,0.275967836,1.7677010563251303,0.254501015,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,11,34.49212446068232,-9999.0
11,201112,2.9279375080000003,26.061578400000034,60.38933563,98.46224219,264.41178240740743,3.327401638,343.25,1.5474556680000002,2.472499371,0.724032164,0.275967836,1.8027379769223368,0.276805937,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,6,89.94097706627574,2716.1685999999995
4,201105,2.57296443,16.324273699999992,60.5162735,99.30067188,178.78052083333333,0.6266149879999999,352.5,1.499277472,2.471940041,0.724032164,0.275967836,1.7677010563251303,0.250485003,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,11,53.89535129751997,921.3645
31,201308,2.387346029,18.574273699999992,42.40567398,99.32275781,226.5040046296296,0.003947893,1448.5,1.558727741,2.474380732,0.724032164,0.275967836,1.8114185154531968,0.178591236,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,2,33.37170879585433,2107.1629
30,201307,2.8264219760000002,17.195062300000018,60.62890625,99.64046094,154.64805555555554,0.41097968799999995,1463.5,1.5219718219999998,2.472366571,0.724032164,0.275967836,1.7842502042272932,0.202321425,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,1,37.75671055473978,1484.1507
17,201206,2.936969995,14.633142100000045,66.37602997,99.28417188,136.79263888888894,1.595194578,349.25,1.476089954,2.469487429,0.724032164,0.275967836,1.7502357054636142,0.338604569,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,12,30.78444542380979,-9999.0
34,201311,2.8190312389999996,25.968713399999967,54.20548248,98.69233594,278.81685185185194,2.700922251,209.5,1.5050293209999999,2.472516537,0.724032164,0.275967836,1.7720246743571846,0.271748483,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,5,102.80043326544515,2209.2768
14,201203,3.100515842,24.38195189999999,63.06781006,98.67021094,213.9473148148148,4.804260254,497.5,1.61109221,2.47647953,0.724032164,0.275967836,1.84991127600224,0.315012902,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,9,54.85110901231677,2324.907647
25,201302,2.928925276,25.423883100000072,61.65344238,98.66524219,243.83270833333333,2.966083288,366.25,1.650389314,2.480881929,0.724032164,0.275967836,1.879578563775532,0.283992708,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,8,47.8205061810659,2583.90524
27,201304,2.715870142,22.233819600000054,60.69614029,99.13067969,202.66851851851848,1.1020152570000001,314.0,1.5529541969999998,2.47289753,0.724032164,0.275967836,1.8068289678506373,0.251589477,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,10,40.476832864698636,-9999.0
21,201210,2.7807488439999997,23.095819100000032,45.78795242,99.1896875,288.1622685185185,1.1088361740000001,169.5,1.500238419,2.472539663,0.724032164,0.275967836,1.768562289246788,0.221693963,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,4,45.648434481769726,-9999.0
2,201103,3.043560982,23.83553470000004,73.34783173,98.79340625,179.56152777777774,5.496192455,599.0,1.611331224,2.47654748,0.724032164,0.275967836,1.8501030818403417,0.388698459,177.4661102,23,59,17,1,0,0,0,0,0,0,0,0,0,0,9,52.16886428666629,883.4687999999999
