,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201107,3.50707674,7.972161900000002,76.30032349,100.282625,89.21036458333332,1.82390058,790.25,1.9505351780000002,0.081460558,0.875940382,0.124059632,1.7186584957697526,0.353884995,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,1,35.60332717905066,-9999.0
17,201208,3.54371953,8.316491700000029,72.9524765,99.94111719,123.79712962962965,1.8710517880000002,1566.0,2.382293224,0.082984641,0.875940382,0.124059632,2.097041880690684,0.350682914,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,2,44.49317469995771,-9999.0
19,201210,3.285117865,13.981866500000026,56.864643099999995,99.96575,253.4796990740741,1.0503398179999999,2782.75,2.2370500559999997,0.082759567,0.875940382,0.124059632,1.969789602032261,0.231287315,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,4,66.58676395559083,-9999.0
29,201309,3.193435907,12.742730700000038,67.85735321,99.63530469,176.80709490740742,2.309418917,4218.75,2.633702755,0.083731793,0.875940382,0.124059632,2.3173543327154325,0.345672637,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,3,80.21887908340852,-9999.0
38,201406,3.383634567,9.705743400000015,81.8920517,100.1544375,75.21076967592592,2.535750866,1645.25,1.585089803,0.080155559,0.875940382,0.124059632,1.3983882366964189,0.372853965,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,12,38.39468316570869,-9999.0
44,201412,3.4681856630000003,21.578302000000008,46.16244125,99.2055625,327.2114583333333,0.8074520829999999,420.5,1.156863213,0.07914803200000001,0.875940382,0.124059632,1.0231622804404117,0.179125339,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,6,30.06275839547075,3871.6989
5,201106,3.08594799,8.660638399999982,74.06781006,100.3839531,91.21844907407407,0.827842176,472.5,1.585089803,0.080155559,0.875940382,0.124059632,1.3983882366964189,0.325917721,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,12,29.007998823515138,-9999.0
25,201305,2.8527598380000003,11.123742699999983,69.43468475,100.3543359,109.86601851851853,2.322148323,465.5,1.304565072,0.07938537700000001,0.875940382,0.124059632,1.1525697481683388,0.2657336,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,11,20.95426450923128,-9999.0
27,201307,3.093122244,8.989801,78.82331848,100.3866797,80.63230902777778,3.423355341,1084.0,1.9505351780000002,0.081460558,0.875940382,0.124059632,1.7186584957697526,0.352459818,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,1,30.37953038251645,-9999.0
40,201408,2.521439791,8.806756600000027,68.63607025,100.8497734,142.51393518518518,0.409133375,2563.25,2.382293224,0.082984641,0.875940382,0.124059632,2.097041880690684,0.315871298,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,2,59.1401341024827,-9999.0
0,201101,3.444040298,22.420312500000023,58.13772964,99.26915625,303.99284722222217,3.8697974680000002,1232.25,1.042849302,0.07874470900000001,0.875940382,0.124059632,0.9232428555828004,0.255108774,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,7,97.09669057790795,-9999.0
32,201312,3.569014549,20.90584720000004,47.70871353,99.44698438,315.6327083333333,1.9086253640000002,540.25,1.156863213,0.07914803200000001,0.875940382,0.124059632,1.0231622804404117,0.213893518,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,6,30.58562072101861,-9999.0
31,201311,3.5706930160000003,16.96492920000003,54.01313782,99.62694531,292.061875,0.8845536709999999,1503.75,1.584804654,0.080393992,0.875940382,0.124059632,1.3981680430826686,0.195157319,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,5,35.4991399594776,-9999.0
33,201401,3.769186735,24.54067380000004,40.66485214,99.519625,328.7435185185185,0.699205875,404.0,1.042849302,0.07874470900000001,0.875940382,0.124059632,0.9232428555828004,0.169035032,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,7,22.21957951653832,4034.3395
20,201211,3.502225399,19.446191400000032,50.66360855,99.68767969,302.8731481481482,0.48309004299999997,1087.666667,1.584804654,0.080393992,0.875940382,0.124059632,1.3981680430826686,0.16086213300000002,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,5,28.70888446209969,-9999.0
7,201110,3.1710708139999997,14.553979500000025,62.556427,99.98567969,236.73178240740745,0.606536686,2450.666667,2.2370500559999997,0.082759567,0.875940382,0.124059632,1.969789602032261,0.268172234,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,4,78.76267651159048,-9999.0
42,201410,3.2959630489999996,16.10067140000001,56.16888809,99.85632813,259.6933333333333,0.69953841,2894.0,2.2370500559999997,0.082759567,0.875940382,0.124059632,1.969789602032261,0.214482769,150.8579102,18,68,13,0,0,0,0,0,0,0,0,1,0,0,4,77.24771649449497,-9999.0
