,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
25,201005,3.363994837,24.154382300000066,53.42232513,98.64392188,183.76178240740745,1.1245265009999998,373.5,1.1706852909999999,4.44e-16,1.0,0.0,1.1706852909999999,0.214021862,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,11,30.561900165756374,1770.3374799999995
46,201202,2.893594265,29.83937989999999,49.15410995,98.0586875,297.69835648148137,3.90208292,1385.25,1.3068434,0.0,1.0,0.0,1.3068434,0.213284597,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,8,104.94846425386335,1624.6533999999995
69,201401,3.355252981,29.16869510000004,64.19345856,97.9130625,253.90261574074074,8.897660255,1243.5,1.096520543,0.0,1.0,0.0,1.096520543,0.310817897,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,7,85.90075148995979,1700.6543
5,200806,3.943351507,21.487786900000003,36.81953812,98.95621875,203.4804629629629,0.005117176,228.5,1.076503515,-4.44e-16,1.0,0.0,1.076503515,0.15692357699999998,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,12,2.9442724563637537,1915.6056
42,201110,2.942713022,29.5865417,44.07378387,98.41098438,286.699837962963,0.854175389,392.3333333,0.926048338,0.0,1.0,0.0,0.926048338,0.178984001,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,4,28.40074025253119,2598.0853
11,200901,2.328366756,27.216149900000005,75.71582031,97.91530469,228.35347222222225,7.43281889,1134.5,1.096520543,0.0,1.0,0.0,1.096520543,0.38883698,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,7,128.45169708946568,791.0421
64,201308,3.253949881,24.03893430000005,24.47382736,98.82447656,252.6457638888889,0.0007615930000000001,87.0,0.992883801,0.0,1.0,0.0,0.992883801,0.15661937,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,2,9.158637697206867,2459.5260000000007
23,201003,3.159499168,27.82570800000002,56.58992386,98.40346875,246.270162037037,0.242811799,1949.75,1.350084066,0.0,1.0,0.0,1.350084066,0.219640315,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,9,114.0842149704108,1078.8903999999998
20,200912,2.8743999,30.895593300000034,46.47450256,98.19855469,287.8415277777778,4.019518852,507.5,0.938243985,0.0,1.0,0.0,0.938243985,0.247041136,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,6,33.49011334063327,2831.119
62,201306,3.9121341710000004,22.375817899999962,32.649086,98.81126563,197.369699074074,0.0029313240000000003,157.25,1.076503515,-4.44e-16,1.0,0.0,1.076503515,0.156940907,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,12,10.371432125417321,1808.1253
68,201312,2.8879342080000003,31.5152832,46.3275032,98.17589844,279.4749537037036,1.739365697,697.25,0.938243985,0.0,1.0,0.0,0.938243985,0.202633515,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,6,81.44032454969522,1697.4042
59,201303,3.20972085,29.66112670000001,54.22628403,98.129125,244.76638888888888,4.577764988,1342.25,1.350084066,0.0,1.0,0.0,1.350084066,0.230165467,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,9,99.51420553496357,-9999.0
28,201008,3.824370146,22.705865500000016,33.12528992,98.8175,242.0229629629629,0.028826933,117.75,0.992883801,0.0,1.0,0.0,0.992883801,0.157774404,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,2,10.030529898709592,2597.8818
26,201006,4.055698872,20.075891100000035,38.35902023,99.01185938,203.26618055555562,0.0009659919999999999,163.5,1.076503515,-4.44e-16,1.0,0.0,1.076503515,0.168715283,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,12,14.419536030844238,1996.7182
43,201111,2.6883316039999996,28.47902830000004,58.69779205,98.29382813,270.8080787037037,3.1184642310000004,706.0,0.915386081,-4.44e-16,1.0,0.0,0.915386081,0.246089607,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,5,77.93255342599565,1804.8382
6,200807,3.704427719,20.11092530000002,26.82641792,98.94949219,218.5047685185185,0.0008188910000000001,139.5,1.002425551,0.0,1.0,0.0,1.002425551,0.156758174,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,1,3.0184482332193,1965.7533000000005
49,201205,3.952286482,21.9315125,41.16801071,98.8254375,223.2985648148148,0.005880796999999999,1164.666667,1.1706852909999999,4.44e-16,1.0,0.0,1.1706852909999999,0.16099757,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,11,54.71840355322932,1434.9265200000002
63,201307,3.8635602,22.14193119999999,32.01149368,98.89946094,210.28884259259254,0.0005403830000000001,134.5,1.002425551,0.0,1.0,0.0,1.002425551,0.15677054199999998,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,1,7.5627271065471104,2044.4479
12,200902,2.4328734869999997,26.66463620000001,71.11598206,97.93461719,242.50224537037042,6.736068249,1613.75,1.305626988,-4.44e-16,1.0,0.0,1.305626988,0.349208266,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,8,134.01390737749134,673.9543100000002
74,201406,4.03349781,20.392938200000003,38.9695816,98.96696875,206.1334490740741,0.0007369119999999999,305.75,1.076503515,-4.44e-16,1.0,0.0,1.076503515,0.157000929,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,12,17.556510052024688,2040.885
38,201106,3.575056553,17.11226810000005,47.78246307,98.97922656,207.6129629629629,0.04651675,1149.5,1.076503515,-4.44e-16,1.0,0.0,1.076503515,0.161239594,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,12,32.842019349165824,1657.0146999999995
45,201201,3.349945545,30.977349899999986,49.65266418,97.93770313,291.8527314814815,1.51395762,710.75,1.096520543,0.0,1.0,0.0,1.096520543,0.194661543,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,7,42.223286743971435,2580.7591999999995
37,201105,3.643831015,19.69133910000005,45.51828384,98.88963281,230.3023611111111,0.000858403,1301.75,1.1706852909999999,4.44e-16,1.0,0.0,1.1706852909999999,0.162130266,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,11,68.59996830985013,1459.0703
39,201107,3.5837414260000005,19.766290300000037,41.37752151,98.98586719,209.70821759259255,0.020887386,675.0,1.002425551,0.0,1.0,0.0,1.002425551,0.158159912,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,1,29.20132575209889,1810.7113
57,201301,2.906538725,31.62359010000005,49.52190781,97.87564844,306.0534722222222,3.159276962,680.25,1.096520543,0.0,1.0,0.0,1.096520543,0.227290004,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,7,50.902091857965075,2578.2482000000005
35,201103,3.5337536330000003,25.525720200000023,77.56737518,98.05975,183.5893981481481,8.022506714,1747.5,1.350084066,0.0,1.0,0.0,1.350084066,0.398785293,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,9,104.67899230565466,757.01815
51,201207,4.0778527260000015,19.15154419999999,37.49103165,98.96622656,213.0335648148148,0.005748726,355.0,1.002425551,0.0,1.0,0.0,1.002425551,0.157177657,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,1,15.197087458581224,1949.7794
21,201001,3.0535385610000003,28.88311160000007,62.23941039999999,97.92264844,263.64386574074075,4.783784866,1035.0,1.096520543,0.0,1.0,0.0,1.096520543,0.300890654,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,7,79.788858650376,1735.3922
32,201012,2.843387842,29.087579300000016,60.65384674,97.88657813,262.37317129629645,3.258151054,672.0,0.938243985,0.0,1.0,0.0,0.938243985,0.27496627,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,6,54.43909608512787,2003.4032
33,201101,2.544660091,27.61409910000009,73.29790497,97.81990625,239.85291666666663,9.655003548,1484.0,1.096520543,0.0,1.0,0.0,1.096520543,0.356364638,227.0665436,20,55,23,1,0,0,0,0,0,0,0,0,0,0,7,132.12230608599302,936.55062
