,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,201208,3.259869814,17.18953860000005,27.23983383,95.48800781,234.5232638888889,0.00062258,66.0,1.226531982,0.0,1.0,0.0,1.226531982,0.109144263,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,2,2.5041887618556564,2518.3112
19,201404,3.350342274,24.138482700000054,40.35113144,95.07019531,242.6493055555556,0.039152991,265.6666667,1.287494659,0.0,1.0,0.0,1.287494659,0.109786019,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,10,15.848774340645509,2525.033600000001
11,201302,3.562799692,30.547875999999967,28.36891747,94.60420313,286.5424074074074,0.324460089,142.75,1.296874046,-4.44e-16,1.0,0.0,1.296874046,0.115860045,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,8,8.797232760792806,3168.968400000001
20,201405,2.781670809,20.371759,43.60295868,95.34563281,188.1028935185185,0.002463689,235.75,1.23449111,4.44e-16,1.0,0.0,1.23449111,0.109346762,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,11,7.671669420533512,2163.5167
17,201402,4.033177853,25.99114380000003,50.02890015,94.48615625,267.480462962963,3.0743553639999996,421.75,1.296874046,-4.44e-16,1.0,0.0,1.296874046,0.214350611,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,8,100.08288971399529,1474.1760800000006
12,201303,3.8401648999999995,30.292779499999995,28.34272766,94.71528906,280.55567129629645,0.02254137,112.75,1.296863914,0.0,1.0,0.0,1.296863914,0.10836748,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,9,5.171623618816837,3467.339100000001
9,201212,3.488584995,30.274926800000053,36.46223831,94.6974375,308.7649305555556,1.273322105,159.75,1.236610055,0.0,1.0,0.0,1.236610055,0.14503099,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,6,46.07770053422512,2924.9389
21,201409,3.487223387,22.90020140000001,20.31007195,95.27417969,280.8830324074074,0.0009157260000000001,35.25,1.226547003,0.0,1.0,0.0,1.226547003,0.108855672,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,3,2.057603348096952,2994.0527
4,201205,3.869332075,16.595330800000056,37.52107239,95.5079375,212.62423611111112,0.002606238,193.0,1.23449111,4.44e-16,1.0,0.0,1.23449111,0.110716984,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,11,2.8790715508545692,2465.561
22,201412,2.987488508,28.48134770000001,47.91271973,94.56795313,294.79620370370367,3.1638011930000003,207.5,1.236610055,0.0,1.0,0.0,1.236610055,0.191069335,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,6,69.11953595243511,2633.5117999999993
0,201201,3.3087322710000002,30.684014900000022,33.1283989,94.45424219,324.46752314814813,0.394200593,158.75,1.289198995,0.0,1.0,0.0,1.289198995,0.116438933,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,7,2.6717018175833727,2299.238
1,201202,3.303428888,28.76015630000001,33.32355118,94.5805625,314.3408796296296,1.171510577,189.25,1.296901822,0.0,1.0,0.0,1.296901822,0.123990335,559.0366821,16,63,19,0,0,0,0,0,0,0,0,0,1,0,8,2.5400733160939373,2156.7403000000004
