,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
102,200907,2.166923523,3.622308300000043,84.89801788,90.98269531,95.27159722222223,3.550502062,987.75,4.44e-16,3.276610374,0.209299132,0.7907008529999999,2.5908186176704486,0.391155064,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,1,39.21438586844935,-9999.0
75,200704,1.75702405,12.006341600000045,64.21017456,91.40341406,175.3803009259259,1.979552507,1355.0,0.0,3.197846413,0.209299132,0.7907008529999999,2.5285398865220903,0.27751404,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,10,48.20067091084898,-9999.0
120,201101,2.345856667,19.514977999999985,62.62361908,90.74608594,300.6971296296296,1.713038325,3195.5,4.44e-16,3.430132627,0.209299132,0.7907008529999999,2.7122087940720303,0.322589517,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,7,163.70522502385472,-9999.0
160,201405,1.8296895030000002,8.246209700000009,81.98065948,91.358125,105.33533564814816,3.000067472,903.75,-4.44e-16,3.143069029,0.209299132,0.7907008529999999,2.4852273622681813,0.3698892,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,11,42.669939797339566,-9999.0
46,200411,2.5194132330000003,13.011712600000068,65.55705261,90.91419531,281.40375,5.037017822,2027.0,0.0,3.84756422,0.209299132,0.7907008529999999,3.0422723107262795,0.370115429,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,5,82.65709836302061,-9999.0
126,201107,2.3551630969999997,3.121362300000044,86.19828033,91.22966406,87.2206886574074,4.070578575,763.25,4.44e-16,3.276610374,0.209299132,0.7907008529999999,2.5908186176704486,0.39355585,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,1,25.657977278336386,-9999.0
7,200108,2.5986487869999997,3.6649718999999554,81.48368073,90.76813281,123.2272222222222,4.817498207,935.5,0.0,3.366631508,0.209299132,0.7907008529999999,2.6619984051122763,0.39890933,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,2,36.74633092019758,-9999.0
26,200303,2.109161854,13.9049622,62.75617599,91.11697656,221.2053009259259,1.1299939159999999,1636.75,4.44e-16,3.295046568,0.209299132,0.7907008529999999,2.6053961319923222,0.313120037,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,9,48.84304860993187,-9999.0
73,200702,2.138114452,19.85228880000005,56.06583023,91.14372656,269.97138888888884,1.890591621,2013.25,4.44e-16,3.336442232,0.209299132,0.7907008529999999,2.6381277188276235,0.21719473600000005,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,8,82.9587170928746,1276.6640100000004
11,200112,2.466081619,14.468011500000046,51.79478836,90.33322656,315.4535185185185,1.3706349130000002,2431.25,-4.44e-16,3.650158405,0.209299132,0.7907008529999999,2.8861833644186192,0.296871662,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,6,105.47187231193577,-9999.0
69,200610,2.4343485830000002,12.259942600000045,45.7600708,91.42194531,292.7381712962963,0.815294325,2096.0,0.0,3.88156867,0.209299132,0.7907008529999999,3.069159658347075,0.258806437,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,4,78.7564463449677,2225.6874000000007
1,200102,2.016943216,19.652825899999982,60.56979370000001,91.04873438,271.6735648148148,2.521434784,2403.5,4.44e-16,3.336442232,0.209299132,0.7907008529999999,2.6381277188276235,0.278264493,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,8,60.50605774172134,984.61387
139,201208,2.3156106469999997,3.542138700000009,81.3026886,90.95142969,125.28635416666664,3.89451623,849.0,0.0,3.366631508,0.209299132,0.7907008529999999,2.6619984051122763,0.390809506,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,2,22.62599882952404,-9999.0
123,201104,1.728324652,10.003991700000027,76.52404022,91.49005469,166.75350694444444,1.803229451,1330.666667,0.0,3.197846413,0.209299132,0.7907008529999999,2.5285398865220903,0.357956529,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,10,45.710296472335045,-9999.0
15,200204,1.76230371,12.816430700000012,72.64086914,91.46640625,174.71831018518517,1.264072418,1432.333333,0.0,3.197846413,0.209299132,0.7907008529999999,2.5285398865220903,0.31582871100000004,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,10,43.45110883551669,-9999.0
133,201202,1.938655019,16.106591800000047,73.30010986,90.87473438,234.13655092592592,7.118921757000001,2279.5,4.44e-16,3.335987091,0.209299132,0.7907008529999999,2.6377678384506886,0.377263635,1084.771851,19,59,20,0,0,0,0,0,0,1,0,0,0,0,8,103.60156586845731,-9999.0
