,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,201301,3.9651300910000002,27.344476300000053,32.66596603,99.37109375,345.70881944444443,0.08623204400000001,116.0,0.9343311790000001,0.0,0.98983717,0.005890161999999999,0.9248357300641236,0.123188958,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,7,20.109696208789607,4451.2774
22,201410,3.8270654680000002,19.148767100000047,44.81995392,100.04615629999999,281.2404861111111,0.883193552,475.33333330000005,1.4504027369999999,0.0,0.98983717,0.005890161999999999,1.4356625405523344,0.178880841,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,4,21.366748213594693,3149.9620000000004
13,201309,3.621738195,15.027032500000017,59.19982147,99.88851563,201.70844907407403,1.4294015169999998,3010.75,1.7510603669999998,0.0,0.98983717,0.005890161999999999,1.7332646381704413,0.231109828,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,3,49.4209639498196,-9999.0
11,201305,3.05735898,12.940698199999984,63.60976410000001,100.5659297,119.63548611111106,1.4318454269999998,251.25,0.943266273,4.44e-16,0.98983717,0.005890161999999999,0.9336800182227676,0.213465139,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,11,14.136134561215576,-9999.0
5,201206,3.154717684,9.5191284,73.24751282,100.4031484,93.84700231481482,0.661549628,275.0,1.0368962290000001,-4.44e-16,0.98983717,0.005890161999999999,1.0263584288970318,0.245908543,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,12,27.152852540289913,4410.212
19,201405,3.065081358,14.365808100000038,67.08737946,100.4310703,112.49542824074072,2.557086468,736.0,0.943266273,4.44e-16,0.98983717,0.005890161999999999,0.9336800182227676,0.284987092,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,11,16.990275347781346,-9999.0
23,201411,3.813338518,22.54128420000001,38.17907715,99.83622656,323.80027777777775,0.5221167210000001,145.0,1.0648263690000002,-4.44e-16,0.98983717,0.005890161999999999,1.054004719632336,0.15373452,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,5,27.57003656569077,3498.8903000000014
21,201409,3.649280071,13.263543700000017,58.89543915,100.3438438,211.9063657407407,1.268386483,1669.25,1.7510603669999998,0.0,0.98983717,0.005890161999999999,1.7332646381704413,0.23262006,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,3,23.998603093788013,2333.9211800000007
6,201209,3.6127359869999998,13.027307100000089,55.23693466,100.1248281,202.96754629629632,0.49107542600000004,1713.0,1.7510603669999998,0.0,0.98983717,0.005890161999999999,1.7332646381704413,0.203455076,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,3,27.304503407241977,4423.626
12,201306,2.818774939,9.882745400000033,75.83709717,100.45184379999999,98.97340277777776,1.869270921,376.0,1.0368962290000001,-4.44e-16,0.98983717,0.005890161999999999,1.0263584288970318,0.319118202,141.3300781,33,44,21,1,0,0,0,0,0,0,0,0,0,0,12,17.336783975334722,-9999.0
