,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
37,200711,4.189857006,5.940972900000019,85.36515808,100.6390156,40.475017361111114,1.938194036,362.25,1.703471184,2.363754511,0.811026514,0.18897350100000002,1.8282472615071856,0.38366648600000003,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,11,4.6505071231488095,-9999.0
62,201006,3.068491936,16.63759770000002,66.95676422,100.3299609,242.69729166666664,1.119655728,3698.0,2.530873299,2.451759577,0.811026514,0.18897350100000002,2.515922939939619,0.25531417100000003,118.7529602,12,10,78,1,0,0,0,0,0,0,0,0,0,0,6,71.96410741893591,-9999.0
26,200609,3.492517471,18.012200899999982,75.38101196,100.12285940000001,140.64371527777777,0.875708044,2035.75,1.941016674,2.39198637,0.811026514,0.18897350100000002,2.026238025413276,0.298477292,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,9,47.84379913958149,-9999.0
41,200805,3.1955158710000005,15.308557100000089,65.00657654,100.1792734,228.63729166666664,2.521346569,2974.666667,2.295886755,2.4245836730000003,0.811026514,0.18897350100000002,2.320207096600672,0.309261024,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,5,72.69441291730375,1093.9202
35,200709,3.592467308,13.688562000000047,79.77094269,100.6717969,117.07170138888893,2.037439346,1579.75,1.941016674,2.39198637,0.811026514,0.18897350100000002,2.026238025413276,0.330052674,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,9,36.97387080368669,-9999.0
25,200608,3.842527151,15.778497300000026,82.59134674,99.87449219,155.12903935185184,4.877761364,2460.5,2.11780858,2.411091089,0.811026514,0.18897350100000002,2.1732312342749243,0.35815128700000004,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,8,70.09546725754035,-9999.0
36,200710,2.940545082,10.084222399999987,84.21692657,101.0401641,75.62704282407405,2.114278555,944.0,1.732290506,2.367168665,0.811026514,0.18897350100000002,1.8522656803990225,0.36117744399999996,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,10,28.52852630782265,-9999.0
33,200707,4.416975498,16.656518600000027,74.91578674,99.97425781,201.61939814814806,4.282459259,2907.25,2.395618916,2.438084841,0.811026514,0.18897350100000002,2.4036438864547374,0.366083503,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,7,64.33000445939355,-9999.0
77,201208,3.436233282,18.721765100000027,69.83807373,100.2663359,207.19391203703705,1.090997815,2590.5,2.11780858,2.411091089,0.811026514,0.18897350100000002,2.1732312342749243,0.27625685899999997,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,8,98.2308838452037,-9999.0
21,200604,3.843933105,8.514306600000054,74.58359528,100.1561172,172.08810185185183,2.256169796,1259.333333,1.874868393,2.382278919,0.811026514,0.18897350100000002,1.9707555646654973,0.3736828270000001,118.7529602,12,10,78,0,0,1,0,0,0,0,0,0,0,0,4,64.29642865247695,-9999.0
