,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
81,201303,3.946686506,0.3027283000000693,76.57383728,96.1219375,116.6592824074074,1.966545343,385.0,1.799275279,2.428142786,0.904933393,0.087833613,1.8414968369407567,0.39019772399999997,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,3,14.677213120972452,-9999.0
73,201204,4.139156342,6.573968500000035,77.83256531,95.94535938,167.3409722222222,3.390976429,1280.75,2.42471385,2.463420391,0.904933393,0.087833613,2.410575644613996,0.356328875,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,4,41.21143694854585,-9999.0
26,200408,3.9428339,17.030450400000007,79.04573822,96.70778125,176.42502314814809,4.416135788,2811.75,3.198451281,2.515541077,0.904933393,0.087833613,3.1153344315033475,0.34198504700000004,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,8,57.57959272120026,-9999.0
29,200505,3.74728775,11.307885699999984,73.31465149,97.07797656,220.4683101851852,2.7879731660000004,2991.75,2.936918974,2.4956183430000003,0.904933393,0.087833613,2.8769152278426624,0.359783888,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,5,54.54565951894122,-9999.0
43,200709,3.60016489,11.779901100000075,83.54932404,97.37580469,117.38804398148146,2.821464777,1866.75,2.996302128,2.5004699230000003,0.904933393,0.087833613,2.931079158679082,0.368452936,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,9,44.380281586833135,-9999.0
80,201302,4.04405117,-2.1022399999999952,87.92060852,96.823625,71.8219212962963,2.548984766,183.0,1.391371369,2.40237999,0.904933393,0.087833613,1.4701081281928292,0.390536696,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,2,2.1699732614095657,-9999.0
35,200606,2.811312199,15.211236600000065,71.93417358,97.45423438,242.88143518518515,2.045336008,3760.5,3.282692909,2.518429041,0.904933393,0.087833613,3.191821154073565,0.326373696,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,6,81.6225229094557,-9999.0
44,200804,3.5143644810000003,6.6385742000000505,76.83050537,96.48452344,159.8921759259259,2.923366785,1538.5,2.42471385,2.463420391,0.904933393,0.087833613,2.410575644613996,0.383838415,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,4,26.88835473001559,-9999.0
22,200309,3.092135191,13.504632600000036,70.82116699,97.44142188,160.96572916666662,1.5838272569999998,1768.75,2.996302128,2.5004699230000003,0.904933393,0.087833613,2.931079158679082,0.287974626,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,9,60.02071831426266,-9999.0
64,201103,3.721399784,5.185357700000052,72.94902802,97.49882813,140.34248842592592,0.879908025,697.5,1.799275279,2.428142786,0.904933393,0.087833613,1.8414968369407567,0.346173286,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,3,19.45925895169289,-9999.0
5,200105,3.84465766,12.773950200000002,71.43988037,97.12247656,227.98886574074075,1.085850477,2938.75,2.936918974,2.4956183430000003,0.904933393,0.087833613,2.8769152278426624,0.320738882,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,5,86.82020258143444,-9999.0
32,200508,3.379431963,14.512048300000005,80.56635284,97.18860938,170.22908564814813,3.570035696,2945.0,3.198451281,2.515541077,0.904933393,0.087833613,3.1153344315033475,0.36244323799999995,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,8,62.23184961827083,-9999.0
11,200204,4.083991051,7.373498499999982,70.62277222,96.88951563,177.59625,2.36980629,1418.333333,2.42471385,2.463420391,0.904933393,0.087833613,2.410575644613996,0.326191634,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,4,45.70033657066934,-9999.0
56,201003,4.506987572,3.41008910000005,78.36203003,97.04051563,121.25412037037034,2.501460791,388.0,1.799275279,2.428142786,0.904933393,0.087833613,1.8414968369407567,0.384842426,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,3,23.492663495779663,-9999.0
28,200504,3.450206757,8.517846700000009,76.41980743,96.7835,165.22305555555556,3.309815407,1416.333333,2.42471385,2.463420391,0.904933393,0.087833613,2.410575644613996,0.38656675799999995,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,4,35.07736738807252,-9999.0
78,201209,3.424774408,12.524163800000052,77.43218231,97.01532813,137.27320601851852,2.2731359,1926.5,2.996302128,2.5004699230000003,0.904933393,0.087833613,2.931079158679082,0.302297056,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,9,40.569181872494944,-9999.0
36,200607,2.8473153110000005,20.86870730000004,64.45893097,97.38394531,262.7682638888889,1.4552135469999998,3017.0,3.309076071,2.520647764,0.904933393,0.087833613,3.21589103683763,0.23104324899999998,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,7,117.05750292600858,3599.6466
74,201205,3.4283771510000003,12.8072449,75.62518311,96.97410156,209.8861805555556,2.9235131739999995,2859.0,2.936918974,2.4956183430000003,0.904933393,0.087833613,2.8769152278426624,0.363082141,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,5,62.57113070124358,-9999.0
83,201305,3.5271890160000003,9.638757300000067,80.33782196,96.53592969,167.44348379629628,4.683900833,2178.25,2.936918974,2.4956183430000003,0.904933393,0.087833613,2.8769152278426624,0.379168719,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,5,49.70509929244237,-9999.0
82,201304,3.962627411,6.673730500000032,71.86224365,96.85617969,164.0525925925926,1.392015219,1213.666667,2.42471385,2.463420391,0.904933393,0.087833613,2.410575644613996,0.354862005,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,4,28.34022222515789,-9999.0
20,200307,3.179374456,17.466516100000035,70.70713806,97.07929688,225.24444444444438,2.815104246,3695.0,3.309076071,2.520647764,0.904933393,0.087833613,3.21589103683763,0.267700285,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,7,96.6289337195585,-9999.0
23,200405,2.996601105,10.189386000000011,74.64176941,96.92682813,211.64773148148151,2.435076475,3264.333333,2.936918974,2.4956183430000003,0.904933393,0.087833613,2.8769152278426624,0.33833262299999994,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,5,62.09741385395298,-9999.0
6,200106,3.395054579,13.163110399999995,73.90626526,97.13042188,215.89398148148152,3.27045536,3160.75,3.282692909,2.518429041,0.904933393,0.087833613,3.191821154073565,0.318892539,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,6,84.87866258508889,-9999.0
3,200007,3.662748575,13.303369100000054,86.33917236,96.7360625,161.33951388888892,6.724907397999999,2778.75,3.309076071,2.520647764,0.904933393,0.087833613,3.21589103683763,0.389070421,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,7,63.849540488577745,-9999.0
40,200704,2.849489689,11.542321800000082,63.02736664,97.449875,229.51969907407403,0.143113568,1982.0,2.42471385,2.463420391,0.904933393,0.087833613,2.410575644613996,0.28019622,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,4,44.940043136731354,2808.854900000001
12,200206,3.479590178,15.577600100000039,73.44126892,97.03576563,222.8095138888889,1.937961936,4103.25,3.282692909,2.518429041,0.904933393,0.087833613,3.191821154073565,0.284638166,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,6,95.6593831890407,-9999.0
25,200407,3.480380774,15.330072000000026,78.45623016,97.082875,206.82939814814816,3.777003765,3192.25,3.309076071,2.520647764,0.904933393,0.087833613,3.21589103683763,0.360570014,302.3503723,25,16,59,0,0,0,0,0,1,0,0,0,0,0,7,57.59523848975403,-9999.0
