,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
26,200205,2.078208208,25.28435669999999,84.36383057,99.45399219,173.8734375,7.862751483999999,3531.25,1.5247516630000002,3.4406318660000004,0.0,0.0,0.0,0.479000896,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,5,112.64974038266176,715.4483999999999
43,200310,2.110131264,26.7408997,77.07044983,99.29872656,236.33483796296287,6.691391945,4686.0,1.534413695,3.878226995,0.0,0.0,0.0,0.430055678,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,10,126.1341906914353,-9999.0
33,200212,2.459087133,26.578271500000035,77.56198883,99.39960938,213.24858796296292,6.291719437,4341.25,1.5174745319999998,3.0835859780000003,0.0,0.0,0.0,0.431773365,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,12,104.24245238279042,-9999.0
12,200103,2.334379911,24.7026611,84.27617645,99.44563281,174.62435185185188,11.62104225,3439.0,1.5059788230000002,2.535744429,0.0,0.0,0.0,0.476381302,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,3,106.85775181795536,-9999.0
49,200404,2.065844059,25.33303219999999,84.00787354,99.38999219,169.1119675925926,14.97643089,4172.75,1.512582898,2.904161215,0.0,0.0,0.0,0.472656459,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,4,101.03579673935906,431.80310000000014
50,200405,1.880312324,25.201623499999986,84.88825226,99.49559375,171.0093634259259,7.742328167,3742.0,1.5247516630000002,3.4406318660000004,0.0,0.0,0.0,0.4826002720000001,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,5,108.70320728343323,467.59666999999985
38,200305,2.052912474,25.27218019999998,84.08577728,99.50821875,179.1449537037037,7.533333302000001,3606.25,1.5247516630000002,3.4406318660000004,0.0,0.0,0.0,0.482392073,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,5,106.4490285540836,599.3211300000003
35,200302,2.560557604,25.26879270000001,83.59199524,99.42821875,181.49809027777766,10.35869884,4684.75,1.506433845,2.477122784,0.0,0.0,0.0,0.479320675,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,2,85.17993050993054,-9999.0
6,200009,2.302929163,25.86290889999998,80.61257935,99.40039844,229.21967592592603,5.618835449,3894.25,1.54127121,4.218142033,0.0,0.0,0.0,0.43740913299999995,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,9,127.59600519369543,-9999.0
20,200111,2.331586361,27.78505860000001,70.62949371,99.2285625,252.449074074074,2.69305563,3871.25,1.52406919,3.471821308,0.0,0.0,0.0,0.383244455,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,11,104.26035678863151,931.21457
0,200003,1.98566258,24.31087650000007,86.18310547,99.36375781,168.36782407407406,16.63690948,3537.0,1.505995512,2.53630805,0.0,0.0,0.0,0.47802186,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,3,106.28967123085188,378.36334
37,200304,2.13768816,25.144830300000077,84.74818420000003,99.47278906,174.12098379629631,13.04011059,4268.0,1.512582898,2.904161215,0.0,0.0,0.0,0.473354161,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,4,105.82744323598669,671.7525099999998
57,200412,2.157805443,27.4010864,73.28821564,99.24320313,220.66115740740744,4.559627056,3930.0,1.5174745319999998,3.0835859780000003,0.0,0.0,0.0,0.40840134,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,12,91.59984289859736,391.06718
11,200102,2.201493263,24.396508800000053,84.830513,99.41110156,182.8138194444444,12.35459423,4034.25,1.506433845,2.477122784,0.0,0.0,0.0,0.483297199,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,2,94.97844891131209,-9999.0
5,200008,2.273114204,25.47991330000001,81.28298187,99.53117188,223.7954861111111,2.792405128,3500.5,1.546972871,4.5009760860000005,0.0,0.0,0.0,0.45841762399999997,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,8,140.54836655210562,844.7690800000001
53,200408,2.386402369,26.11297000000002,78.71925354,99.62227344,222.2723148148148,1.859483004,3952.0,1.546972871,4.5009760860000005,0.0,0.0,0.0,0.4030509,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,8,103.17566363679524,437.89571999999987
18,200109,2.237630129,26.229974400000003,78.07531738,99.42103125,237.6753240740741,3.919352531,4056.25,1.54127121,4.218142033,0.0,0.0,0.0,0.42091164,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,9,129.3611455605138,1079.8126
54,200409,2.237827778,26.54506839999999,78.58890533,99.423875,238.92622685185185,4.326947689,4541.25,1.54127121,4.218142033,0.0,0.0,0.0,0.4328864220000001,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,9,93.96036145826487,401.16666000000004
41,200308,2.104976177,26.13628540000002,79.63490295,99.59388281,219.41317129629627,3.789259195,3954.75,1.546972871,4.5009760860000005,0.0,0.0,0.0,0.416127533,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,8,127.78567058100613,839.8408949999997
40,200307,2.108997822,25.876428199999967,79.28028107,99.61699219,212.014375,1.911853671,3485.5,1.551547408,4.697375298,0.0,0.0,0.0,0.418078303,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,7,129.20691768904055,785.2622200000003
25,200204,1.909090519,25.137200899999986,84.99791718,99.36107031,173.644375,12.8808403,3711.666667,1.512582898,2.904161215,0.0,0.0,0.0,0.47983956299999997,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,4,96.52819627586128,624.09294
45,200312,2.241791487,26.547265600000053,77.59429169,99.30378125,229.2238657407407,4.615627289,4094.5,1.5174745319999998,3.0835859780000003,0.0,0.0,0.0,0.457087755,145.4905243,36,50,14,0,0,0,1,0,0,0,0,0,0,0,12,114.04338645038055,629.0002699999999
