,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200312,3.313967943,-8.2669128,85.30435944,97.19471094,41.66203703703703,2.452010155,145.5,-4.44e-16,1.578073621,0.0,1.0,1.578073621,0.228850365,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,12,11.463095344787495,-9999.0
106,201212,3.10825038,-9.46298829999995,84.73419189,97.29284375,39.025604745370366,2.005081654,122.0,-4.44e-16,1.578073621,0.0,1.0,1.578073621,0.256345928,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,12,5.327392377036729,-9999.0
105,201210,3.617734194,5.471917700000006,78.90179443,97.1154375,77.01616898148147,3.094273567,216.0,0.0,2.0308952330000003,0.0,1.0,2.0308952330000003,0.26267853399999996,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,10,16.285489524144552,-9999.0
73,200911,3.169082165,1.8332458000000431,78.246521,97.53352344,52.64524884259259,1.667282224,199.75,0.0,1.6186918019999998,0.0,1.0,1.6186918019999998,0.25896799600000003,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,11,9.111529833481267,-9999.0
92,201107,3.246805906,20.53673710000004,63.42854691,97.11992188,258.3440509259259,2.432688475,3333.75,4.44e-16,4.45045805,0.0,1.0,4.45045805,0.197400331,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,7,124.67008903900054,-9999.0
21,200502,3.203654289,-9.898901400000002,79.27355957,97.63224219,95.66162037037034,1.412169695,199.25,4.44e-16,1.50259316,0.0,1.0,1.50259316,0.23121890399999998,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,2,7.124144527503227,-9999.0
111,201305,3.250739813,9.208337400000003,65.85153198,97.60628906,225.48284722222215,2.83065176,950.5,-4.44e-16,2.6802871230000003,0.0,1.0,2.6802871230000003,0.273591787,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,5,38.282170272983436,-9999.0
122,201407,3.520571947,16.424218800000006,70.00701904,97.07570313,205.0216898148148,2.979049444,3019.0,4.44e-16,4.45045805,0.0,1.0,4.45045805,0.194599375,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,7,41.30264538115139,2529.2664
25,200506,3.480042458,18.66066890000002,63.99257278,97.20350781,248.55013888888888,3.074999332,3059.25,4.44e-16,3.849533319,0.0,1.0,3.849533319,0.22014799699999998,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,6,106.01644977002209,-9999.0
51,200709,3.688259125,13.956811500000072,73.24922943,97.42508594,145.09174768518517,2.661635876,1099.75,0.0,3.1751184460000004,0.0,1.0,3.1751184460000004,0.23590044699999999,341.2397461,9,72,19,0,0,0,0,0,1,0,0,0,0,0,9,55.0351979861821,-9999.0
