,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200312,3.523890257,-9.64932859999999,84.55941772,96.62639063,37.50086516203704,2.965096474,116.5,0.6598906520000001,1.4302952290000002,0.112950727,0.8729189629999999,1.3230669569664315,0.234910801,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,12,13.062109479128528,-9999.0
77,201008,3.265111446,16.470483399999978,75.73403931,96.74154688,176.6493287037037,3.832337856,1207.5,0.68846494,2.9540319439999996,0.112950727,0.8729189629999999,2.656393116712365,0.256730676,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,8,64.75276139095095,-9999.0
25,200503,3.588600397,-8.981512499999951,74.2345047,96.31349219,150.73179398148147,0.944814861,51.25,0.659561336,1.296776056,0.112950727,0.8729189629999999,1.2064783424490408,0.200109035,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,3,3.931484755220005,2265.4128
5,200306,3.092981815,14.0884949,62.55649185,96.66542188,259.6188194444444,2.812161446,1317.5,0.6857010720000001,2.7535665039999997,0.112950727,0.8729189629999999,2.4810908518102943,0.23285979,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,6,63.810183627379075,2428.372300000001
62,200812,3.883216858,-14.069250499999953,87.66807556,96.60625781,38.88489004629629,3.520295382,120.25,0.6598906520000001,1.4302952290000002,0.112950727,0.8729189629999999,1.3230669569664315,0.22930961800000002,374.8869629,9,72,18,0,1,0,0,0,0,0,0,0,0,0,12,2.821633042731788,-9999.0
70,200909,3.374159575,11.641625999999974,75.16069794,97.158375,141.32038194444445,2.341124535,714.25,0.678136587,2.393658876,0.112950727,0.8729189629999999,2.1660662443206142,0.251180112,374.8869629,9,72,18,0,1,0,0,0,0,0,0,0,0,0,9,35.695925114188405,-9999.0
20,200409,3.674966335,12.202661099999998,73.15715027,97.30832813,135.1028935185185,2.797700882,805.25,0.678136587,2.393658876,0.112950727,0.8729189629999999,2.1660662443206142,0.25824073,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,9,38.73392325778153,-9999.0
22,200411,4.180607319,-1.8244080000000047,79.86460876,96.87095313,42.488567708333335,3.293658257,143.66666669999995,0.6632195120000001,1.5511436459999999,0.112950727,0.8729189629999999,1.428933828971344,0.249816447,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,11,10.654875710420132,-9999.0
23,200412,3.521908998,-15.669226099999944,88.76498413,96.71265625,40.14832175925925,3.0642042160000003,110.75,0.6598906520000001,1.4302952290000002,0.112950727,0.8729189629999999,1.3230669569664315,0.22767087800000002,374.8869629,9,72,18,0,0,0,0,0,0,0,1,0,0,0,12,2.1507747815633165,-9999.0
65,200904,3.636219263,-0.6502136000000291,71.16133118,96.81848438,185.2463194444444,2.366718292,-57.0,0.661536694,1.5298677680000001,0.112950727,0.8729189629999999,1.4101716360941612,0.25588464699999997,374.8869629,9,72,18,0,1,0,0,0,0,0,0,0,0,0,4,16.936740784360612,-9999.0
