,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
28,200309,3.524708033,10.039544699999963,75.91505432,94.54397656,122.61804398148148,1.52737844,651.25,2.324912071,2.2633225919999997,0.036058169,0.8506096009999999,2.0090359992816635,0.327198654,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,9,24.343297728353384,-9999.0
31,200401,2.859379768,-21.536154199999967,92.61269379,95.03759375,35.56223958333333,1.13176167,119.75,2.317853689,1.3656706809999999,0.036058169,0.8506096009999999,1.2452301530980436,0.329114556,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,1,3.0987950604924013,-9999.0
32,200402,3.231033087,-10.333715799999991,86.24017334,94.60950781,72.9771585648148,0.7810493709999999,146.5,2.317905188,1.404742479,0.036058169,0.8506096009999999,1.2784668565648216,0.326054901,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,2,2.950662658589906,-9999.0
11,200202,3.51899457,-9.512823499999966,84.37782288,94.65919531,79.92764467592592,0.405867994,145.0,2.317904234,1.4048527480000002,0.036058169,0.8506096009999999,1.278560618035421,0.330977947,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,2,10.015267360966746,1117.7857299999996
40,200410,3.468610287,2.3976379000000065,75.47633362,94.34882031,78.93728587962963,1.3535100219999998,181.0,2.323992491,1.813693166,0.036058169,0.8506096009999999,1.6265437342628954,0.35966441,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,10,10.867804633945576,-9999.0
47,200505,3.506536245,7.590173300000004,61.2938118,94.75024219,227.6139351851852,2.01554966,594.0,2.32497716,2.242451906,0.036058169,0.8506096009999999,1.9912855403807688,0.375978589,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,5,45.21997739688106,-9999.0
0,200102,3.214008093,-16.681921399999965,86.79285431,94.93299219,82.52253472222222,0.595485926,122.5,2.317904234,1.4048527480000002,0.036058169,0.8506096009999999,1.278560618035421,0.332854807,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,2,117.598473234086,1670.3904
6,200108,3.288279772,17.99367680000006,63.04986954,94.595625,225.31159722222213,0.791255355,1958.25,2.332536221,3.057596684,0.036058169,0.8506096009999999,2.684928080651602,0.294172198,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,8,101.1777054182675,-9999.0
26,200307,3.085250378,16.92284550000005,70.11519623,94.64778125,234.0491435185185,1.874413133,2409.5,2.335823059,3.397533655,0.036058169,0.8506096009999999,2.9742002492791406,0.331219822,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,7,83.80925494511519,-9999.0
54,200512,2.954944372,-8.312841800000001,88.09159088,94.492625,22.11098234953704,0.977514029,148.25,2.318444252,1.356246591,0.036058169,0.8506096009999999,1.2372352262838144,0.370761186,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,12,6.2417029339779875,521.1431
5,200107,3.203009129,17.233300799999995,68.07054901,94.52244531,230.78745370370368,2.579202414,2487.75,2.335823059,3.397533655,0.036058169,0.8506096009999999,2.9742002492791406,0.33652201299999995,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,7,107.0187271119445,-9999.0
20,200211,3.386467218,-6.611181600000008,86.44527435,94.45014063,38.70303819444445,0.55765301,113.5,2.323150158,1.671145916,0.036058169,0.8506096009999999,1.50526130183108,0.343243361,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,11,4.3880598181675685,-9999.0
50,200508,3.612858772,14.164392100000045,75.22110748,94.58864844,169.31660879629632,3.860238552,1463.75,2.332536221,3.057596684,0.036058169,0.8506096009999999,2.684928080651602,0.36386212700000004,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,8,92.75162871024328,-9999.0
18,200209,3.511797428,9.778619399999966,72.39612579,94.34896094,123.6434837962963,2.155027866,910.0,2.324912071,2.2633225919999997,0.036058169,0.8506096009999999,2.0090359992816635,0.36436975,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,9,35.84324981692183,-9999.0
38,200408,2.971808672,12.778558300000045,74.16040802,94.89092188,168.77689814814815,1.738942385,1523.5,2.332536221,3.057596684,0.036058169,0.8506096009999999,2.684928080651602,0.334848523,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,8,76.66559717332332,-9999.0
33,200403,3.747938156,-6.1033080999999365,76.50712585,94.59204688,144.41065972222222,1.004275918,158.5,2.318737745,1.448601604,0.036058169,0.8506096009999999,1.3158038698622891,0.35715255100000004,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,3,9.068143017745909,1496.0906399999994
37,200407,2.833493233,15.735101300000052,74.0034256,94.64528125,216.23074074074069,2.369577885,2126.25,2.335823059,3.397533655,0.036058169,0.8506096009999999,2.9742002492791406,0.353947461,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,7,87.65618999157684,-9999.0
41,200411,3.704711437,-2.8046021000000105,76.02081299,94.45492969,45.15690104166666,0.6501559020000001,128.0,2.323150158,1.671145916,0.036058169,0.8506096009999999,1.50526130183108,0.367658734,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,11,4.456685187572972,-9999.0
42,200412,3.274338961,-17.014776599999948,92.98257446,94.62621094,25.67967881944445,1.848253846,110.75,2.318444252,1.356246591,0.036058169,0.8506096009999999,1.2372352262838144,0.35686978700000005,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,12,2.476832562888964,-9999.0
35,200405,3.2300069330000003,4.672967500000027,58.52944565,94.5886875,231.6720138888889,1.651372433,410.0,2.32497716,2.242451906,0.036058169,0.8506096009999999,1.9912855403807688,0.370859951,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,5,31.942680642864627,-9999.0
51,200509,3.2171735760000004,10.481652800000006,73.1448288,94.45530469,142.5653125,2.628098726,489.5,2.324912071,2.2633225919999997,0.036058169,0.8506096009999999,2.0090359992816635,0.388659298,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,9,53.01386555586064,-9999.0
17,200208,2.9967908860000003,15.269036900000005,72.13964844,94.69138281,184.4268865740741,2.637012005,2057.25,2.332536221,3.057596684,0.036058169,0.8506096009999999,2.684928080651602,0.34691155,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,8,83.48660500981798,-9999.0
7,200109,3.248970985,12.236749300000042,70.30650329999999,94.68859375,151.9590740740741,1.694685459,709.0,2.324912071,2.2633225919999997,0.036058169,0.8506096009999999,2.0090359992816635,0.325420439,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,9,38.98616236448205,-9999.0
52,200510,3.371886253,4.23192750000004,78.05895996,94.69221875,79.69122106481481,1.3529951569999998,189.0,2.323992491,1.813693166,0.036058169,0.8506096009999999,1.6265437342628954,0.38532853100000003,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,10,13.495867173393204,-9999.0
25,200306,3.058456182,13.958184800000026,69.57429504,94.38446094,233.1069444444444,2.371980906,2180.5,2.330920458,2.889406681,0.036058169,0.8506096009999999,2.5418057878522653,0.354129314,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,6,71.00565684877323,-9999.0
46,200504,3.972710848,3.29729610000004,64.59967041,94.64449219,197.68585648148147,0.98777312,292.6666667,2.323257685,1.8133304119999998,0.036058169,0.8506096009999999,1.6262086764687642,0.39793911600000004,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,4,18.23882645394574,-9999.0
19,200210,3.033208609,-1.3434508999999366,78.52078247,94.959625,72.71700231481479,1.220716834,196.3333333,2.323992491,1.813693166,0.036058169,0.8506096009999999,1.6265437342628954,0.35104098899999997,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,10,12.44007049334248,-9999.0
21,200302,2.866377115,-18.43067019999998,87.04800415,94.81224219,79.60594328703702,0.531332731,133.75,2.317904234,1.4048527480000002,0.036058169,0.8506096009999999,1.278560618035421,0.33565744799999997,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,2,2.1257232151479,-9999.0
13,200204,3.3184776310000004,-3.6621154999999694,67.27170563,94.715625,203.6616898148148,1.561012745,204.0,2.323257685,1.8133304119999998,0.036058169,0.8506096009999999,1.6262086764687642,0.37836077799999995,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,4,15.932104998188903,1850.70327
1,200103,3.2873783110000003,-5.430578599999992,77.09899902,94.68404688,149.03472222222226,0.768223703,174.0,2.318757296,1.448722005,0.036058169,0.8506096009999999,1.3159069890821211,0.339892805,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,3,128.46083285594622,1793.3705999999993
4,200106,2.696317434,13.156854199999998,66.87309265,94.6885625,233.7589583333333,2.889576912,2144.5,2.330920458,2.889406681,0.036058169,0.8506096009999999,2.5418057878522653,0.359528303,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,6,112.05663270616779,1548.8903
12,200203,3.1167795660000004,-14.26767579999995,78.60136414,95.07564844,146.86425925925926,0.577974439,101.0,2.318757296,1.448722005,0.036058169,0.8506096009999999,1.3159069890821211,0.326079458,613.6557617000002,15,39,44,0,0,0,0,0,0,1,0,0,0,0,3,11.763666226805597,1379.0228
27,200308,3.3031020160000004,18.503716999999995,64.45919037,94.8261875,216.21856481481478,2.149078131,1739.75,2.332536221,3.057596684,0.036058169,0.8506096009999999,2.684928080651602,0.309214175,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,8,68.08310156475703,-9999.0
44,200502,3.083914042,-10.975805699999967,84.9677887,94.73259375,79.73918981481482,0.32285428,130.5,2.317904234,1.4048527480000002,0.036058169,0.8506096009999999,1.278560618035421,0.346979201,613.6557617000002,15,39,44,0,1,0,0,0,0,0,0,0,0,0,2,1.8998511607352069,-9999.0
