,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
68,200902,4.794453621000001,-3.901495399999988,74.05723572,99.56183594,129.3846180555555,2.320169926,12.75,1.379389286,0.753507912,0.107731983,0.8909251690000001,0.8199235069511713,0.18926838,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,2,4.989016300468832,-9999.0
77,200911,4.377598763,7.57363280000004,77.3843689,99.77152344,87.60897569444445,1.3901603219999998,266.5,1.390643001,0.812717915,0.107731983,0.8909251690000001,0.8738875739135037,0.183878407,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,11,11.815602940809104,-9999.0
92,201104,5.261739254,4.9839110999999985,73.54161835,99.00685938,177.5648611111111,6.288271427000001,204.6666667,1.398211122,0.8655088540000001,0.107731983,0.8909251690000001,0.9217356788466614,0.19695690300000002,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,4,23.218058573372392,-9999.0
54,200709,3.708215714,19.688897700000037,71.27272797,99.72216406,199.4878240740741,2.732910872,2120.5,1.435035586,1.086617827,0.107731983,0.8909251690000001,1.1226944005137351,0.15662773,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,9,45.45161123750982,-9999.0
111,201211,4.418522835,4.47133789999998,71.43647003,99.96108594,82.49296874999997,1.328817964,145.66666669999995,1.390643001,0.812717915,0.107731983,0.8909251690000001,0.8738875739135037,0.182888418,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,11,11.553633259967544,-9999.0
120,201309,4.056798935,17.957482900000006,73.07104492,99.50782813,181.1490162037037,2.541804552,2249.0,1.435035586,1.086617827,0.107731983,0.8909251690000001,1.1226944005137351,0.16469055400000002,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,9,57.3627803597414,-9999.0
37,200603,4.046686649,-0.6212523999999462,66.51429749,99.60759375,182.32946759259255,2.195103645,292.25,1.384559989,0.78858006,0.107731983,0.8909251690000001,0.8517272164229583,0.18455761699999998,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,3,27.884722456689428,-9999.0
29,200506,3.938245535,22.86391600000001,69.74672699,99.28821094,283.4811111111111,2.773827314,2486.0,1.431052566,1.074215055,0.107731983,0.8909251690000001,1.1112153601306378,0.145985529,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,6,50.402565723381926,2552.2218
35,200601,5.309259892,0.635736100000031,77.49658966,99.17515625,68.76402199074074,2.956235409,186.75,1.37940681,0.75346601,0.107731983,0.8909251690000001,0.81988806330001,0.198247552,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,1,15.683384200644175,-9999.0
102,201202,4.864665985,-0.19373169999994388,72.8282547,99.57003125,111.6611226851852,1.751892924,60.5,1.379408002,0.753882885,0.107731983,0.8909251690000001,0.8202595961463606,0.189577341,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,2,6.708985481881777,-9999.0
