,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
17,201406,3.765846729,18.875878900000032,70.97348022,99.35603906,280.5502777777777,2.965665579,2460.0,1.431052566,1.074215055,0.107731983,0.8909251690000001,1.1112153601306378,0.175174475,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,6,104.94055085326606,-9999.0
19,201409,3.923194408,17.87462770000002,74.32171631,99.71146094,185.49774305555562,3.535730839,2443.5,1.435035586,1.086617827,0.107731983,0.8909251690000001,1.1226944005137351,0.17374973,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,9,83.74271166839058,-9999.0
11,201306,4.159734726,19.853204300000016,71.50305939,99.17271875,258.0411805555556,8.29539299,2352.0,1.431052566,1.074215055,0.107731983,0.8909251690000001,1.1112153601306378,0.189392626,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,6,98.62343743635832,-9999.0
18,201408,3.658164978,20.55822139999998,73.66302490000002,99.46130469,247.8173379629629,1.7619565730000002,4582.0,1.464205742,1.2761931420000001,0.107731983,0.8909251690000001,1.2947343788186376,0.160929635,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,8,110.945390008772,-9999.0
13,201308,3.659258604,21.80034790000002,70.29838562,99.5158125,250.61574074074073,3.260346413,4957.5,1.464205742,1.2761931420000001,0.107731983,0.8909251690000001,1.2947343788186376,0.15892362599999998,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,8,123.0742765152025,1292.4396199999999
6,201209,4.0043654439999985,17.972039800000005,69.22710419,99.44007031,190.5038194444444,3.5156321530000003,2090.25,1.435035586,1.086617827,0.107731983,0.8909251690000001,1.1226944005137351,0.17535579199999998,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,9,83.24225696718273,-9999.0
16,201405,4.217222691,11.391625999999974,71.73023987,99.44063281,258.89689814814807,3.981808662,1001.25,1.4134529830000002,0.953787267,0.107731983,0.8909251690000001,1.0020271747778786,0.18706946100000002,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,5,47.2168335090105,-9999.0
1,201204,4.595120907,7.479180900000018,61.25255966,99.34769531,228.1497685185185,1.319693923,515.75,1.398211122,0.8655088540000001,0.107731983,0.8909251690000001,0.9217356788466614,0.169263959,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,4,26.49787685209169,-9999.0
9,201303,4.755688667,-1.5805724999999595,70.13404846,99.38586719,180.63260416666665,1.718681216,43.5,1.384559989,0.78858006,0.107731983,0.8909251690000001,0.8517272164229583,0.19695739399999998,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,3,9.571334057225592,-9999.0
14,201309,4.056798935,17.957482900000006,73.07104492,99.50782813,181.1490162037037,2.541804552,2249.0,1.435035586,1.086617827,0.107731983,0.8909251690000001,1.1226944005137351,0.16469055400000002,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,9,69.39561816352816,-9999.0
12,201307,3.83950901,23.131310999999986,73.24868011,99.53074219,256.3468287037037,5.239238262,4555.25,1.45959723,1.243513584,0.107731983,0.8909251690000001,1.265122853948203,0.171188772,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,7,129.9051379140165,-9999.0
5,201208,3.4135921,22.48015750000002,69.33636475,99.33414844,246.1201157407407,5.40786314,4345.5,1.464205742,1.2761931420000001,0.107731983,0.8909251690000001,1.2947343788186376,0.17000870399999998,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,8,105.65429719289278,-9999.0
2,201205,3.816476345,17.59722290000002,63.38669968,99.38900781,289.2722222222222,1.7413972619999998,1585.666667,1.4134529830000002,0.953787267,0.107731983,0.8909251690000001,1.0020271747778786,0.155061737,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,5,72.74976624907222,-9999.0
4,201207,3.612061024,25.051721200000035,63.82045364,99.27365625,288.9391898148148,2.421126127,4492.75,1.45959723,1.243513584,0.107731983,0.8909251690000001,1.265122853948203,0.122629531,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,7,117.12333265167317,-9999.0
10,201305,4.553924084,14.744928000000018,62.9783287,99.54072656,283.18157407407404,2.452230692,1171.75,1.4134529830000002,0.953787267,0.107731983,0.8909251690000001,1.0020271747778786,0.173249751,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,5,62.819847262362096,-9999.0
0,201203,5.026622295,4.90667110000004,70.99591064,99.58013281,173.61929398148146,2.29287529,297.5,1.384498358,0.788670003,0.107731983,0.8909251690000001,0.8518007092755895,0.191176653,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,3,23.92483073722208,-9999.0
15,201310,4.749669075,13.164636200000016,74.33631897,99.47176563,125.63842592592592,3.959506989,619.0,1.403961539,0.900664687,0.107731983,0.8909251690000001,0.953676399130009,0.186371028,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,10,44.24860917272493,-9999.0
7,201211,4.418522835,4.47133789999998,71.43647003,99.96108594,82.49296874999997,1.328817964,145.66666669999995,1.390643001,0.812717915,0.107731983,0.8909251690000001,0.8738875739135037,0.182888418,202.2083282,15,40,20,0,0,0,0,0,0,0,0,1,0,0,11,10.100384818102793,-9999.0
