,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200608,2.842109442,18.023004200000006,68.2154541,85.84982031,224.03990740740738,2.372944593,1247.0,1.499792337,1.559336662,0.993270576,0.005798605,1.4987415758173326,0.32694467899999996,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,8,60.80263728950335,1310.8061899999998
19,200806,3.433860302,15.627832000000012,65.92594147,85.46103905999998,242.0815046296296,4.859894276,911.75,1.306481361,1.5576498509999999,0.993270576,0.005798605,1.3067216901879917,0.3043679,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,6,77.15560341399589,1284.37617
11,200706,3.377963543,19.644830300000077,42.64878082,85.58867187999998,256.08266203703704,1.548011899,830.25,1.306481361,1.5576498509999999,0.993270576,0.005798605,1.3067216901879917,0.20775178100000002,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,6,40.66212943143671,1786.0420899999995
20,200807,3.052053452,19.53896480000003,59.80321121,85.505625,253.45196759259255,2.0350563530000003,1753.25,1.546873331,1.5597658159999999,0.993270576,0.005798605,1.5455082303408954,0.274303526,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,7,92.11407748423643,-9999.0
17,200804,4.73819828,5.931237800000019,46.00698471,85.60275,218.55118055555562,1.676843047,48.75,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.297882557,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,24.276006617743825,-9999.0
12,200707,3.058314085,20.19890750000002,55.20085144,85.35161719000001,259.7559953703704,2.8692324160000005,1500.0,1.546873331,1.5597658159999999,0.993270576,0.005798605,1.5455082303408954,0.234069213,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,7,36.24201846122905,2200.4523
9,200704,4.583190918000001,3.581994600000087,37.2753067,85.80539062999998,230.76101851851848,0.735023677,25.66666667,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.272883266,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,14.723945770138881,1800.9641500000007
21,200808,3.2756509780000003,17.095086700000028,66.81135559,85.70785938,224.94180555555562,3.825945854,1541.75,1.499792337,1.559336662,0.993270576,0.005798605,1.4987415758173326,0.31578111600000003,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,8,98.55503499075836,-9999.0
4,200606,3.891820908,16.03820189999999,51.62858963,85.35583594,251.88837962962958,4.896711348999999,1099.25,1.306481361,1.5576498509999999,0.993270576,0.005798605,1.3067216901879917,0.29681623,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,6,80.83669136381576,1102.3447
22,200809,3.729247808,12.591882300000064,55.26600266,86.0974375,207.1765740740741,1.193066716,612.75,1.137786865,1.5554490090000002,0.993270576,0.005798605,1.139149649164617,0.289891213,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,9,61.900494619952795,941.06455
0,200602,5.05005312,-12.063726799999984,58.93045807,86.11482031,151.5383564814815,0.283042938,-68.0,0.784191966,1.5530112980000002,0.993270576,0.005798605,0.7879201048410316,0.21654968,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,5.425663565352846,605.4051099999998
1,200603,5.610056877000001,-2.8006652999999915,29.65352058,85.57427344000001,216.78898148148147,0.106871672,-124.0,0.851940393,1.553011179,0.993270576,0.005798605,0.8552126232603817,0.22256222399999998,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,3,7.468810452682787,1612.8299999999995
13,200708,3.4683103560000004,17.773217800000054,61.99807739,85.78521094000001,239.38601851851848,2.6133320330000003,1482.75,1.499792337,1.559336662,0.993270576,0.005798605,1.4987415758173326,0.277440161,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,8,65.68890257554723,1323.15863
14,200709,2.82983923,14.052392600000074,47.60338211,86.19405469,203.475625,1.370045781,432.25,1.137786865,1.5554490090000002,0.993270576,0.005798605,1.139149649164617,0.219911888,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,9,24.887062072626037,1348.7167699999998
18,200805,5.390350819,10.217126500000065,29.86458778,85.39347656,274.27689814814806,0.6240824460000001,294.3333333,1.054564953,1.5536700490000002,0.993270576,0.005798605,1.0564774572102047,0.203777999,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,5,17.725175428892925,2482.96666
5,200607,3.5401659010000004,17.70696410000005,69.26979065,85.48149219000003,230.3979861111111,3.745263338,1685.25,1.546873331,1.5597658159999999,0.993270576,0.005798605,1.5455082303408954,0.35882738200000003,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,7,105.93115611715923,-9999.0
2,200604,5.420565128,3.5014281999999635,29.33810234,85.38424219000002,239.7971759259259,0.442039907,-56.66666667,0.885975063,1.552975059,0.993270576,0.005798605,0.889018050089639,0.21104408800000002,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,4,17.415432855955764,1729.2121
10,200705,5.1065206530000005,11.644647200000007,36.5030899,85.38128906,264.9111111111111,1.32034111,421.5,1.054564953,1.5536700490000002,0.993270576,0.005798605,1.0564774572102047,0.22520411,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,5,31.32430628086329,-9999.0
16,200803,4.905359268,-1.308538800000008,43.70266342,85.8314375,192.7772453703704,0.6655888560000001,-69.0,0.85232079,1.552981257,0.993270576,0.005798605,0.8555902869018215,0.2393990010000001,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,3,9.636857389170004,1277.4433599999998
15,200802,4.536096573,-12.821722399999942,56.59328461,86.18615625,162.76761574074072,0.054251775,-74.5,0.785040677,1.552976608,0.993270576,0.005798605,0.7887629033512518,0.238690734,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,3.6792155833452833,822.2742500000003
7,200702,4.47411871,-5.155035400000031,52.04042053,85.86428906,153.8590972222222,0.206013158,-101.25,0.784191966,1.5530112980000002,0.993270576,0.005798605,0.7879201048410316,0.235371277,1279.420166,10,65,24,1,0,0,0,0,0,0,0,0,0,0,2,5.047865090691383,-9999.0
