,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
0,200201,2.269141197,-17.57359919999999,68.03704071,62.48970313,144.89537037037036,0.428249598,-110.25,0.712675333,2.483671427,0.965910316,0.02801642,0.7579640379442666,0.39492479,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,1,6.033320168538167,561.3079000000001
19,200308,1.757813454,6.5662781000000905,80.62618256,63.32346094,213.73328703703706,6.955141544,1155.25,1.761217475,2.498390913,0.965910316,0.02801642,1.7711740969647636,0.404566824,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,8,97.2731223777821,1085.13568
32,200409,1.874052048,1.0427490000000716,77.75167847,63.40766016,200.87372685185187,4.403849602,231.0,1.23288691,2.489655018,0.965910316,0.02801642,1.2606094054697592,0.40765190100000004,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,9,63.000295225113724,1133.8635
35,200412,2.61367178,-17.069311500000026,75.41733551,62.54532813,127.46355324074074,0.317284107,-140.25,0.7210705279999999,2.48386693,0.965910316,0.02801642,0.7660785206937574,0.35877794,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,12,6.405672211992973,889.7037300000003
7,200208,1.7824617619999998,6.101617400000008,72.64919281,63.40629297,254.77953703703704,4.276635647,1365.0,1.761217475,2.498390913,0.965910316,0.02801642,1.7711740969647636,0.37406781299999997,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,8,101.11855410728529,1270.5094
12,200301,2.596714497,-16.04935299999994,55.76277161,62.51950391,144.10733796296296,0.181090534,-112.5,0.712675333,2.483671427,0.965910316,0.02801642,0.7579640379442666,0.38706999999999997,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,1,2.0455845374602766,1005.0792
29,200406,2.101510525,3.2072083000000475,66.22522736,63.18825,278.628287037037,3.426460505,714.0,1.382421851,2.491782904,0.965910316,0.02801642,1.4051063633319985,0.39433863799999996,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,6,97.07917095244837,1235.5188900000005
33,200410,1.845013022,-6.539678999999977,76.77915192,63.2794375,189.40451388888889,1.731918693,-114.75,0.894033194,2.486462831,0.965910316,0.02801642,0.9332176719187144,0.387013495,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,10,26.11753298069655,1419.48356
5,200206,1.983334303,4.882470699999999,73.90693665,63.15571484,254.28106481481478,4.797523975,888.0,1.382421851,2.491782904,0.965910316,0.02801642,1.4051063633319985,0.40105044799999995,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,6,88.55063728161011,1286.98989
1,200202,2.413504601,-13.947058099999936,65.6858902,62.53790625,186.14574074074073,0.500278175,-160.25,0.721477032,2.483867168,0.965910316,0.02801642,0.7664711737687607,0.394795656,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,2,5.944071635003134,1279.8283
18,200307,1.75406611,6.339837600000068,79.17828369,63.19383594,254.71034722222214,7.0708351139999985,1547.25,1.845126987,2.499042511,0.965910316,0.02801642,1.8522414156593283,0.403689057,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,7,98.03509816217293,922.9722381800003
22,200311,2.609424353,-12.30161129999999,67.50327301,62.77476953,150.52995370370368,0.48932001,-147.25,0.787199557,2.48579073,0.965910316,0.02801642,0.8300071299807167,0.381011844,4071.084717,17,44,37,1,0,0,0,0,0,0,0,0,0,0,11,12.49815953585446,1060.3229
