,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
69,200903,3.713820696,3.929589800000031,81.55151367,98.1969375,98.36890046296296,2.079821825,264.25,1.636937141,2.190927505,0.75784719,0.228816018,1.7418675199342588,0.389653862,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,3,23.732120482413894,-9999.0
54,200705,3.600736856,14.2417236,69.84423828,98.03714844,218.33530092592588,3.752991676,3922.25,3.086388588,2.5188736919999997,0.75784719,0.228816018,2.915369566712266,0.29303097699999997,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,5,66.84321424272792,-9999.0
37,200505,3.044225454,12.394067399999983,72.80856323,98.53425781,222.0204398148148,2.525425196,4114.75,3.086388588,2.5188736919999997,0.75784719,0.228816018,2.915369566712266,0.351901025,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,5,95.17045100344542,-9999.0
46,200605,3.906657457,12.694085700000016,68.39664459,98.43499219,225.94409722222213,2.629160404,4010.75,3.086388588,2.5188736919999997,0.75784719,0.228816018,2.915369566712266,0.325612664,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,5,43.3267525158428,1370.1933299999996
106,201306,3.391473532,15.468225100000039,74.30169678,98.62966406,220.16761574074073,1.721420884,4921.5,3.269756794,2.561062574,0.75784719,0.228816018,3.06398813834782,0.334873825,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,6,110.26991659488222,-9999.0
26,200308,2.7315261360000003,21.33468019999998,55.58214951,98.63214844,224.8736342592593,0.731612027,601.25,1.926993251,2.259727001,0.75784719,0.228816018,1.9774281545552168,0.176625833,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,8,20.31623846876698,2412.8212
116,201407,2.428400755,19.19790039999998,72.37390137,98.30357813,219.74615740740745,3.817381859,1523.5,2.366607428,2.35816741,0.75784719,0.228816018,2.333113265676501,0.328337789,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,7,56.80936255494319,-9999.0
57,200708,2.684354544,16.71492920000003,75.22343445,98.43175781,184.72480324074073,2.779278755,1296.75,1.926993251,2.259727001,0.75784719,0.228816018,1.9774281545552168,0.354293615,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,8,20.370878914865973,-9999.0
21,200303,2.791357994,4.629357900000001,75.85108185,99.24082031,128.4666435185185,1.024255514,131.25,1.636937141,2.190927505,0.75784719,0.228816018,1.7418675199342588,0.35715255100000004,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,3,26.32727410047669,-9999.0
33,200408,3.4277279380000003,18.507775899999963,70.15880585,98.23975,193.0115046296296,1.642212152,1048.5,1.926993251,2.259727001,0.75784719,0.228816018,1.9774281545552168,0.272624135,153.7079315,19,26,54,0,0,0,0,0,0,0,0,1,0,0,8,49.266248327946045,-9999.0
