,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
77,201307,2.402587652,18.97979130000005,63.02882004,97.08049219,248.24995370370368,1.806473374,3779.25,2.98656559,2.3948743340000003,0.332061708,0.659087777,2.5701564718598435,0.307118744,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,7,128.25268216990506,-9999.0
63,201108,2.859078407,17.599267600000076,71.38323975,96.6445625,181.4460300925926,2.625630379,2360.75,2.9511966710000004,2.084020853,0.332061708,0.659087777,2.353532078441588,0.378433466,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,8,103.35504765818672,-9999.0
26,200704,3.147243738,10.177697800000033,56.17378235,97.17459375,220.3028935185185,0.319720775,2622.333333,2.915749073,1.755828619,0.332061708,0.659087777,2.125453798569487,0.30597496,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,4,72.25101299889221,1054.70861
29,200707,3.642558575,17.317071499999994,65.57369232,96.43135156,217.6270601851852,3.660639524,2256.25,2.98656559,2.3948743340000003,0.332061708,0.659087777,2.5701564718598435,0.35841921,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,7,111.68543935642424,-9999.0
43,200905,3.069311857,12.890618899999993,65.54219055,97.00409375,206.7073842592593,2.9493193630000003,4105.75,2.994054794,2.457247019,0.332061708,0.659087777,2.613752424033815,0.341536492,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,5,93.50606122812496,-9999.0
57,201010,3.453806639,6.586175500000024,76.98966217,96.66365625,88.32036458333332,0.632915199,559.6666667000002,2.884913683,1.50816226,0.332061708,0.659087777,1.9519806763082463,0.35748192700000003,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,10,27.503187841593622,-9999.0
35,200806,2.620005131,16.484582500000045,61.39924622,96.71870313,233.8454398148148,1.977370381,3465.25,3.020374537,2.6921174530000003,0.332061708,0.659087777,2.777292435076601,0.334406734,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,6,101.25555602134271,1028.01201
44,200906,3.356790543,13.926355,72.90158081,96.63553125,196.2505092592593,4.289037704,5099.25,3.020374537,2.6921174530000003,0.332061708,0.659087777,2.777292435076601,0.379485846,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,6,91.29549232129592,-9999.0
22,200608,3.287250757,15.108636500000046,72.46438599,96.17289063,165.68174768518517,4.900156498,1301.25,2.9511966710000004,2.084020853,0.332061708,0.659087777,2.353532078441588,0.379558712,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,8,60.1841994700084,-9999.0
90,201409,2.808985472,14.262170400000002,80.54184723,96.88244531,115.50442129629627,3.926278114,1313.0,2.9249365330000003,1.8480085130000001,0.332061708,0.659087777,2.189259243649824,0.395585001,442.8332214,17,37,43,0,0,1,0,0,0,0,0,0,0,0,9,50.56141510455621,-9999.0
