,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
11,200108,2.916046619,18.2213074,70.89020538,97.7530625,182.66915509259255,1.491779208,3639.25,2.642188549,2.330319405,0.632322669,0.3384096620000001,2.4593183175030093,0.26783362,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,8,84.75205202673645,-9999.0
28,200406,3.148778915,14.588067600000045,75.36013794,97.74357031,224.9968287037037,2.461662054,4574.0,3.153650045,2.921273232,0.632322669,0.3384096620000001,2.9827115005971385,0.33809429399999996,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,6,80.22896033095283,-9999.0
51,200807,3.123384953,17.547387699999998,69.94316101,97.63416406,221.8206712962963,2.472570658,5380.25,2.831918478,2.550299644,0.632322669,0.3384096620000001,2.6537322909241383,0.298741668,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,7,89.97890783602905,1343.639251
18,200303,2.772736549,4.540185500000007,75.47642517,98.36927344,128.33158564814815,1.177198648,328.5,2.297251701,1.8363871569999999,0.632322669,0.3384096620000001,2.074055484042621,0.359587252,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,3,13.913095829275091,-9999.0
45,200707,3.529312849,16.636041300000045,72.93689728,97.38825781,207.8818287037037,4.563489437,4228.5,2.831918478,2.550299644,0.632322669,0.3384096620000001,2.6537322909241383,0.36238509399999996,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,7,102.85407272076985,-9999.0
12,200203,3.4402256010000003,4.3961426000000765,75.83721924,97.78555469,117.2187152777778,1.834438682,480.25,2.297251701,1.8363871569999999,0.632322669,0.3384096620000001,2.074055484042621,0.37879478899999997,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,3,14.3595166867047,-9999.0
5,200009,2.9170067310000003,13.489007600000036,83.27841187,97.5621875,116.1023726851852,2.153366804,2012.5,2.54429245,2.1823782919999997,0.632322669,0.3384096620000001,2.3473516928524063,0.34883549799999997,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,9,43.39325889507517,-9999.0
52,200808,3.420640707,17.36416020000002,69.66290283,97.48173438,172.84118055555552,1.824928164,3865.25,2.642188549,2.330319405,0.632322669,0.3384096620000001,2.4593183175030093,0.272471666,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,8,65.9462221501683,-9999.0
59,200909,2.926054955,14.37026370000001,77.99555969,98.118125,120.64033564814815,2.082951069,1918.5,2.54429245,2.1823782919999997,0.632322669,0.3384096620000001,2.3473516928524063,0.292039245,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,9,45.34579939809599,-9999.0
33,200506,2.642876625,15.321344000000007,70.08100128,97.92097656,232.5711574074074,1.872104049,5733.75,3.153650045,2.921273232,0.632322669,0.3384096620000001,2.9827115005971385,0.285511523,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,6,83.83433140569183,-9999.0
25,200310,3.341308355,5.703424100000062,83.46710968,97.37284375,75.39097800925926,1.948608518,891.0,2.39481163,1.962170362,0.632322669,0.3384096620000001,2.1783110906246783,0.330409169,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,10,12.65604153566525,-9999.0
6,200010,3.429324627,10.02095950000006,84.400177,97.4525625,68.53534722222221,1.581806779,490.25,2.39481163,1.962170362,0.632322669,0.3384096620000001,2.1783110906246783,0.355868399,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,10,12.149224499115624,-9999.0
21,200306,2.559724092,18.585687300000018,67.54900359999999,97.7325625,260.9621759259259,1.441991448,6382.0,3.153650045,2.921273232,0.632322669,0.3384096620000001,2.9827115005971385,0.233045936,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,6,105.46129592150079,1616.5569200000002
0,200004,2.935042381,9.277154499999996,72.80904388,96.96384375,176.87060185185192,1.959215283,2016.75,2.587173939,2.21264863,0.632322669,0.3384096620000001,2.384710405278786,0.35852503799999996,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,4,27.12616468852589,-9999.0
20,200305,2.963585377,13.596673600000033,70.82019043,97.79735938,214.01465277777785,1.851915479,4229.0,3.021698713,2.766120434,0.632322669,0.3384096620000001,2.8467704762392585,0.288570017,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,5,64.81965489050954,-9999.0
55,200905,3.18615222,12.871057100000089,72.53262329,97.99041406,207.8679861111111,2.335829735,4861.5,3.021698713,2.766120434,0.632322669,0.3384096620000001,2.8467704762392585,0.356168479,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,5,71.51927732488497,-9999.0
56,200906,3.222805977,14.04003300000005,74.11506653,97.67935156,202.8085648148148,2.831299305,5478.75,3.153650045,2.921273232,0.632322669,0.3384096620000001,2.9827115005971385,0.335712433,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,6,75.18653740608768,-9999.0
32,200505,2.952497244,11.931878700000027,73.16856384,97.69574219,220.53729166666665,2.8983194830000003,3738.5,3.021698713,2.766120434,0.632322669,0.3384096620000001,2.8467704762392585,0.365232348,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,5,74.36052480238587,-9999.0
41,200608,3.157361507,14.962609900000016,79.31101227,97.18154688,164.3164699074074,3.726992846,3791.0,2.642188549,2.330319405,0.632322669,0.3384096620000001,2.4593183175030093,0.329623491,431.2531433,19,26,54,0,0,0,0,1,0,0,0,0,0,0,8,76.96405047872798,-9999.0
