,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
6,200207,3.178719759,16.424096700000007,76.03308868,96.78111719,178.72410879629632,4.215539455,2372.25,2.938938379,2.429927826,0.224299207,0.775700808,2.544098525841449,0.354817867,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,7,81.52015569955773,-9999.0
28,200607,2.1362886430000003,21.23208010000008,62.36610794,97.34821094,264.7131712962963,1.13956666,2507.0,2.938938379,2.429927826,0.224299207,0.775700808,2.544098525841449,0.226757765,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,7,117.46031611666159,-9999.0
32,201005,3.060720682,9.068689000000065,78.8080368,96.66528906,157.06168981481483,2.8834745880000003,4167.0,3.090326309,2.7939212319999998,0.224299207,0.775700808,2.8604046976306923,0.357325166,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,5,42.16853154425718,-9999.0
26,200605,3.831913948,11.847772200000007,69.06684113,96.82533594,219.73666666666665,3.158761024,4675.0,3.090326309,2.7939212319999998,0.224299207,0.775700808,2.8604046976306923,0.34466680899999996,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,5,59.606341270692,-9999.0
41,201203,3.076871872,5.959161399999973,78.14773559999998,97.80588281,118.84798611111113,0.765103877,777.75,2.611100674,1.598493695,0.224299207,0.775700808,1.825620661369771,0.35568019700000003,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,3,11.600751915468305,-9999.0
47,201209,2.923715353,12.930871600000046,75.0321579,96.91261719,135.89268518518517,1.435312629,898.5,2.748554468,1.9471265080000002,0.224299207,0.775700808,2.1268861931025254,0.31724843399999997,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,9,45.491931529318656,-9999.0
5,200206,2.9058458810000003,15.629571499999996,74.96185303,96.933,215.0028472222222,2.736349106,5255.5,3.15708375,2.9730427269999997,0.224299207,0.775700808,3.0143230271100085,0.351592064,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,6,92.62511882973824,-9999.0
40,201108,3.075710535,17.00988160000003,74.38292694,96.79590625,172.71281249999996,2.44379878,1397.25,2.80506587,2.076828957,0.224299207,0.775700808,2.240171950246462,0.318770289,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,8,71.75992959085461,-9999.0
18,200408,3.237761497,17.515924100000063,71.73825073,96.66233594,190.8662962962963,2.00085783,1375.0,2.80506587,2.076828957,0.224299207,0.775700808,2.240171950246462,0.303637862,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,8,86.13133239099126,-9999.0
31,201004,3.063745737,7.362908899999978,66.21785736,97.18959375,200.30129629629627,1.051172018,2370.333333,2.822496891,2.132359028,0.224299207,0.775700808,2.2871564353769602,0.348511577,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,4,25.07389661407753,2183.5280999999995
0,200201,4.028634071,-0.033300799999949504,87.59320831,97.46019531,34.150295138888886,1.6168165209999998,215.25,2.577641964,1.4956049919999999,0.224299207,0.775700808,1.7383050491983558,0.38400149299999997,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,1,4.9965039093766395,454.05968000000007
11,200307,2.673488855,18.10653080000003,68.79920959,96.97921875,220.10069444444443,1.475048423,2183.25,2.938938379,2.429927826,0.224299207,0.775700808,2.544098525841449,0.227752134,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,7,95.97302437467512,-9999.0
36,201104,3.169421911,10.597009300000082,65.54344177,97.18963281,203.11898148148143,1.193889618,2786.333333,2.822496891,2.132359028,0.224299207,0.775700808,2.2871564353769602,0.303510547,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,4,38.49294879325654,1896.61214
17,200407,2.97074461,15.445062300000016,77.70707703,96.94333594,205.65493055555552,3.3441169260000003,3460.75,2.938938379,2.429927826,0.224299207,0.775700808,2.544098525841449,0.36403235799999994,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,7,80.56748700766606,-9999.0
43,201205,2.976165533,13.339624000000072,68.50994109999999,96.887125,229.45773148148152,2.152354479,5849.666667,3.090326309,2.7939212319999998,0.224299207,0.775700808,2.8604046976306923,0.31814611,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,5,68.17715787921958,2080.975900000001
35,201008,3.101609707,15.708551000000002,78.49723816,96.69133594,155.38075231481483,4.952765465,901.5,2.80506587,2.076828957,0.224299207,0.775700808,2.240171950246462,0.35013061799999995,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,8,60.019919658586225,-9999.0
33,201006,2.605497122,15.344384800000055,67.96102905,96.92838281,246.2732638888889,0.850136459,6153.75,3.15708375,2.9730427269999997,0.224299207,0.775700808,3.0143230271100085,0.293211371,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,6,95.539816621037,-9999.0
7,200208,2.156992435,17.81737670000001,79.03819275,96.8383125,176.1266782407407,2.853964567,1490.75,2.80506587,2.076828957,0.224299207,0.775700808,2.240171950246462,0.36265379200000003,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,8,86.94526612985365,-9999.0
45,201207,3.018189192,16.28038939999999,74.77463531,96.83848438,207.68046296296296,3.738458157,2852.75,2.938938379,2.429927826,0.224299207,0.775700808,2.544098525841449,0.369494945,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,7,99.10777639426895,-9999.0
20,200504,2.749094486,8.226678500000048,69.82371521,96.73513281,174.46197916666665,1.849147677,2615.666667,2.822496891,2.132359028,0.224299207,0.775700808,2.2871564353769602,0.362688303,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,4,27.83519443744955,1904.57632
25,200509,2.412968874,14.700097700000017,73.82112885,97.17635156,143.34532407407406,1.570025802,882.75,2.748554468,1.9471265080000002,0.224299207,0.775700808,2.1268861931025254,0.292966723,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,9,42.11399814594427,-9999.0
19,200410,3.2178068160000004,9.379418900000019,81.37406921,96.58589844,82.86283564814815,0.963316977,465.5,2.667364836,1.747975588,0.224299207,0.775700808,1.95419389347036,0.33520382600000004,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,10,15.924054758800526,-9999.0
21,200505,2.97197175,11.48351439999999,73.33899689,96.93021094,218.63446759259256,2.782265663,4590.25,3.090326309,2.7939212319999998,0.224299207,0.775700808,2.8604046976306923,0.366194546,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,5,60.43468339688108,-9999.0
13,200309,2.625925779,12.984338399999954,74.79457092,97.33472656,141.1349884259259,1.929576516,607.75,2.748554468,1.9471265080000002,0.224299207,0.775700808,2.1268861931025254,0.296067208,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,9,33.37861253225837,-9999.0
1,200202,5.253433704,3.996423300000004,79.12310791,96.35026563,58.21248842592593,3.89005208,385.75,2.540125847,1.407506347,0.224299207,0.775700808,1.6615520237953318,0.39024055,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,2,15.047001822065651,1368.4052
4,200205,2.616357803,12.479943800000058,78.72189331,96.73103125,178.1938888888889,3.027960539,4768.5,3.090326309,2.7939212319999998,0.224299207,0.775700808,2.8604046976306923,0.376116484,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,5,55.461280068092925,-9999.0
12,200308,2.60777235,20.02199710000008,59.15351105,97.08360938,218.0659259259259,1.260299802,991.0,2.80506587,2.076828957,0.224299207,0.775700808,2.240171950246462,0.188616008,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,8,66.06162322392294,-9999.0
38,201106,3.21908474,15.764367699999983,70.65843201,96.95476563,230.1222685185185,2.869479418,4163.75,3.15708375,2.9730427269999997,0.224299207,0.775700808,3.0143230271100085,0.281123787,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,6,86.0299495691938,-9999.0
22,200506,2.692530155,14.792443800000058,70.67304993,97.16657813,231.51064814814808,1.667737365,5459.75,3.15708375,2.9730427269999997,0.224299207,0.775700808,3.0143230271100085,0.289189398,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,6,77.04046847056736,-9999.0
29,200608,3.159526348,14.489587400000005,79.86265564,96.42157813,162.60216435185185,3.957835674,1273.0,2.80506587,2.076828957,0.224299207,0.775700808,2.240171950246462,0.335966855,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,8,69.06998052045513,-9999.0
9,200305,2.927318573,13.102471899999955,71.68872833,97.03728125,214.4948842592593,1.851915479,3607.0,3.090326309,2.7939212319999998,0.224299207,0.775700808,2.8604046976306923,0.305423588,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,5,64.20234849477939,-9999.0
27,200606,2.373915195,15.327600100000039,71.4800415,97.36264063,230.53437499999995,1.4514791969999998,5916.0,3.15708375,2.9730427269999997,0.224299207,0.775700808,3.0143230271100085,0.331328958,325.2700195,49,15,33,0,0,0,0,0,0,0,0,1,0,0,6,91.98900796179718,1666.9539999999995
