,Time,WS,Ta,RH,P,SW_IN,Rain,SIF,LAI_lv,LAI_hv,cvl,cvh,LAI,SM,DEM,CLAY,SAND,SILT,GRA,WSA,SAV,EBF,DBF,MF,ENF,WET,CRO,OSH,CSH,Month,ET,H
9,201210,2.21921134,9.063775600000042,84.30315399,94.15464063,93.97184027777777,3.166533947,1469.0,0.811410904,2.377861738,0.052980941,0.819098771,1.9906929404353044,0.369562805,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,10,32.88595196436956,-9999.0
26,201411,2.070326328,6.0661865000000725,89.03731537,94.01614063,60.42167824074074,1.6219468119999998,780.5,0.797826409,1.98383677,0.052980941,0.819098771,1.6672278540750805,0.36276152700000003,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,11,16.492497866698912,-9999.0
21,201406,2.140930891,16.858270300000072,62.70155716,94.50845313,253.11203703703706,2.220727205,4488.75,0.850917757,3.581768036,0.052980941,0.819098771,2.9789042197741527,0.309983909,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,6,114.18188282981434,-9999.0
12,201304,2.300370932,8.039514200000044,75.40034485,94.23436719,177.29112268518517,2.138569117,2007.0,0.8181480170000001,2.5587244030000003,0.052980941,0.819098771,2.139194265642953,0.374964863,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,4,47.26826259357722,-9999.0
5,201206,2.315383673,16.748956300000025,74.44577789,94.35591406,213.90842592592583,4.813004017,4666.0,0.850917757,3.581768036,0.052980941,0.819098771,2.9789042197741527,0.366802275,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,6,131.18445471896223,2229.0396
11,201303,2.54198122,0.9707581000000688,76.21086121,93.46663281,137.0241550925926,2.038598776,367.0,0.795791447,1.9124670030000002,0.052980941,0.819098771,1.6086611514371651,0.38212072799999997,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,3,23.519902977237397,-9999.0
25,201410,2.227096796,11.29326780000008,84.37505341,94.5909375,97.5755902777778,3.774342299,2038.0,0.811410904,2.377861738,0.052980941,0.819098771,1.9906929404353044,0.36645010100000003,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,10,43.8493750086236,-9999.0
22,201407,2.396089554,17.770898400000018,74.89868927,94.28396875,206.1765509259259,6.356016159,4341.5,0.852049589,3.5875716210000004,0.052980941,0.819098771,2.9837178946394616,0.37228968700000004,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,7,104.53186564745629,-9999.0
6,201207,2.34404397,17.65947880000005,74.11940765,94.50666406,213.38597222222214,3.622365236,4954.0,0.852049589,3.5875716210000004,0.052980941,0.819098771,2.9837178946394616,0.364652634,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,7,120.52019655146185,1983.74511
13,201305,2.713066339,10.782281500000007,79.07995605,93.93573438,182.71548611111112,6.655406952000001,4151.75,0.841450095,3.292008877,0.052980941,0.819098771,2.7410612431094297,0.38743138299999996,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,5,56.12813593604257,-9999.0
20,201405,2.846678019,11.784234600000048,72.88963318,94.36940625,210.10402777777787,3.794739246,4100.5,0.841450095,3.292008877,0.052980941,0.819098771,2.7410612431094297,0.370838732,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,5,86.76823322976429,-9999.0
4,201205,2.413593054,13.422479199999998,67.88301849,94.38257813,239.9468287037037,2.912052155,4742.666667,0.841450095,3.292008877,0.052980941,0.819098771,2.7410612431094297,0.351361215,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,5,141.73095264414138,2414.2009000000007
27,201412,3.047133923,2.06633910000005,82.56710052,94.619,34.504056712962964,2.852060556,256.75,0.795871317,1.893178344,0.052980941,0.819098771,1.5928660661437843,0.366625339,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,12,16.821322185406643,-9999.0
0,201201,3.952008486,0.4621216000000459,82.24213409,94.77536719,45.2181568287037,4.659639359,200.0,0.786252618,1.575438857,0.052980941,0.819098771,1.3320964351196982,0.386440575,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,1,173.24226302820577,2893.5945
1,201202,3.009539604,-4.4795593000000045,77.17834473,95.08740625,82.19322337962961,1.619165182,140.75,0.784530878,1.5556296109999999,0.052980941,0.819098771,1.3157794866613042,0.357130915,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,2,201.10966116496414,3479.1623
17,201310,2.299838305,10.250573700000018,82.18112183,94.55440625,89.84202546296295,2.9956080910000003,1817.333333,0.811410904,2.377861738,0.052980941,0.819098771,1.9906929404353044,0.372742057,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,10,33.564036263564915,-9999.0
14,201307,2.241979599,19.93709720000004,64.20091248,94.78000781,264.63995370370367,2.0228867530000003,4374.0,0.852049589,3.5875716210000004,0.052980941,0.819098771,2.9837178946394616,0.271113962,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,7,114.97344165423165,-9999.0
18,201311,2.550549746,3.2951903999999668,85.52683258,94.28013281,48.452256944444436,3.200737953,613.5,0.797826409,1.98383677,0.052980941,0.819098771,1.6672278540750805,0.380904078,687.104187,15,44,40,0,0,1,0,0,0,0,0,0,0,0,11,19.47358041677033,-9999.0
